2865;Diglossa;glauca;Golden-eyed Flowerpiercer;;A. Bennett Hennessey;Bolivia;Serranías Beu  and  Chepete,  Pilón Lajas Biosphere R., La Paz;-15.1;-67.533;Calls;2165/07.mp3;http://www.xeno-canto.org/sounds/uploaded/GPVWJPVGVN/2165/07.mp3;http://www.xeno-canto.org/sounds/uploaded/GPVWJPVGVN/ffts/tb/2165_07.png
20771;Diglossa;glauca;Golden-eyed Flowerpiercer;glauca;Nick Athanas;Peru;ACP Abra Patricia-Alto Nieva, San Martín;-5.7009;-77.8123;song;R09_1569-Deep-blue-Flowerpiercer.mp3;http://www.xeno-canto.org/sounds/uploaded/XRABICUARW/R09_1569-Deep-blue-Flowerpiercer.mp3;http://www.xeno-canto.org/sounds/uploaded/XRABICUARW/ffts/tb/R09_1569-Deep-blue-Flowerpiercer.png
61390;Diglossa;glauca;Golden-eyed Flowerpiercer;;Andrew Spencer;Ecuador;La Guatemala, along the Rio Zuñag, Tungurahua;-1.4009;-78.187;song and calls;Deep-blue Flowerpiercer2010-8-5-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Deep-blue Flowerpiercer2010-8-5-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Deep-blue Flowerpiercer2010-8-5-1.png
61391;Diglossa;glauca;Golden-eyed Flowerpiercer;;Andrew Spencer;Ecuador;La Guatemala, along the Rio Zuñag, Tungurahua;-1.4009;-78.187;song and calls;Deep-blue Flowerpiercer2010-8-5-2.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Deep-blue Flowerpiercer2010-8-5-2.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Deep-blue Flowerpiercer2010-8-5-2.png
86355;Diglossa;glauca;Golden-eyed Flowerpiercer;tyrianthina;Andrew Spencer;Ecuador;Condor Mirador, Zamora-Chinchipe;-3.6412;-78.3995;song and calls;Golden-eyed Flowerpiercer2011-8-16-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Golden-eyed Flowerpiercer2011-8-16-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Golden-eyed Flowerpiercer2011-8-16-1.png
