41197;Geokichla;piaggiae;Abyssinian Ground Thrush;tanganijcae;Louis Boon;Uganda;Bwindi NP;-1.026308;29.679222;song;Kivugrthrush.mp3;http://www.xeno-canto.org/sounds/uploaded/IODAFNJGEM/Kivugrthrush.mp3;http://www.xeno-canto.org/sounds/uploaded/IODAFNJGEM/ffts/tb/Kivugrthrush.png
72876;Geokichla;piaggiae;Abyssinian Ground Thrush;piaggiae;James Bradley;Kenya;Kericho Tea Estates;-0.351;35.319;song;Abyssinian Ground Thrush_2a_Kericho_17Jan2011.mp3;http://www.xeno-canto.org/sounds/uploaded/ITRQTFVLNT/Abyssinian Ground Thrush_2a_Kericho_17Jan2011.mp3;http://www.xeno-canto.org/sounds/uploaded/ITRQTFVLNT/ffts/tb/Abyssinian Ground Thrush_2a_Kericho_17Jan2011.png
72877;Geokichla;piaggiae;Abyssinian Ground Thrush;piaggiae;James Bradley;Kenya;Kericho Tea Estates;-0.351;35.319;song;Abyssinian Ground Thrush_4a_Kericho_17Jan2011.mp3;http://www.xeno-canto.org/sounds/uploaded/ITRQTFVLNT/Abyssinian Ground Thrush_4a_Kericho_17Jan2011.mp3;http://www.xeno-canto.org/sounds/uploaded/ITRQTFVLNT/ffts/tb/Abyssinian Ground Thrush_4a_Kericho_17Jan2011.png
