44765;Atlapetes;fuscoolivaceus;Dusky-headed Brush Finch;;Juan Pablo López O;Colombia;Huila, Municipio Teruel, Vereda Corrales, Finca El Diamante;;;song;Atlapetes fuscoolivaceus.mp3;http://www.xeno-canto.org/sounds/uploaded/UAYUTDXXII/Atlapetes fuscoolivaceus.mp3;http://www.xeno-canto.org/sounds/uploaded/UAYUTDXXII/ffts/tb/Atlapetes fuscoolivaceus.png
58940;Atlapetes;fuscoolivaceus;Dusky-headed Brush Finch;;Andrew Spencer;Colombia;San Agustin, Huila;1.88;-76.268;calls and song;Dusky-headed Brush-Finch2010-6-26-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Dusky-headed Brush-Finch2010-6-26-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Dusky-headed Brush-Finch2010-6-26-1.png
58941;Atlapetes;fuscoolivaceus;Dusky-headed Brush Finch;;Andrew Spencer;Colombia;San Agustin, Huila;1.88;-76.268;song;Dusky-headed Brush-Finch2010-6-26-2.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Dusky-headed Brush-Finch2010-6-26-2.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Dusky-headed Brush-Finch2010-6-26-2.png
58942;Atlapetes;fuscoolivaceus;Dusky-headed Brush Finch;;Andrew Spencer;Colombia;San Agustin, Huila;1.88;-76.268;calls;Dusky-headed Brush-Finch2010-6-26-3.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Dusky-headed Brush-Finch2010-6-26-3.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Dusky-headed Brush-Finch2010-6-26-3.png
