19836;Ficedula;strophiata;Rufous-gorgeted Flycatcher;;David Farrow;Bhutan;Nobding;;;song;rufous-gorgettedflycatchersongbhutanFarrow.mp3;http://www.xeno-canto.org/sounds/uploaded/RNVWOVLEUN/rufous-gorgettedflycatchersongbhutanFarrow.mp3;http://www.xeno-canto.org/sounds/uploaded/RNVWOVLEUN/ffts/tb/rufous-gorgettedflycatchersongbhutanFarrow.png
20198;Ficedula;strophiata;Rufous-gorgeted Flycatcher;strophiata;Nick Athanas;China;Wu Yi-Peng, Sichuan;30.9939;103.1601;call;HI-0556-Rufous-gorgeted-Flycatcher.mp3;http://www.xeno-canto.org/sounds/uploaded/XRABICUARW/HI-0556-Rufous-gorgeted-Flycatcher.mp3;http://www.xeno-canto.org/sounds/uploaded/XRABICUARW/ffts/tb/HI-0556-Rufous-gorgeted-Flycatcher.png
65083;Ficedula;strophiata;Rufous-gorgeted Flycatcher;strophiata;David Edwards;Vietnam;Komtum province;;;song;Rufous-gorgettedFlycatcher_KomtumVN_Edwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/Rufous-gorgettedFlycatcher_KomtumVN_Edwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/ffts/tb/Rufous-gorgettedFlycatcher_KomtumVN_Edwards.png
65084;Ficedula;strophiata;Rufous-gorgeted Flycatcher;strophiata;David Edwards;Vietnam;Komtum province;;;song;Rufous-gorgettedFlycatcher2_KomtumVN_Edwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/Rufous-gorgettedFlycatcher2_KomtumVN_Edwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/ffts/tb/Rufous-gorgettedFlycatcher2_KomtumVN_Edwards.png
65085;Ficedula;strophiata;Rufous-gorgeted Flycatcher;strophiata;David Edwards;Vietnam;Komtum province;;;song;Rufous-gorgettedFlycatcher3_KomtumVN_Edwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/Rufous-gorgettedFlycatcher3_KomtumVN_Edwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/ffts/tb/Rufous-gorgettedFlycatcher3_KomtumVN_Edwards.png
78540;Ficedula;strophiata;Rufous-gorgeted Flycatcher;;Frank Lambert;India;Mandala Pass, Arunachal Pradesh;27.2828;92.2639;calls;Ficedula_strophiata-FL song Mandala Road 15April2011 1700m R09-0187.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Ficedula_strophiata-FL song Mandala Road 15April2011 1700m R09-0187.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Ficedula_strophiata-FL song Mandala Road 15April2011 1700m R09-0187.png
78541;Ficedula;strophiata;Rufous-gorgeted Flycatcher;;Frank Lambert;India;Mandala Pass, Arunachal Pradesh;27.2828;92.2639;calls;Ficedula_strophiata-FL song Mandala Road 15April2011 2000m R09-0181.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Ficedula_strophiata-FL song Mandala Road 15April2011 2000m R09-0181.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Ficedula_strophiata-FL song Mandala Road 15April2011 2000m R09-0181.png
