64936;Illadopsis;fulvescens;Brown Illadopsis;ugandae;Erik Eggenkamp;Uganda;Primate Lodge, Kibale Forest National Park;0.4459;30.3901;song;Illadopsis_fulvescens_ugandae_20100624_zang_Kibale_NP_OEG_LS100282egg-z.mp3;http://www.xeno-canto.org/sounds/uploaded/XIVWTGAUKY/Illadopsis_fulvescens_ugandae_20100624_zang_Kibale_NP_OEG_LS100282egg-z.mp3;http://www.xeno-canto.org/sounds/uploaded/XIVWTGAUKY/ffts/tb/Illadopsis_fulvescens_ugandae_20100624_zang_Kibale_NP_OEG_LS100282egg-z.png
99052;Illadopsis;fulvescens;Brown Illadopsis;iboensis;Mike Nelson;Cameroon;Korup National Park;5.059;8.807;Song;BrownIlladopsis.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/BrownIlladopsis.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/BrownIlladopsis.png
99053;Illadopsis;fulvescens;Brown Illadopsis;iboensis;Mike Nelson;Cameroon;Korup National Park;5.059;8.807;Song;BrownIlladopsis2.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/BrownIlladopsis2.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/BrownIlladopsis2.png
