20865;Incaspiza;watkinsi;Little Inca Finch;;Huw Lloyd;Peru;Jaen, Cajamarca;-5.707;-78.806;Calls;LLOYDLittleincafinch.mp3;http://www.xeno-canto.org/sounds/uploaded/GVQLIFGMIY/LLOYDLittleincafinch.mp3;http://www.xeno-canto.org/sounds/uploaded/GVQLIFGMIY/ffts/tb/LLOYDLittleincafinch.png
40714;Incaspiza;watkinsi;Little Inca Finch;;David Beadle;Peru;east of Bagua Grande;;;call;LittleInca-Finch(calls).mp3;http://www.xeno-canto.org/sounds/uploaded/ETVSBTKLBC/LittleInca-Finch(calls).mp3;http://www.xeno-canto.org/sounds/uploaded/ETVSBTKLBC/ffts/tb/LittleInca-Finch(calls).png
42313;Incaspiza;watkinsi;Little Inca Finch;;Andrew Spencer;Peru;Bagua Chica, Amazonas;-5.6167;-78.5334;call;Little Inca-Finch2010-1-5-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Little Inca-Finch2010-1-5-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Little Inca-Finch2010-1-5-1.png
42314;Incaspiza;watkinsi;Little Inca Finch;;Andrew Spencer;Peru;Bagua Chica, Amazonas;-5.6167;-78.5334;call;Little Inca-Finch2010-1-5-2.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Little Inca-Finch2010-1-5-2.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Little Inca-Finch2010-1-5-2.png
42315;Incaspiza;watkinsi;Little Inca Finch;;Andrew Spencer;Peru;Bagua Chica, Amazonas;-5.6167;-78.5334;call;Little Inca-Finch2010-1-5-3.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Little Inca-Finch2010-1-5-3.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Little Inca-Finch2010-1-5-3.png
