1004;Molothrus;aeneus;Bronzed Cowbird;;Robin Carter;Costa Rica;Finca Daniel;10.1167;-84.7001;song;BronzedCowbird20020716.mp3;http://www.xeno-canto.org/sounds/uploaded/LNBKSKKLXO/BronzedCowbird20020716.mp3;http://www.xeno-canto.org/sounds/uploaded/LNBKSKKLXO/ffts/tb/BronzedCowbird20020716.png
21961;Molothrus;aeneus;Bronzed Cowbird;;Chris Parrish;United States;Welder Wildlife Refuge, San Patricio County, Texas;28.1137;-97.4228;calls in flight;cp0647_xc_Molothrus_aeneus_29may2008_Welder.mp3;http://www.xeno-canto.org/sounds/uploaded/IHIOGGZVQA/cp0647_xc_Molothrus_aeneus_29may2008_Welder.mp3;http://www.xeno-canto.org/sounds/uploaded/IHIOGGZVQA/ffts/tb/cp0647_xc_Molothrus_aeneus_29may2008_Welder.png
29882;Molothrus;aeneus;Bronzed Cowbird;;Daniel Lane;United States;Baton Rouge, East B. R. Parish, LA;30.4334;-91.1667;song, calls;Molothrus aeneus090214_T1248.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/Molothrus aeneus090214_T1248.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/ffts/tb/Molothrus aeneus090214_T1248.png
45251;Molothrus;aeneus;Bronzed Cowbird;armenti;Bernabe Lopez-Lanus;Colombia;Cano Clarin Viejo (frente a Barranquilla desde Palermo, sobre el rio Magdalena), Parque Nacional Isla de Salamanca, Magdalena;10.974;-74.748;Song;Molothrus aeneus armenti_Colombian Bronzed Cowbird_Cano Clarin Viejo (frente a Barranquilla)_Palermo_PN Isla de Salamanca_Magdalena_15MAY2001_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Molothrus aeneus armenti_Colombian Bronzed Cowbird_Cano Clarin Viejo (frente a Barranquilla)_Palermo_PN Isla de Salamanca_Magdalena_15MAY2001_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Molothrus aeneus armenti_Colombian Bronzed Cowbird_Cano Clarin Viejo (frente a Barranquilla)_Palermo_PN Isla de Salamanca_Magdalena_15MAY2001_Bernabe Lopez-Lanus.png
45252;Molothrus;aeneus;Bronzed Cowbird;armenti;Bernabe Lopez-Lanus;Colombia;Cano Clarin Viejo (frente a Barranquilla desde Palermo, sobre el rio Magdalena), Parque Nacional Isla de Salamanca, Magdalena;10.9739;-74.7478;Second song;Molothrus aeneus armenti_Colombian Bronzed Cowbird_Cano Clarin Viejo (frente a Barranquilla)_Palermo_PN Isla de Salamanca_Magdalena_15MAY2001b_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Molothrus aeneus armenti_Colombian Bronzed Cowbird_Cano Clarin Viejo (frente a Barranquilla)_Palermo_PN Isla de Salamanca_Magdalena_15MAY2001b_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Molothrus aeneus armenti_Colombian Bronzed Cowbird_Cano Clarin Viejo (frente a Barranquilla)_Palermo_PN Isla de Salamanca_Magdalena_15MAY2001b_Bernabe Lopez-Lanus.png
45253;Molothrus;aeneus;Bronzed Cowbird;armenti;Bernabe Lopez-Lanus;Colombia;Cano Clarin Viejo (frente a Barranquilla desde Palermo, sobre el rio Magdalena), Parque Nacional Isla de Salamanca, Magdalena;10.9739;-74.7478;Second song;Molothrus aeneus armenti_Colombian Bronzed Cowbird_Cano Clarin Viejo (frente a Barranquilla)_Palermo_PN Isla de Salamanca_Magdalena_15MAY2001c_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Molothrus aeneus armenti_Colombian Bronzed Cowbird_Cano Clarin Viejo (frente a Barranquilla)_Palermo_PN Isla de Salamanca_Magdalena_15MAY2001c_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Molothrus aeneus armenti_Colombian Bronzed Cowbird_Cano Clarin Viejo (frente a Barranquilla)_Palermo_PN Isla de Salamanca_Magdalena_15MAY2001c_Bernabe Lopez-Lanus.png
45254;Molothrus;aeneus;Bronzed Cowbird;armenti;Bernabe Lopez-Lanus;Colombia;Cienaga El Convento, Vereda El Puerto, Municipio Sabana Grande (Barranquilla), Atlantico;;;Second song;Molothrus aeneus armenti_Colombian Bronzed Cowbird_Cienaga El Convento_Vereda El Puerto_Mpio Sabana Grande (Barranquilla),_Atlantico_Colombia_13MAY2001d_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Molothrus aeneus armenti_Colombian Bronzed Cowbird_Cienaga El Convento_Vereda El Puerto_Mpio Sabana Grande (Barranquilla),_Atlantico_Colombia_13MAY2001d_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Molothrus aeneus armenti_Colombian Bronzed Cowbird_Cienaga El Convento_Vereda El Puerto_Mpio Sabana Grande (Barranquilla),_Atlantico_Colombia_13MAY2001d_Bernabe Lopez-Lanus.png
45255;Molothrus;aeneus;Bronzed Cowbird;armenti;Bernabe Lopez-Lanus;Colombia;Cienaga El Convento, Vereda El Puerto, Municipio Sabana Grande (Barranquilla), Atlantico;;;Second song;Molothrus aeneus armenti_Colombian Bronzed Cowbird_Cienaga El Convento_Vereda El Puerto_Mpio Sabana Grande (Barranquilla),_Atlantico_Colombia_13MAY2001e_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Molothrus aeneus armenti_Colombian Bronzed Cowbird_Cienaga El Convento_Vereda El Puerto_Mpio Sabana Grande (Barranquilla),_Atlantico_Colombia_13MAY2001e_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Molothrus aeneus armenti_Colombian Bronzed Cowbird_Cienaga El Convento_Vereda El Puerto_Mpio Sabana Grande (Barranquilla),_Atlantico_Colombia_13MAY2001e_Bernabe Lopez-Lanus.png
45256;Molothrus;aeneus;Bronzed Cowbird;armenti;Bernabe Lopez-Lanus;Colombia;Cienaga El Convento, Vereda El Puerto, Municipio Sabana Grande (Barranquilla), Atlantico;;;Second song;Molothrus aeneus armenti_Colombian Bronzed Cowbird_Cienaga El Convento_Vereda El Puerto_Mpio Sabana Grande (Barranquilla),_Atlantico_Colombia_13MAY2001f_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Molothrus aeneus armenti_Colombian Bronzed Cowbird_Cienaga El Convento_Vereda El Puerto_Mpio Sabana Grande (Barranquilla),_Atlantico_Colombia_13MAY2001f_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Molothrus aeneus armenti_Colombian Bronzed Cowbird_Cienaga El Convento_Vereda El Puerto_Mpio Sabana Grande (Barranquilla),_Atlantico_Colombia_13MAY2001f_Bernabe Lopez-Lanus.png
45258;Molothrus;aeneus;Bronzed Cowbird;armenti;Bernabe Lopez-Lanus;Colombia;Cienaga El Convento, Vereda El Puerto, Municipio Sabana Grande (Barranquilla), Atlantico;;;Calls;Molothrus aeneus armenti_Colombian Bronzed Cowbird_Cienaga El Convento_Vereda El Puerto_Mpio Sabana Grande (Barranquilla),_Atlantico_Colombia_13MAY2001g_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Molothrus aeneus armenti_Colombian Bronzed Cowbird_Cienaga El Convento_Vereda El Puerto_Mpio Sabana Grande (Barranquilla),_Atlantico_Colombia_13MAY2001g_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Molothrus aeneus armenti_Colombian Bronzed Cowbird_Cienaga El Convento_Vereda El Puerto_Mpio Sabana Grande (Barranquilla),_Atlantico_Colombia_13MAY2001g_Bernabe Lopez-Lanus.png
56962;Molothrus;aeneus;Bronzed Cowbird;armenti;Bernabe Lopez-Lanus;Colombia;Cano Clarin Viejo, Palermo, Isla de Salamanca, Magdalena;10.9901;-74.7451;Song;a Molothrus aeneus armenti_Alrededores de Cano Clarin Viejo_Palermo (frente a Barranquilla)_Isla Salamanca_Magdalena_Colombia_15MAY2001 0630 c_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/a Molothrus aeneus armenti_Alrededores de Cano Clarin Viejo_Palermo (frente a Barranquilla)_Isla Salamanca_Magdalena_Colombia_15MAY2001 0630 c_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/a Molothrus aeneus armenti_Alrededores de Cano Clarin Viejo_Palermo (frente a Barranquilla)_Isla Salamanca_Magdalena_Colombia_15MAY2001 0630 c_Bernabe Lopez-Lanus.png
