17247;Dacnis;venusta;Scarlet-thighed Dacnis;;Andrew Spencer;Ecuador;Humedal del Yalare, Esmeraldas;1.1001;-78.8501;call;Scarlet-thiged Dacnis2008-1-19calls1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Scarlet-thiged Dacnis2008-1-19calls1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Scarlet-thiged Dacnis2008-1-19calls1.png
65678;Dacnis;venusta;Scarlet-thighed Dacnis;;Daniel Lane;Costa Rica;Wilson Garden Research Station, Puntarenas Prov.;8.7851;-82.9645;call;Dacnis.venusta0102-1.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/Dacnis.venusta0102-1.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/ffts/tb/Dacnis.venusta0102-1.png
78679;Dacnis;venusta;Scarlet-thighed Dacnis;;William Adsett;Panama;Altos del Torreón, Altos de Cerro Azul;9.166;-79.404;call;ScarletthighedDacnis110401.mp3;http://www.xeno-canto.org/sounds/uploaded/WNGXTLHREQ/ScarletthighedDacnis110401.mp3;http://www.xeno-canto.org/sounds/uploaded/WNGXTLHREQ/ffts/tb/ScarletthighedDacnis110401.png
