5863;Geothlypis;nelsoni;Hooded Yellowthroat;;Manuel Grosselet;Mexico;Botanical Garden UNAM;19.316327;-99.193926;song;Hooded yellowthroat.mp3;http://www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/Hooded yellowthroat.mp3;http://www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/ffts/tb/Hooded yellowthroat.png
56259;Geothlypis;nelsoni;Hooded Yellowthroat;;manuel Grosselet;Mexico;MX Distrito federal la Loma baja;19.374;-99.249;call;Hoodedyellowthroatcall.mp3;http://www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/Hoodedyellowthroatcall.mp3;http://www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/ffts/tb/Hoodedyellowthroatcall.png
58122;Geothlypis;nelsoni;Hooded Yellowthroat;;Jon King;Mexico;Las Minas road, near Xalapa, Veracruz;;;call;Yellowthroat_Hooded_call_0290_220610_0947.mp3;http://www.xeno-canto.org/sounds/uploaded/LNEEOOWCQR/Yellowthroat_Hooded_call_0290_220610_0947.mp3;http://www.xeno-canto.org/sounds/uploaded/LNEEOOWCQR/ffts/tb/Yellowthroat_Hooded_call_0290_220610_0947.png
58123;Geothlypis;nelsoni;Hooded Yellowthroat;;Jon King;Mexico;Las Minas road, near Xalapa, Veracruz;;;calls and song;Yellowthroat_Hooded_callandsong_0298_230610_0734.mp3;http://www.xeno-canto.org/sounds/uploaded/LNEEOOWCQR/Yellowthroat_Hooded_callandsong_0298_230610_0734.mp3;http://www.xeno-canto.org/sounds/uploaded/LNEEOOWCQR/ffts/tb/Yellowthroat_Hooded_callandsong_0298_230610_0734.png
58124;Geothlypis;nelsoni;Hooded Yellowthroat;;Jon King;Mexico;Las Minas road, near Xalapa, Veracruz;;;song;Yellowthroat_Hooded_song_0296_230610_0654.mp3;http://www.xeno-canto.org/sounds/uploaded/LNEEOOWCQR/Yellowthroat_Hooded_song_0296_230610_0654.mp3;http://www.xeno-canto.org/sounds/uploaded/LNEEOOWCQR/ffts/tb/Yellowthroat_Hooded_song_0296_230610_0654.png
65768;Geothlypis;nelsoni;Hooded Yellowthroat;;Daniel Lane;Mexico;'Pollo Nino', MX-175, Oaxaca;17.124;-96.625;calls, chatter;Geothlypis.nelsoni0704-1.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/Geothlypis.nelsoni0704-1.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/ffts/tb/Geothlypis.nelsoni0704-1.png
