8346;Sturnella;superciliaris;White-browed Blackbird;;Alvaro Riccetto;Uruguay;La Higuerita,Lavalleja;;;calls and flight  song;pechocolo1.alvaricc.mp3;http://www.xeno-canto.org/sounds/uploaded/IGDDGNGPAL/pechocolo1.alvaricc.mp3;http://www.xeno-canto.org/sounds/uploaded/IGDDGNGPAL/ffts/tb/pechocolo1.alvaricc.png
6151;Sturnella;superciliaris;White-browed Blackbird;;Jeremy Minns;Brazil;Barra do Quaraí;-30.1834;-57.4501;song;Sturnella_superciliaris.mp3;http://www.xeno-canto.org/sounds/uploaded/DGVLLRYDXS/Sturnella_superciliaris.mp3;http://www.xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/tb/Sturnella_superciliaris.png
6871;Sturnella;superciliaris;White-browed Blackbird;;Glauco Alves Pereira;Brazil;Sítio Pitombeiras, Feira Nova, Pernambuco;;;two songs (warbling and song);Sturnela_superciliaris (gorjeio e canto)_Sitio Pitombeiras_Feira Nova_PE_05.08.06_Glauco.mp3;http://www.xeno-canto.org/sounds/uploaded/ZWEROGGYVP/Sturnela_superciliaris (gorjeio e canto)_Sitio Pitombeiras_Feira Nova_PE_05.08.06_Glauco.mp3;http://www.xeno-canto.org/sounds/uploaded/ZWEROGGYVP/ffts/tb/Sturnela_superciliaris (gorjeio e canto)_Sitio Pitombeiras_Feira Nova_PE_05.08.06_Glauco.png
6872;Sturnella;superciliaris;White-browed Blackbird;;Glauco Alves Pereira;Brazil;Sítio Pitombeiras, Feira Nova, Pernambuco;;;two calls and song;Sturnela_superciliaris_(two calls and song)_Sitio Pitombeiras_Feira Nova_PE_06.08.06_Glauco.mp3;http://www.xeno-canto.org/sounds/uploaded/ZWEROGGYVP/Sturnela_superciliaris_(two calls and song)_Sitio Pitombeiras_Feira Nova_PE_06.08.06_Glauco.mp3;http://www.xeno-canto.org/sounds/uploaded/ZWEROGGYVP/ffts/tb/Sturnela_superciliaris_(two calls and song)_Sitio Pitombeiras_Feira Nova_PE_06.08.06_Glauco.png
13936;Sturnella;superciliaris;White-browed Blackbird;;Fernando Jacobs;Brazil;Hidráulica - Capão do Leão, Rio Grande do Sul;-31.72889;-52.48944;song and calls;Policia-inglesa - Sturnella superciliaris.mp3;http://www.xeno-canto.org/sounds/uploaded/MHHPJBCUXC/Policia-inglesa - Sturnella superciliaris.mp3;http://www.xeno-canto.org/sounds/uploaded/MHHPJBCUXC/ffts/tb/Policia-inglesa - Sturnella superciliaris.png
13939;Sturnella;superciliaris;White-browed Blackbird;;Fernando Jacobs;Brazil;Hidráulica - Capão do Leão, Rio Grande do Sul;-31.72889;-52.48944;song and calls;Policia-inglesa - Sturnella superciliaris2.mp3;http://www.xeno-canto.org/sounds/uploaded/MHHPJBCUXC/Policia-inglesa - Sturnella superciliaris2.mp3;http://www.xeno-canto.org/sounds/uploaded/MHHPJBCUXC/ffts/tb/Policia-inglesa - Sturnella superciliaris2.png
18509;Sturnella;superciliaris;White-browed Blackbird;;Robson Silva e Silva;Brazil;Tapira, Minas Gerais state;-19.92222;-46.82306;;Sturnella_superciliaris_Tapira_MG_05_Dez_2007_RSS.mp3;http://www.xeno-canto.org/sounds/uploaded/WZSVLIHYQF/Sturnella_superciliaris_Tapira_MG_05_Dez_2007_RSS.mp3;http://www.xeno-canto.org/sounds/uploaded/WZSVLIHYQF/ffts/tb/Sturnella_superciliaris_Tapira_MG_05_Dez_2007_RSS.png
22103;Sturnella;superciliaris;White-browed Blackbird;;Filipe Cristovão Ribeiro da Cunha;Brazil;Caçu, Goiás;-18.563273;-51.137238;song and call;S. superciliaris 1.mp3;http://www.xeno-canto.org/sounds/uploaded/JBRXMTSBCV/S. superciliaris 1.mp3;http://www.xeno-canto.org/sounds/uploaded/JBRXMTSBCV/ffts/tb/S. superciliaris 1.png
43270;Sturnella;superciliaris;White-browed Blackbird;;Evair Legal;Brazil;Salseiro, Vidal Ramos, Santa Catarina;-27.39726;-49.379082;call;Icteridae._Sturnella_superciliaris_Salseiro_Vidal_Ramos_16.01.2010_call_ELXC.mp3;http://www.xeno-canto.org/sounds/uploaded/SMJXFKLATM/Icteridae._Sturnella_superciliaris_Salseiro_Vidal_Ramos_16.01.2010_call_ELXC.mp3;http://www.xeno-canto.org/sounds/uploaded/SMJXFKLATM/ffts/tb/Icteridae._Sturnella_superciliaris_Salseiro_Vidal_Ramos_16.01.2010_call_ELXC.png
48043;Sturnella;superciliaris;White-browed Blackbird;;Bernabe Lopez-Lanus;Argentina;Estancia El Potrero (alrededores casco), Gualeguaychu_Entre Rios;;;Flight display song;Sturnella superciliaris_White-browed Blackbird_Estancia El Potrero (alrededores casco)_Gualeguaychu_Entre Rios_Argentina_2008 a_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Sturnella superciliaris_White-browed Blackbird_Estancia El Potrero (alrededores casco)_Gualeguaychu_Entre Rios_Argentina_2008 a_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Sturnella superciliaris_White-browed Blackbird_Estancia El Potrero (alrededores casco)_Gualeguaychu_Entre Rios_Argentina_2008 a_Bernabe Lopez-Lanus.png
48044;Sturnella;superciliaris;White-browed Blackbird;;Bernabe Lopez-Lanus;Argentina;Bajos Submeridionales (alrededores Laguna ElPalmar), La Ciguena, Vera, Santa Fe;;;Songs complex;Sturnella superciliaris_White-browed Blackbird_Bajos Submeridionales (alrededores laguna El Palmar)_La Ciguena_Vera_Santa Fe_ARG b_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Sturnella superciliaris_White-browed Blackbird_Bajos Submeridionales (alrededores laguna El Palmar)_La Ciguena_Vera_Santa Fe_ARG b_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Sturnella superciliaris_White-browed Blackbird_Bajos Submeridionales (alrededores laguna El Palmar)_La Ciguena_Vera_Santa Fe_ARG b_Bernabe Lopez-Lanus.png
