18019;Turdoides;plebejus;Brown Babbler;;Allen T. Chartier;Gambia;Kotu Beach;13.4578;-16.7095;Song;Turdoides_plebejus_GAM-Kotu_19951118_S1-group_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/Turdoides_plebejus_GAM-Kotu_19951118_S1-group_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/ffts/tb/Turdoides_plebejus_GAM-Kotu_19951118_S1-group_ATC.png
78314;Turdoides;plebejus;Brown Babbler;platycirca;Bram Piot;Burkina Faso;Forêt de Bängr-Weoogo, Ouagadougou;12.3909;-1.4928;Call;Turdoides_plebejus_Ouagadougou_20110521_edited2.mp3;http://www.xeno-canto.org/sounds/uploaded/RGSEIIJGHA/Turdoides_plebejus_Ouagadougou_20110521_edited2.mp3;http://www.xeno-canto.org/sounds/uploaded/RGSEIIJGHA/ffts/tb/Turdoides_plebejus_Ouagadougou_20110521_edited2.png
78315;Turdoides;plebejus;Brown Babbler;platycirca;Bram Piot;Burkina Faso;Forêt de Bängr-Weoogo, Ouagadougou;12.3909;-1.4928;Call;Turdoides_plebejus_Ouagadougou_20110521_edited1.mp3;http://www.xeno-canto.org/sounds/uploaded/RGSEIIJGHA/Turdoides_plebejus_Ouagadougou_20110521_edited1.mp3;http://www.xeno-canto.org/sounds/uploaded/RGSEIIJGHA/ffts/tb/Turdoides_plebejus_Ouagadougou_20110521_edited1.png
