34149;Actinodura;morrisoniana;Taiwan Barwing;;Frank Lambert;Taiwan;Blue Gate Trail;;;coarse chattering;BARWINGTaiwanese_FL (chattering) BlueGateTrail28Apr09.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/BARWINGTaiwanese_FL (chattering) BlueGateTrail28Apr09.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/BARWINGTaiwanese_FL (chattering) BlueGateTrail28Apr09.png
62887;Actinodura;morrisoniana;Taiwan Barwing;;Chie-Jen (Jerome) Ko;Taiwan;Yushan National Park;23.512;120.8906;call;169-208-02.mp3;http://www.xeno-canto.org/sounds/uploaded/KJIUMYQVMO/169-208-02.mp3;http://www.xeno-canto.org/sounds/uploaded/KJIUMYQVMO/ffts/tb/169-208-02.png
72915;Actinodura;morrisoniana;Taiwan Barwing;;Chie-Jen (Jerome) Ko;Taiwan;Yushan National Park;23.512;120.8906;;169-208-02b.mp3;http://www.xeno-canto.org/sounds/uploaded/KJIUMYQVMO/169-208-02b.mp3;http://www.xeno-canto.org/sounds/uploaded/KJIUMYQVMO/ffts/tb/169-208-02b.png
