1757;Sporophila;ruficollis;Dark-throated Seedeater;;Sjoerd Mayer;Bolivia;Samaipata, Santa Cruz;-18.0167;-63.8667;Calls;21/a06.mp3;http://www.xeno-canto.org/sounds/uploaded/KOIEAHGHNX/21/a06.mp3;http://www.xeno-canto.org/sounds/uploaded/KOIEAHGHNX/ffts/tb/21_a06.png
49704;Sporophila;ruficollis;Dark-throated Seedeater;;Rosendo Fraga;Paraguay;Estancia La Rafaela, Bajo Chaco;;;call;SEEDEATER Dark-throated_19_Estancia La Rafaela_Bajo Chaco_PY_31OCT02_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/SEEDEATER Dark-throated_19_Estancia La Rafaela_Bajo Chaco_PY_31OCT02_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/ffts/tb/SEEDEATER Dark-throated_19_Estancia La Rafaela_Bajo Chaco_PY_31OCT02_Rosendo Fraga.png
50171;Sporophila;ruficollis;Dark-throated Seedeater;;Miguel Angel Roda;Argentina;Buenos Aires;;;song;SEEDEATER Dark-throated_06_Partido de Saladillo_Buenos Aires_AR_1989_verano_Miguel Angel Roda.mp3;http://www.xeno-canto.org/sounds/uploaded/FKVINBDVIO/SEEDEATER Dark-throated_06_Partido de Saladillo_Buenos Aires_AR_1989_verano_Miguel Angel Roda.mp3;http://www.xeno-canto.org/sounds/uploaded/FKVINBDVIO/ffts/tb/SEEDEATER Dark-throated_06_Partido de Saladillo_Buenos Aires_AR_1989_verano_Miguel Angel Roda.png
50172;Sporophila;ruficollis;Dark-throated Seedeater;;Miguel Angel Roda;Argentina;Buenos Aires;;;song;SEEDEATER Dark-throated_07_Partido de Saladillo_Buenos Aires_AR_1989_verano_Miguel Angel Roda.mp3;http://www.xeno-canto.org/sounds/uploaded/FKVINBDVIO/SEEDEATER Dark-throated_07_Partido de Saladillo_Buenos Aires_AR_1989_verano_Miguel Angel Roda.mp3;http://www.xeno-canto.org/sounds/uploaded/FKVINBDVIO/ffts/tb/SEEDEATER Dark-throated_07_Partido de Saladillo_Buenos Aires_AR_1989_verano_Miguel Angel Roda.png
51910;Sporophila;ruficollis;Dark-throated Seedeater;;Bernabe Lopez-Lanus;Argentina;Puente Barral, 25 de Mayo, Buenos Aires;;;song;SEEDEATER Dark-throated_01_Puente Barral_25 de Mayo_Buenos Aires_AR_4FEB06_B Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/SEEDEATER Dark-throated_01_Puente Barral_25 de Mayo_Buenos Aires_AR_4FEB06_B Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/SEEDEATER Dark-throated_01_Puente Barral_25 de Mayo_Buenos Aires_AR_4FEB06_B Lopez-Lanus.png
51911;Sporophila;ruficollis;Dark-throated Seedeater;;Bernabe Lopez-Lanus;Argentina;Puente Barral, 25 de Mayo, Buenos Aires;;;song;SEEDEATER Dark-throated_02_Puente Barral_25 de Mayo_Buenos Aires_AR_4FEB06_B Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/SEEDEATER Dark-throated_02_Puente Barral_25 de Mayo_Buenos Aires_AR_4FEB06_B Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/SEEDEATER Dark-throated_02_Puente Barral_25 de Mayo_Buenos Aires_AR_4FEB06_B Lopez-Lanus.png
51912;Sporophila;ruficollis;Dark-throated Seedeater;;Bernabe Lopez-Lanus;Argentina;Puente Barral, 25 de Mayo, Buenos Aires;;;song;SEEDEATER Dark-throated_03_Puente Barral_25 de Mayo_Buenos Aires_AR_4FEB06_B Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/SEEDEATER Dark-throated_03_Puente Barral_25 de Mayo_Buenos Aires_AR_4FEB06_B Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/SEEDEATER Dark-throated_03_Puente Barral_25 de Mayo_Buenos Aires_AR_4FEB06_B Lopez-Lanus.png
51913;Sporophila;ruficollis;Dark-throated Seedeater;;Bernabe Lopez-Lanus;Argentina;Puente Barral, 25 de Mayo, Buenos Aires;;;song;SEEDEATER Dark-throated_04_Puente Barral_25 de Mayo_Buenos Aires_AR_4FEB06_B Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/SEEDEATER Dark-throated_04_Puente Barral_25 de Mayo_Buenos Aires_AR_4FEB06_B Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/SEEDEATER Dark-throated_04_Puente Barral_25 de Mayo_Buenos Aires_AR_4FEB06_B Lopez-Lanus.png
51914;Sporophila;ruficollis;Dark-throated Seedeater;;Bernabe Lopez-Lanus;Argentina;Puente Barral, 25 de Mayo, Buenos Aires;;;song;SEEDEATER Dark-throated_05_Puente Barral_25 de Mayo_Buenos Aires_AR_24DIC06_B Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/SEEDEATER Dark-throated_05_Puente Barral_25 de Mayo_Buenos Aires_AR_24DIC06_B Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/SEEDEATER Dark-throated_05_Puente Barral_25 de Mayo_Buenos Aires_AR_24DIC06_B Lopez-Lanus.png
51915;Sporophila;ruficollis;Dark-throated Seedeater;;Bernabe Lopez-Lanus;Argentina;Puente Barral, 25 de Mayo, Buenos Aires;;;song;SEEDEATER Dark-throated_11_Puente Barral_25 de Mayo_Buenos Aires_AR_4FEB06_B Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/SEEDEATER Dark-throated_11_Puente Barral_25 de Mayo_Buenos Aires_AR_4FEB06_B Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/SEEDEATER Dark-throated_11_Puente Barral_25 de Mayo_Buenos Aires_AR_4FEB06_B Lopez-Lanus.png
51916;Sporophila;ruficollis;Dark-throated Seedeater;;Bernabe Lopez-Lanus;Argentina;Puente Barral, 25 de Mayo, Buenos Aires;;;song;SEEDEATER Dark-throated_13_Puente Barral_25 de Mayo_Buenos Aires_AR_4FEB06_B Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/SEEDEATER Dark-throated_13_Puente Barral_25 de Mayo_Buenos Aires_AR_4FEB06_B Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/SEEDEATER Dark-throated_13_Puente Barral_25 de Mayo_Buenos Aires_AR_4FEB06_B Lopez-Lanus.png
51917;Sporophila;ruficollis;Dark-throated Seedeater;;Bernabe Lopez-Lanus;Argentina;Puente Barral, 25 de Mayo, Buenos Aires;;;song;SEEDEATER Dark-throated_14_Puente Barral_25 de Mayo_Buenos Aires_AR_4FEB06_B Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/SEEDEATER Dark-throated_14_Puente Barral_25 de Mayo_Buenos Aires_AR_4FEB06_B Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/SEEDEATER Dark-throated_14_Puente Barral_25 de Mayo_Buenos Aires_AR_4FEB06_B Lopez-Lanus.png
51918;Sporophila;ruficollis;Dark-throated Seedeater;;Bernabe Lopez-Lanus;Argentina;Puente Barral, 25 de Mayo, Buenos Aires;;;song;SEEDEATER Dark-throated_15_Puente Barral_25 de Mayo_Buenos Aires_AR_4FEB06_B Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/SEEDEATER Dark-throated_15_Puente Barral_25 de Mayo_Buenos Aires_AR_4FEB06_B Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/SEEDEATER Dark-throated_15_Puente Barral_25 de Mayo_Buenos Aires_AR_4FEB06_B Lopez-Lanus.png
51919;Sporophila;ruficollis;Dark-throated Seedeater;;Bernabe Lopez-Lanus;Argentina;Puente Barral, 25 de Mayo, Buenos Aires;;;song;SEEDEATER Dark-throated_16_Puente Barral_25 de Mayo_Buenos Aires_AR_4FEB06_B Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/SEEDEATER Dark-throated_16_Puente Barral_25 de Mayo_Buenos Aires_AR_4FEB06_B Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/SEEDEATER Dark-throated_16_Puente Barral_25 de Mayo_Buenos Aires_AR_4FEB06_B Lopez-Lanus.png
51920;Sporophila;ruficollis;Dark-throated Seedeater;;Bernabe Lopez-Lanus;Argentina;Puente Barral, 25 de Mayo, Buenos Aires;;;song;SEEDEATER Dark-throated_18_Puente Barral_25 de Mayo_Buenos Aires_AR_4FEB06_B Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/SEEDEATER Dark-throated_18_Puente Barral_25 de Mayo_Buenos Aires_AR_4FEB06_B Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/SEEDEATER Dark-throated_18_Puente Barral_25 de Mayo_Buenos Aires_AR_4FEB06_B Lopez-Lanus.png
51921;Sporophila;ruficollis;Dark-throated Seedeater;;Bernabe Lopez-Lanus;Argentina;Puente Barral, 25 de Mayo, Buenos Aires;;;song;SEEDEATER Dark-throated_20_Puente Barral_25 de Mayo_Buenos Aires_AR_4FEB06_B Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/SEEDEATER Dark-throated_20_Puente Barral_25 de Mayo_Buenos Aires_AR_4FEB06_B Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/SEEDEATER Dark-throated_20_Puente Barral_25 de Mayo_Buenos Aires_AR_4FEB06_B Lopez-Lanus.png
