17901;Idiopsar;brachyurus;Short-tailed Finch;;Ramiro Yabar;Peru;Huilloc (above Ollantaytambo);;;calls?;Short-tailed Finch.mp3;http://www.xeno-canto.org/sounds/uploaded/AOAQPHUGAD/Short-tailed Finch.mp3;http://www.xeno-canto.org/sounds/uploaded/AOAQPHUGAD/ffts/tb/Short-tailed Finch.png
20637;Idiopsar;brachyurus;Short-tailed Finch;;Huw Lloyd;Peru;Mantanay, Cusco;-15.5981;-72.3914;Display song;LLOYDShorttailedFinch.mp3;http://www.xeno-canto.org/sounds/uploaded/GVQLIFGMIY/LLOYDShorttailedFinch.mp3;http://www.xeno-canto.org/sounds/uploaded/GVQLIFGMIY/ffts/tb/LLOYDShorttailedFinch.png
68510;Idiopsar;brachyurus;Short-tailed Finch;;Frank Lambert;Peru;Cuzco. Mantanay. not far from Urubamba;-13;-72;calls;Idiopsar_brachyurus_2003b-FRL_PE_12_1132-1245_1_C.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Idiopsar_brachyurus_2003b-FRL_PE_12_1132-1245_1_C.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Idiopsar_brachyurus_2003b-FRL_PE_12_1132-1245_1_C.png
