18465;Nigrita;canicapillus;Grey-headed Nigrita;schistaceus;Allen T. Chartier;Kenya;Kakamega Forest;0.26667;34.88333;Call;Nigrita_canicapilla_schistacea_KE-Kakamega_20000717_C1_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/Nigrita_canicapilla_schistacea_KE-Kakamega_20000717_C1_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/ffts/tb/Nigrita_canicapilla_schistacea_KE-Kakamega_20000717_C1_ATC.png
56577;Nigrita;canicapillus;Grey-headed Nigrita;emiliae;Mike Nelson;Ghana;Aboabo, Ghana;5.5859;-1.4089;Song;GreyheadedNegrofinch.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/GreyheadedNegrofinch.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/GreyheadedNegrofinch.png
99246;Nigrita;canicapillus;Grey-headed Nigrita;canicapillus;Mike Nelson;Cameroon;Limbe Botanical Garden, Limbe;4.0148;9.1778;Begging;GreyheadedNigritabeggingCameroon1.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/GreyheadedNigritabeggingCameroon1.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/GreyheadedNigritabeggingCameroon1.png
99247;Nigrita;canicapillus;Grey-headed Nigrita;canicapillus;Mike Nelson;Cameroon;Limbe Botanical Garden, Limbe;4.0148;9.1778;Begging;GreyheadedNigritabeggingCameroon2.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/GreyheadedNigritabeggingCameroon2.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/GreyheadedNigritabeggingCameroon2.png
99248;Nigrita;canicapillus;Grey-headed Nigrita;canicapillus;Mike Nelson;Cameroon;Mt Cameroon;4.1939;9.2009;Song;GreyheadedNigritaCameroon1.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/GreyheadedNigritaCameroon1.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/GreyheadedNigritaCameroon1.png
99249;Nigrita;canicapillus;Grey-headed Nigrita;canicapillus;Mike Nelson;Cameroon;Mt Cameroon;4.1939;9.2009;Song;GreyheadedNigritaCameroon2.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/GreyheadedNigritaCameroon2.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/GreyheadedNigritaCameroon2.png
99250;Nigrita;canicapillus;Grey-headed Nigrita;canicapillus;Mike Nelson;Cameroon;Mt Cameroon;4.1939;9.2009;Song;GreyheadedNigritaCameroon3.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/GreyheadedNigritaCameroon3.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/GreyheadedNigritaCameroon3.png
99251;Nigrita;canicapillus;Grey-headed Nigrita;canicapillus;Mike Nelson;Cameroon;Lake Barombi Mbo;4.6639;9.3901;Song;GreyheadedNigritaCameroon4.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/GreyheadedNigritaCameroon4.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/GreyheadedNigritaCameroon4.png
99252;Nigrita;canicapillus;Grey-headed Nigrita;canicapillus;Mike Nelson;Cameroon;Limbe Botanical Garden, Limbe;4.0148;9.1778;call;GreyheadedNigritaCameroon5.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/GreyheadedNigritaCameroon5.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/GreyheadedNigritaCameroon5.png
99253;Nigrita;canicapillus;Grey-headed Nigrita;canicapillus;Mike Nelson;Cameroon;Limbe Botanical Garden, Limbe;4.0148;9.1778;Song;GreyheadedNigritaCameroon6.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/GreyheadedNigritaCameroon6.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/GreyheadedNigritaCameroon6.png
