31199;Tangara;cabanisi;Cabanis's Tanager;;Jesse Fagan;Guatemala;Finca Los Andes;14.5333333;-91.1833333;song and single call;Tanager_Azure-rumped (song)_JF_Finca Los Andes_Guatemala_Mar 09.mp3;http://www.xeno-canto.org/sounds/uploaded/MKUJNSTVEZ/Tanager_Azure-rumped (song)_JF_Finca Los Andes_Guatemala_Mar 09.mp3;http://www.xeno-canto.org/sounds/uploaded/MKUJNSTVEZ/ffts/tb/Tanager_Azure-rumped (song)_JF_Finca Los Andes_Guatemala_Mar 09.png
36208;Tangara;cabanisi;Cabanis's Tanager;;Brian Gibbons;Mexico;Canada Honda, El Tiunfo Biosphere Reserve, Chiapas;;;song;506Azure_rumped_Tanager_ElTriunfo_29mar2009_Gibbons.mp3;http://www.xeno-canto.org/sounds/uploaded/SFYCOWCGCD/506Azure_rumped_Tanager_ElTriunfo_29mar2009_Gibbons.mp3;http://www.xeno-canto.org/sounds/uploaded/SFYCOWCGCD/ffts/tb/506Azure_rumped_Tanager_ElTriunfo_29mar2009_Gibbons.png
76190;Tangara;cabanisi;Cabanis's Tanager;;Josue de León;Guatemala;Los Tarrales;14.5262;-91.1667;Song;Tancab.mp3;http://www.xeno-canto.org/sounds/uploaded/CIHZMPXYOK/Tancab.mp3;http://www.xeno-canto.org/sounds/uploaded/CIHZMPXYOK/ffts/tb/Tancab.png
