21584;Oenanthe;chrysopygia;Red-tailed Wheatear;;Manuel Schweizer;Iran;Sharud;36.412442;54.971466;song;Oenanthe_chrys.mp3;http://www.xeno-canto.org/sounds/uploaded/KIFILMEEEO/Oenanthe_chrys.mp3;http://www.xeno-canto.org/sounds/uploaded/KIFILMEEEO/ffts/tb/Oenanthe_chrys.png
44535;Oenanthe;chrysopygia;Red-tailed Wheatear;;Herman van Oosten;Oman;Road between Lizq and Ibra;22.697;58.33;subsong;Oenanthe xantoprymna 08210 1002 Ibri subsong.mp3;http://www.xeno-canto.org/sounds/uploaded/SNUDCZVUQK/Oenanthe xantoprymna 08210 1002 Ibri subsong.mp3;http://www.xeno-canto.org/sounds/uploaded/SNUDCZVUQK/ffts/tb/Oenanthe xantoprymna 08210 1002 Ibri subsong.png
44536;Oenanthe;chrysopygia;Red-tailed Wheatear;;Herman van Oosten;Oman;Ras al Jinz;22.532;59.8;song?;Oenanthe xantoprymna 10210 0345 RaJinz.mp3;http://www.xeno-canto.org/sounds/uploaded/SNUDCZVUQK/Oenanthe xantoprymna 10210 0345 RaJinz.mp3;http://www.xeno-canto.org/sounds/uploaded/SNUDCZVUQK/ffts/tb/Oenanthe xantoprymna 10210 0345 RaJinz.png
