6027;Dolospingus;fringilloides;White-naped Seedeater;;Chris Parrish;Venezuela;San Carlos del Rio Negro, Amazonas;1.9201;-67.0606;song;Dolospingus_fringiloides_01.mp3;http://www.xeno-canto.org/sounds/uploaded/IHIOGGZVQA/Dolospingus_fringiloides_01.mp3;http://www.xeno-canto.org/sounds/uploaded/IHIOGGZVQA/ffts/tb/Dolospingus_fringiloides_01.png
66598;Dolospingus;fringilloides;White-naped Seedeater;;Jeremy Minns;Brazil;Presidente Figueiredo. Lages Ecological Park;-2.01;-60.0334;Song;DOLFRI02.mp3;http://www.xeno-canto.org/sounds/uploaded/DGVLLRYDXS/DOLFRI02.mp3;http://www.xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/tb/DOLFRI02.png
80972;Dolospingus;fringilloides;White-naped Seedeater;;Andrew Spencer;Colombia;Mitu, Vaupes;1.2598;-70.2367;call;White-naped Seedeater2011-6-9-1call.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/White-naped Seedeater2011-6-9-1call.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/White-naped Seedeater2011-6-9-1call.png
80973;Dolospingus;fringilloides;White-naped Seedeater;;Andrew Spencer;Colombia;Mitu, Vaupes;1.2598;-70.2367;song;White-naped Seedeater2011-6-9-3.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/White-naped Seedeater2011-6-9-3.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/White-naped Seedeater2011-6-9-3.png
81445;Dolospingus;fringilloides;White-naped Seedeater;;Andrew Spencer;Colombia;Mitu, Vaupes;1.2598;-70.2367;call;White-naped Seedeater2011-6-13-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/White-naped Seedeater2011-6-13-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/White-naped Seedeater2011-6-13-1.png
81446;Dolospingus;fringilloides;White-naped Seedeater;;Andrew Spencer;Colombia;Mitu, Vaupes;1.2598;-70.2367;call;White-naped Seedeater2011-6-13-3.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/White-naped Seedeater2011-6-13-3.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/White-naped Seedeater2011-6-13-3.png
81447;Dolospingus;fringilloides;White-naped Seedeater;;Andrew Spencer;Colombia;Mitu, Vaupes;1.2598;-70.2367;song;White-naped Seedeater2011-6-13-2.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/White-naped Seedeater2011-6-13-2.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/White-naped Seedeater2011-6-13-2.png
