20566;Cochoa;viridis;Green Cochoa;;Mike Catsis;Vietnam;Tam Dao;21.4834;105.6334;song;Green Cochoa.mp3;http://www.xeno-canto.org/sounds/uploaded/ZLOFZBWWBW/Green Cochoa.mp3;http://www.xeno-canto.org/sounds/uploaded/ZLOFZBWWBW/ffts/tb/Green Cochoa.png
33972;Cochoa;viridis;Green Cochoa;;Richard Thomas;India;Eaglenest Wildlife Sanctuary, Arunachal Pradesh;27.1001;92.4001;Song;Green_Cochoa.mp3;http://www.xeno-canto.org/sounds/uploaded/LINXSLKFSM/Green_Cochoa.mp3;http://www.xeno-canto.org/sounds/uploaded/LINXSLKFSM/ffts/tb/Green_Cochoa.png
41749;Cochoa;viridis;Green Cochoa;;John van der Woude;Thailand;Doi Inthanon;18.58333;98.48333;song;2a188_Green_Cochoa_Doi_Inthanon_Thailand_JvdW2003.mp3;http://www.xeno-canto.org/sounds/uploaded/LDKAWQWMRJ/2a188_Green_Cochoa_Doi_Inthanon_Thailand_JvdW2003.mp3;http://www.xeno-canto.org/sounds/uploaded/LDKAWQWMRJ/ffts/tb/2a188_Green_Cochoa_Doi_Inthanon_Thailand_JvdW2003.png
67970;Cochoa;viridis;Green Cochoa;;Frank Lambert;Thailand;Doi Inthanon;18.6;98.5;call;Cochoa_viridis_Thailand-96.1a-FRL_TH_7_204.7-214.9_1_C.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Cochoa_viridis_Thailand-96.1a-FRL_TH_7_204.7-214.9_1_C.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Cochoa_viridis_Thailand-96.1a-FRL_TH_7_204.7-214.9_1_C.png
67971;Cochoa;viridis;Green Cochoa;;Frank Lambert;Thailand;Doi Inthanon;18.6;98.5;call;Cochoa_viridis_Thailand-96.1a-FRL_TH_8_215.8-265.4_1_C.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Cochoa_viridis_Thailand-96.1a-FRL_TH_8_215.8-265.4_1_C.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Cochoa_viridis_Thailand-96.1a-FRL_TH_8_215.8-265.4_1_C.png
79924;Cochoa;viridis;Green Cochoa;;Frank Lambert;India;Eaglenest Wildlife Sanctuary, Arunachal Pradesh;27.1001;92.4001;song - one phrase;Cochoa_viridis-FL song Eaglenest 22 Apr11 2300m R09_0149.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Cochoa_viridis-FL song Eaglenest 22 Apr11 2300m R09_0149.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Cochoa_viridis-FL song Eaglenest 22 Apr11 2300m R09_0149.png
