53894;Cinnyris;johannae;Johanna's Sunbird;;Mike Catsis;Ghana;Kakum Nationalpark;5.3537;-1.3828;call;Johannas Sunbird.mp3;http://www.xeno-canto.org/sounds/uploaded/ZLOFZBWWBW/Johannas Sunbird.mp3;http://www.xeno-canto.org/sounds/uploaded/ZLOFZBWWBW/ffts/tb/Johannas Sunbird.png
99265;Cinnyris;johannae;Johanna's Sunbird;johannae;Mike Nelson;Cameroon;Mt Cameroon;4.1939;9.2009;Song;JohannasSunbird.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/JohannasSunbird.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/JohannasSunbird.png
99266;Cinnyris;johannae;Johanna's Sunbird;johannae;Mike Nelson;Cameroon;Mankon Sacred Forest, Mankon;6.0175;10.1056;Song;JohannasSunbird2.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/JohannasSunbird2.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/JohannasSunbird2.png
