42794;Geokichla;spiloptera;Spot-winged Thrush;;Brian Cox;Sri Lanka;Sinharaja;6.4109;80.5089;song;spot winged thrush.mp3;http://www.xeno-canto.org/sounds/uploaded/OKSKESEOLP/spot winged thrush.mp3;http://www.xeno-canto.org/sounds/uploaded/OKSKESEOLP/ffts/tb/spot winged thrush.png
69755;Geokichla;spiloptera;Spot-winged Thrush;;Frank Lambert;Sri Lanka;Sinharaja;6.4;80.5;song;Zoothera_spiloptera_SriLanka-97-FRL_LK_23_1759-1838_1_S.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Zoothera_spiloptera_SriLanka-97-FRL_LK_23_1759-1838_1_S.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Zoothera_spiloptera_SriLanka-97-FRL_LK_23_1759-1838_1_S.png
69756;Geokichla;spiloptera;Spot-winged Thrush;;Frank Lambert;Sri Lanka;Sinharaja;6.4;80.5;song;Zoothera_spiloptera_SriLanka-97-FRL_LK_24_1855-1967_1_S.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Zoothera_spiloptera_SriLanka-97-FRL_LK_24_1855-1967_1_S.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Zoothera_spiloptera_SriLanka-97-FRL_LK_24_1855-1967_1_S.png
69757;Geokichla;spiloptera;Spot-winged Thrush;;Frank Lambert;Sri Lanka;Sinharaja;6.4;80.5;song;Zoothera_spiloptera_SriLanka-97-FRL_LK_28_2209-2299_1_S.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Zoothera_spiloptera_SriLanka-97-FRL_LK_28_2209-2299_1_S.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Zoothera_spiloptera_SriLanka-97-FRL_LK_28_2209-2299_1_S.png
69758;Geokichla;spiloptera;Spot-winged Thrush;;Frank Lambert;Sri Lanka;near Hakgala, c. 12 km from Nuwara Eliya;6.9;80.8;song;Zoothera_spiloptera_SriLanka-97-FRL_LK_39_2978-3022_1_S.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Zoothera_spiloptera_SriLanka-97-FRL_LK_39_2978-3022_1_S.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Zoothera_spiloptera_SriLanka-97-FRL_LK_39_2978-3022_1_S.png
69759;Geokichla;spiloptera;Spot-winged Thrush;;Frank Lambert;Sri Lanka;near Hakgala, c. 12 km from Nuwara Eliya;6.9;80.8;song;Zoothera_spiloptera_SriLanka-97-FRL_LK_40_3022-3107_1_S.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Zoothera_spiloptera_SriLanka-97-FRL_LK_40_3022-3107_1_S.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Zoothera_spiloptera_SriLanka-97-FRL_LK_40_3022-3107_1_S.png
79368;Geokichla;spiloptera;Spot-winged Thrush;;Desmond Allen;Sri Lanka;Sinharaja Forest Reserve;;;song;99207.mp3;http://www.xeno-canto.org/sounds/uploaded/TPRMYCYSEA/99207.mp3;http://www.xeno-canto.org/sounds/uploaded/TPRMYCYSEA/ffts/tb/99207.png
