23899;Copsychus;niger;White-vented Shama;;William Ruscher;Philippines;Puerto Princesa Subterranean NP,  Sabang, Palawan;10.1931;118.9084;song and ( possible alarm) call;White-vented Shama 2.mp3;http://www.xeno-canto.org/sounds/uploaded/FPWGRPRXLM/White-vented Shama 2.mp3;http://www.xeno-canto.org/sounds/uploaded/FPWGRPRXLM/ffts/tb/White-vented Shama 2.png
41119;Copsychus;niger;White-vented Shama;;Paul Noakes;Philippines;Near Sabang, Palawan;10.195494;118.918419;;WVShaMA1.mp3;http://www.xeno-canto.org/sounds/uploaded/XMKXOWRGXI/WVShaMA1.mp3;http://www.xeno-canto.org/sounds/uploaded/XMKXOWRGXI/ffts/tb/WVShaMA1.png
79194;Copsychus;niger;White-vented Shama;;Desmond Allen;Philippines;St. Pauls National Park, Palawan;;;song;99990.mp3;http://www.xeno-canto.org/sounds/uploaded/TPRMYCYSEA/99990.mp3;http://www.xeno-canto.org/sounds/uploaded/TPRMYCYSEA/ffts/tb/99990.png
