41844;Nectarinia;tacazze;Tacazze Sunbird;;Rory Nefdt;Ethiopia;Addis Ababa;9.0148;38.7145;Song;729_Tacazze_Sunbird_Addis_19Dec 9.mp3;http://www.xeno-canto.org/sounds/uploaded/QUBGGKWQNN/729_Tacazze_Sunbird_Addis_19Dec 9.mp3;http://www.xeno-canto.org/sounds/uploaded/QUBGGKWQNN/ffts/tb/729_Tacazze_Sunbird_Addis_19Dec 9.png
66936;Nectarinia;tacazze;Tacazze Sunbird;tacazze;Bram Piot;Ethiopia;Menagesha National Forest;8.973;38.548;Call;Nectarinia_tacazze_Menagesha_20101218.mp3;http://www.xeno-canto.org/sounds/uploaded/RGSEIIJGHA/Nectarinia_tacazze_Menagesha_20101218.mp3;http://www.xeno-canto.org/sounds/uploaded/RGSEIIJGHA/ffts/tb/Nectarinia_tacazze_Menagesha_20101218.png
91370;Nectarinia;tacazze;Tacazze Sunbird;;Rory Nefdt;Kenya;Mount Kenya National Park, Noru Moru Road Gate;-0.176;37.172;Song;729_Tacazze_Sunbird_MtKenya_23Apr11_0945.mp3;http://www.xeno-canto.org/sounds/uploaded/QUBGGKWQNN/729_Tacazze_Sunbird_MtKenya_23Apr11_0945.mp3;http://www.xeno-canto.org/sounds/uploaded/QUBGGKWQNN/ffts/tb/729_Tacazze_Sunbird_MtKenya_23Apr11_0945.png
