37173;Taeniopygia;guttata;Zebra Finch;;Peter Woodall;Australia;Bladensburg NP, Winton;-22.601333;143.063965;calls;ZebFin-20090620_091917.mp3;http://www.xeno-canto.org/sounds/uploaded/SILWLBBIFA/ZebFin-20090620_091917.mp3;http://www.xeno-canto.org/sounds/uploaded/SILWLBBIFA/ffts/tb/ZebFin-20090620_091917.png
93055;Taeniopygia;guttata;Zebra Finch;;Oswaldo Cortes;Colombia;Bogota, Barrio Bosa;5.013;-74.244;songs;taenopigia zebra ficnh.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/taenopigia zebra ficnh.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/ffts/tb/taenopigia zebra ficnh.png
93056;Taeniopygia;guttata;Zebra Finch;;Oswaldo Cortes;Colombia;Bogota, Barrio Bosa;5.013;-74.244;songs;zebra finch.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/zebra finch.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/ffts/tb/zebra finch.png
