14124;Ramphocelus;melanogaster;Huallaga Tanager;;Roger Ahlman;Peru;Yacumama, Rioja, San Martin;;;Dawn song;Huallaga Tanager.mp3;http://www.xeno-canto.org/sounds/uploaded/EGHCOFEENE/Huallaga Tanager.mp3;http://www.xeno-canto.org/sounds/uploaded/EGHCOFEENE/ffts/tb/Huallaga Tanager.png
47826;Ramphocelus;melanogaster;Huallaga Tanager;;Andrew Spencer;Peru;Quebrada Mishquiyacu, Moyobamba, San Martin;-6.0792;-76.9762;calls;Huallaga Tanager2009-12-22-2.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Huallaga Tanager2009-12-22-2.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Huallaga Tanager2009-12-22-2.png
47827;Ramphocelus;melanogaster;Huallaga Tanager;;Andrew Spencer;Peru;Quebrada Mishquiyacu, Moyobamba, San Martin;-6.0792;-76.9762;calls;Huallaga Tanager2009-12-22-3.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Huallaga Tanager2009-12-22-3.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Huallaga Tanager2009-12-22-3.png
