47151;Sporophila;lineola;Lined Seedeater;;Bernabe Lopez-Lanus;Argentina;Ciudad de Clorinda, Formosa;;;Song;Sporophila lineola_Lined Seedeater_Ciudad de Clorinda_Formosa_Argentina_6FEB1992 a_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Sporophila lineola_Lined Seedeater_Ciudad de Clorinda_Formosa_Argentina_6FEB1992 a_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Sporophila lineola_Lined Seedeater_Ciudad de Clorinda_Formosa_Argentina_6FEB1992 a_Bernabe Lopez-Lanus.png
47153;Sporophila;lineola;Lined Seedeater;;Bernabe Lopez-Lanus;Argentina;Parque Nacional Pilcomayo (Laguna Blanca), Formosa;;;Alarm call;Sporophila lineola_Lined Seedeater_Laguna Blanca_Formosa_Argentina_1992 b_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Sporophila lineola_Lined Seedeater_Laguna Blanca_Formosa_Argentina_1992 b_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Sporophila lineola_Lined Seedeater_Laguna Blanca_Formosa_Argentina_1992 b_Bernabe Lopez-Lanus.png
49706;Sporophila;lineola;Lined Seedeater;;Rosendo Fraga;Brazil;Fazenda Baixo da Lasca, Minas Gerais;;;song;SEEDEATER Lined_05_Fazenda Baixo da Lasca_Minas Gerais_BR_28DIC01_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/SEEDEATER Lined_05_Fazenda Baixo da Lasca_Minas Gerais_BR_28DIC01_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/ffts/tb/SEEDEATER Lined_05_Fazenda Baixo da Lasca_Minas Gerais_BR_28DIC01_Rosendo Fraga.png
50462;Sporophila;lineola;Lined Seedeater;;Rodrigo Dela Rosa;Brazil;Horto Florestal-São josé dos Campos/SP;-23.0667;-45.9167;Song;Sporophila lineola.mp3;http://www.xeno-canto.org/sounds/uploaded/VGXDJMKETZ/Sporophila lineola.mp3;http://www.xeno-canto.org/sounds/uploaded/VGXDJMKETZ/ffts/tb/Sporophila lineola.png
51929;Sporophila;lineola;Lined Seedeater;;Bernabe Lopez-Lanus;Argentina;Clorinda, Formosa;;;song;SEEDEATER Lined_03_Clorinda_Formosa_6FEB92_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/SEEDEATER Lined_03_Clorinda_Formosa_6FEB92_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/SEEDEATER Lined_03_Clorinda_Formosa_6FEB92_Bernabe Lopez-Lanus.png
51930;Sporophila;lineola;Lined Seedeater;;Bernabe Lopez-Lanus;Argentina;PN Pilcomayo, Laguna Blanca, Formosa;;;song;SEEDEATER Lined_07_PN Pilcomayo_Laguna Blanca_Formosa_AR_6FEB92_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/SEEDEATER Lined_07_PN Pilcomayo_Laguna Blanca_Formosa_AR_6FEB92_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/SEEDEATER Lined_07_PN Pilcomayo_Laguna Blanca_Formosa_AR_6FEB92_Bernabe Lopez-Lanus.png
53037;Sporophila;lineola;Lined Seedeater;;Carlos Ferrari;Argentina;Rosario de La Frontera, Salta;;;song;SEEDEATER Lined_02_Rosario de La Frontera_Salta_AR_FEB05_Carlos Ferrari.mp3;http://www.xeno-canto.org/sounds/uploaded/ZYWOYHEPUK/SEEDEATER Lined_02_Rosario de La Frontera_Salta_AR_FEB05_Carlos Ferrari.mp3;http://www.xeno-canto.org/sounds/uploaded/ZYWOYHEPUK/ffts/tb/SEEDEATER Lined_02_Rosario de La Frontera_Salta_AR_FEB05_Carlos Ferrari.png
56570;Sporophila;lineola;Lined Seedeater;lineola;Mike Nelson;Argentina;Aguas Calientas, Jujuy;-23.8839;-64.4678;Song;LinedSeedeater.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/LinedSeedeater.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/LinedSeedeater.png
55846;Sporophila;lineola;Lined Seedeater;;Myriam Velazquez;Paraguay;Punto Alto, Alto Paraguay;;;song;SEEDEATER Lined_04_Punto Alto_Alto Paraguay_PY_14ENE03_Myriam Velazquez.mp3;http://www.xeno-canto.org/sounds/uploaded/BSSDZACLHP/SEEDEATER Lined_04_Punto Alto_Alto Paraguay_PY_14ENE03_Myriam Velazquez.mp3;http://www.xeno-canto.org/sounds/uploaded/BSSDZACLHP/ffts/tb/SEEDEATER Lined_04_Punto Alto_Alto Paraguay_PY_14ENE03_Myriam Velazquez.png
55847;Sporophila;lineola;Lined Seedeater;;Myriam Velazquez;Paraguay;Punto Alto, Alto Paraguay;;;call;SEEDEATER Lined_06_Punto Alto_Alto Paraguay_PY_13ENE03_Myriam Velazquez.mp3;http://www.xeno-canto.org/sounds/uploaded/BSSDZACLHP/SEEDEATER Lined_06_Punto Alto_Alto Paraguay_PY_13ENE03_Myriam Velazquez.mp3;http://www.xeno-canto.org/sounds/uploaded/BSSDZACLHP/ffts/tb/SEEDEATER Lined_06_Punto Alto_Alto Paraguay_PY_13ENE03_Myriam Velazquez.png
57628;Sporophila;lineola;Lined Seedeater;;Bernabe Lopez-Lanus;Argentina;Estancia Pajaro Blanco, Alejandra, San Javier, Santa Fe;;;Song;Sporophila lineola SONG_Ea Pajaro Blanco_Romang_San Javier_Santa Fe_Argentina_21FEB2010 1300hs d_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Sporophila lineola SONG_Ea Pajaro Blanco_Romang_San Javier_Santa Fe_Argentina_21FEB2010 1300hs d_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Sporophila lineola SONG_Ea Pajaro Blanco_Romang_San Javier_Santa Fe_Argentina_21FEB2010 1300hs d_Bernabe Lopez-Lanus.png
57629;Sporophila;lineola;Lined Seedeater;;Bernabe Lopez-Lanus;Argentina;Estancia Pajaro Blanco, Alejandra, San Javier, Santa Fe;;;Call;Sporophila lineola_Ea Pajaro Blanco_Romang_San Javier_Santa Fe_Argentina_21FEB2010 1300hs d_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Sporophila lineola_Ea Pajaro Blanco_Romang_San Javier_Santa Fe_Argentina_21FEB2010 1300hs d_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Sporophila lineola_Ea Pajaro Blanco_Romang_San Javier_Santa Fe_Argentina_21FEB2010 1300hs d_Bernabe Lopez-Lanus.png
60851;Sporophila;lineola;Lined Seedeater;;Miguel Castelino;Argentina;Filadelfia, Hotel Florida, Chaco;;;song;SEEDEATER Lined_01_Filadelfia_Hotel Florida_Chaco_AR_11MAR01_Miguel Castelino.mp3;http://www.xeno-canto.org/sounds/uploaded/RCJCABZSNP/SEEDEATER Lined_01_Filadelfia_Hotel Florida_Chaco_AR_11MAR01_Miguel Castelino.mp3;http://www.xeno-canto.org/sounds/uploaded/RCJCABZSNP/ffts/tb/SEEDEATER Lined_01_Filadelfia_Hotel Florida_Chaco_AR_11MAR01_Miguel Castelino.png
84733;Sporophila;lineola;Lined Seedeater;;Jeremy Minns;Brazil;Bonito, MS. Serra da Bodoquena;-21.0834;-56.8667;Song;SPOLIN11.mp3;http://www.xeno-canto.org/sounds/uploaded/DGVLLRYDXS/SPOLIN11.mp3;http://www.xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/tb/SPOLIN11.png
84734;Sporophila;lineola;Lined Seedeater;;Jeremy Minns;Brazil;Cunha. Sítio Paraitinga;-23.0501;-45.1167;Song and calls;SPOLIN17.mp3;http://www.xeno-canto.org/sounds/uploaded/DGVLLRYDXS/SPOLIN17.mp3;http://www.xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/tb/SPOLIN17.png
91592;Sporophila;lineola;Lined Seedeater;;Daniel Lane;Peru;Portillo, S of Iberia, Madre de Dios;-11.476;-69.519;song;Sporophila lineola111118_T121.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/Sporophila lineola111118_T121.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/ffts/tb/Sporophila lineola111118_T121.png
95564;Sporophila;lineola;Lined Seedeater;;Bernabe Lopez-Lanus;Argentina;General Guemes;-24.671;-65.053;Song;Sporophila lineola_Cdad de Guemes_Salta_Arg_12FEB2012_B Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Sporophila lineola_Cdad de Guemes_Salta_Arg_12FEB2012_B Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Sporophila lineola_Cdad de Guemes_Salta_Arg_12FEB2012_B Lopez-Lanus.png
