62730;Schistolais;leucopogon;White-chinned Prinia;;Marcell Claassen;Uganda;Sebitoli, Kibale Forest;0.644;30.382;call;White-chinnedPrinia.mp3;http://www.xeno-canto.org/sounds/uploaded/AAIESTNDCJ/White-chinnedPrinia.mp3;http://www.xeno-canto.org/sounds/uploaded/AAIESTNDCJ/ffts/tb/White-chinnedPrinia.png
99786;Schistolais;leucopogon;White-chinned Prinia;leucopogon;Mike Nelson;Cameroon;Lake Barombi Mbo;4.6639;9.3901;Song;WhitechinnedPrinia1.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/WhitechinnedPrinia1.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/WhitechinnedPrinia1.png
99787;Schistolais;leucopogon;White-chinned Prinia;leucopogon;Mike Nelson;Cameroon;Mankon Sacred Forest, Mankon;6.0175;10.1056;Song;WhitechinnedPrinia2.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/WhitechinnedPrinia2.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/WhitechinnedPrinia2.png
99788;Schistolais;leucopogon;White-chinned Prinia;leucopogon;Mike Nelson;Cameroon;Mankon Sacred Forest, Mankon;6.0175;10.1056;Song;WhitechinnedPrinia3.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/WhitechinnedPrinia3.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/WhitechinnedPrinia3.png
