20527;Pomatorhinus;ochraceiceps;Red-billed Scimitar Babbler;;Mike Catsis;Vietnam;Deo Nui San;11.588342;108.104095;call after playback;Red-billed Scimitar Babbler.mp3;http://www.xeno-canto.org/sounds/uploaded/ZLOFZBWWBW/Red-billed Scimitar Babbler.mp3;http://www.xeno-canto.org/sounds/uploaded/ZLOFZBWWBW/ffts/tb/Red-billed Scimitar Babbler.png
26503;Pomatorhinus;ochraceiceps;Red-billed Scimitar Babbler;;David Edwards;Vietnam;Ta Nung Valley;;;song;Red-billedScimitarBabbler2VNEdwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/Red-billedScimitarBabbler2VNEdwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/ffts/tb/Red-billedScimitarBabbler2VNEdwards.png
26504;Pomatorhinus;ochraceiceps;Red-billed Scimitar Babbler;;David Edwards;Vietnam;Ta Nung Valley;;;song;Red-billedScimitarBabbler3VNEdwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/Red-billedScimitarBabbler3VNEdwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/ffts/tb/Red-billedScimitarBabbler3VNEdwards.png
26505;Pomatorhinus;ochraceiceps;Red-billed Scimitar Babbler;;David Edwards;Vietnam;Ta Nung Valley;;;song;Red-billedScimitarBabblerVNEdwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/Red-billedScimitarBabblerVNEdwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/ffts/tb/Red-billedScimitarBabblerVNEdwards.png
40943;Pomatorhinus;ochraceiceps;Red-billed Scimitar Babbler;;Brian Cox;Vietnam;Tam Dao;21.4834;105.6334;song;red billed scimitar babbler Tam Dao.mp3;http://www.xeno-canto.org/sounds/uploaded/OKSKESEOLP/red billed scimitar babbler Tam Dao.mp3;http://www.xeno-canto.org/sounds/uploaded/OKSKESEOLP/ffts/tb/red billed scimitar babbler Tam Dao.png
40944;Pomatorhinus;ochraceiceps;Red-billed Scimitar Babbler;;Brian Cox;Vietnam;Tam Dao;21.4834;105.6334;song;red billed scimitar babbler Tam Dao 2.mp3;http://www.xeno-canto.org/sounds/uploaded/OKSKESEOLP/red billed scimitar babbler Tam Dao 2.mp3;http://www.xeno-canto.org/sounds/uploaded/OKSKESEOLP/ffts/tb/red billed scimitar babbler Tam Dao 2.png
69262;Pomatorhinus;ochraceiceps;Red-billed Scimitar Babbler;;Frank Lambert;Vietnam;(Tam Dao);21.5;105.6;call;Pomatorhinus_ochraceiceps_Vietnam-97.1a-FRL_VN_18_1116.3-1174.4_1_C.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Pomatorhinus_ochraceiceps_Vietnam-97.1a-FRL_VN_18_1116.3-1174.4_1_C.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Pomatorhinus_ochraceiceps_Vietnam-97.1a-FRL_VN_18_1116.3-1174.4_1_C.png
