9503;Saltator;albicollis;Lesser Antillean Saltator;;Allen T. Chartier;Lesser Antilles;Castries, St. Lucia;14.0145;-60.9842;Song;Saltator_albicollis_SL-Cast_19940423_S1_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/Saltator_albicollis_SL-Cast_19940423_S1_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/ffts/tb/Saltator_albicollis_SL-Cast_19940423_S1_ATC.png
23600;Saltator;albicollis;Lesser Antillean Saltator;;Oswaldo Cortes;Colombia;Soata (Reserva de Aves para Amazilia castaneiventris y Macroagelaius);6.3001;-72.7167;songs;saltator stria.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/saltator stria.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/ffts/tb/saltator stria.png
23601;Saltator;albicollis;Lesser Antillean Saltator;;Oswaldo Cortes;Colombia;Soata (Reserva de Aves para Amazilia castaneiventris y Macroagelaius);6.3001;-72.7167;songs;saltator.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/saltator.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/ffts/tb/saltator.png
