28668;Acrocephalus;schoenobaenus;Sedge Warbler;;Ante Strand;Sweden;Fysingen, Uppland;59.581111;17.914925;Song;SedgeWarbler-2008-06-08-Fysingen.mp3;http://www.xeno-canto.org/sounds/uploaded/PJDQUPBUKD/SedgeWarbler-2008-06-08-Fysingen.mp3;http://www.xeno-canto.org/sounds/uploaded/PJDQUPBUKD/ffts/tb/SedgeWarbler-2008-06-08-Fysingen.png
29693;Acrocephalus;schoenobaenus;Sedge Warbler;;Ante Strand;Sweden;Båtfors, Uppland;60.4528;17.3417;Song;SedgeWarbler-1-Batfors-1991-07-06.mp3;http://www.xeno-canto.org/sounds/uploaded/PJDQUPBUKD/SedgeWarbler-1-Batfors-1991-07-06.mp3;http://www.xeno-canto.org/sounds/uploaded/PJDQUPBUKD/ffts/tb/SedgeWarbler-1-Batfors-1991-07-06.png
30177;Acrocephalus;schoenobaenus;Sedge Warbler;;Stuart Fisher;Spain;Barranco de la Torre, Fuerteventura;28.372;-13.9023;song;SedgeWarblerFV2.mp3;http://www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/SedgeWarblerFV2.mp3;http://www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/ffts/tb/SedgeWarblerFV2.png
33249;Acrocephalus;schoenobaenus;Sedge Warbler;;Ruud van Beusekom;Netherlands;Ankeveen;52.2717;5.0878;song;12430.090418.rietzangerzangAnkeveen.mp3;http://www.xeno-canto.org/sounds/uploaded/PKWMZIRVUO/12430.090418.rietzangerzangAnkeveen.mp3;http://www.xeno-canto.org/sounds/uploaded/PKWMZIRVUO/ffts/tb/12430.090418.rietzangerzangAnkeveen.png
33844;Acrocephalus;schoenobaenus;Sedge Warbler;;Marc de Bont;Tanzania;Speke Bay Lodge;-2.280434;33.792572;song;R09_0047.mp3;http://www.xeno-canto.org/sounds/uploaded/TTBGFAELVD/R09_0047.mp3;http://www.xeno-canto.org/sounds/uploaded/TTBGFAELVD/ffts/tb/R09_0047.png
35209;Acrocephalus;schoenobaenus;Sedge Warbler;;Sander Bot;Netherlands;Zoutkamperril, Lauwersmeer, Friesland;53.3431;6.2598;song;SedgeWarbler4May2009LauwersmeerHolland.mp3;http://www.xeno-canto.org/sounds/uploaded/HZKCNRIPRH/SedgeWarbler4May2009LauwersmeerHolland.mp3;http://www.xeno-canto.org/sounds/uploaded/HZKCNRIPRH/ffts/tb/SedgeWarbler4May2009LauwersmeerHolland.png
35210;Acrocephalus;schoenobaenus;Sedge Warbler;;Sander Bot;Netherlands;Zoutkamperril, Lauwersmeer, Friesland;53.3431;6.2598;song;SedgeWarbler4May2009LauwersmeerHolland2.mp3;http://www.xeno-canto.org/sounds/uploaded/HZKCNRIPRH/SedgeWarbler4May2009LauwersmeerHolland2.mp3;http://www.xeno-canto.org/sounds/uploaded/HZKCNRIPRH/ffts/tb/SedgeWarbler4May2009LauwersmeerHolland2.png
36312;Acrocephalus;schoenobaenus;Sedge Warbler;;Herman van Oosten;Russian Federation;Near Khanty-Mansiysk, Khanty-Mansiyskiy Autonomous Okrug, Russia;60.9417;68.7098;song;AcroSchoe 15609 1140.mp3;http://www.xeno-canto.org/sounds/uploaded/SNUDCZVUQK/AcroSchoe 15609 1140.mp3;http://www.xeno-canto.org/sounds/uploaded/SNUDCZVUQK/ffts/tb/AcroSchoe 15609 1140.png
36482;Acrocephalus;schoenobaenus;Sedge Warbler;;Stuart Fisher;United Kingdom;Ferry Lane, Rainham, Essex;51.5056;0.1898;call;Sedgecall2.mp3;http://www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/Sedgecall2.mp3;http://www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/ffts/tb/Sedgecall2.png
46493;Acrocephalus;schoenobaenus;Sedge Warbler;;Simone Balbo;Italy;Lancone di Gussola Cremona IWC reserve;45.003;10.349;calls;forapaglie com calls Gussola 10:4:10.mp3;http://www.xeno-canto.org/sounds/uploaded/MYRFSPATHP/forapaglie com calls Gussola 10:4:10.mp3;http://www.xeno-canto.org/sounds/uploaded/MYRFSPATHP/ffts/tb/forapaglie com calls Gussola 10:4:10.png
48364;Acrocephalus;schoenobaenus;Sedge Warbler;;Simone Balbo;Italy;Oasi Lancone di Gussola,Cremona;45.004;10.35;song;forapaglie song 3 Gussola 22:4:10.mp3;http://www.xeno-canto.org/sounds/uploaded/MYRFSPATHP/forapaglie song 3 Gussola 22:4:10.mp3;http://www.xeno-canto.org/sounds/uploaded/MYRFSPATHP/ffts/tb/forapaglie song 3 Gussola 22:4:10.png
48365;Acrocephalus;schoenobaenus;Sedge Warbler;;Simone Balbo;Italy;Oasi Lancone di Gussola,Cremona;45.004;10.35;song;forapaglie song 4 Gussola 22:4:10.mp3;http://www.xeno-canto.org/sounds/uploaded/MYRFSPATHP/forapaglie song 4 Gussola 22:4:10.mp3;http://www.xeno-canto.org/sounds/uploaded/MYRFSPATHP/ffts/tb/forapaglie song 4 Gussola 22:4:10.png
54512;Acrocephalus;schoenobaenus;Sedge Warbler;;Bob Planque;Netherlands;Vogelplas Starrevaart, Leidschendam, ZH;52.101;4.434;song;Rietzanger_kort_Starrevaart_050610_1515.mp3;http://www.xeno-canto.org/sounds/uploaded/OH38YHKJBS/Rietzanger_kort_Starrevaart_050610_1515.mp3;http://www.xeno-canto.org/sounds/uploaded/OH38YHKJBS/ffts/tb/Rietzanger_kort_Starrevaart_050610_1515.png
54513;Acrocephalus;schoenobaenus;Sedge Warbler;;Bob Planque;Netherlands;Vogelplas Starrevaart, Leidschendam, ZH;52.101;4.434;song;Rietzanger_kort2_Starrevaart_050610_1515.mp3;http://www.xeno-canto.org/sounds/uploaded/OH38YHKJBS/Rietzanger_kort2_Starrevaart_050610_1515.mp3;http://www.xeno-canto.org/sounds/uploaded/OH38YHKJBS/ffts/tb/Rietzanger_kort2_Starrevaart_050610_1515.png
54515;Acrocephalus;schoenobaenus;Sedge Warbler;;Bob Planque;Netherlands;Vogelplas Starrevaart, Leidschendam, ZH;52.101;4.434;song;Rietzanger_zang_strofes_Starrevaart_050610_1515.mp3;http://www.xeno-canto.org/sounds/uploaded/OH38YHKJBS/Rietzanger_zang_strofes_Starrevaart_050610_1515.mp3;http://www.xeno-canto.org/sounds/uploaded/OH38YHKJBS/ffts/tb/Rietzanger_zang_strofes_Starrevaart_050610_1515.png
54593;Acrocephalus;schoenobaenus;Sedge Warbler;;Niels Krabbe;Denmark;Porsemosen;55.7001;12.3001;song;Acrocephalus_schoenobaenus,_55.70_12.30,_10_m,_Porsemosen,_Denmark,_5_Jun_2010,_0645_hrs,_NKrabbe,_song.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/Acrocephalus_schoenobaenus,_55.70_12.30,_10_m,_Porsemosen,_Denmark,_5_Jun_2010,_0645_hrs,_NKrabbe,_song.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/tb/Acrocephalus_schoenobaenus,_55.70_12.30,_10_m,_Porsemosen,_Denmark,_5_Jun_2010,_0645_hrs,_NKrabbe,_song.png
56909;Acrocephalus;schoenobaenus;Sedge Warbler;;Stuart Fisher;United Kingdom;Clenchwarton Marsh, Terrington, Norfolk;52.781;0.353;Song;SedgeTerr1.mp3;http://www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/SedgeTerr1.mp3;http://www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/ffts/tb/SedgeTerr1.png
56911;Acrocephalus;schoenobaenus;Sedge Warbler;;Stuart Fisher;United Kingdom;Clenchwarton Marsh, Terrington, Norfolk;52.781;0.353;Song;SedgeTerr2.mp3;http://www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/SedgeTerr2.mp3;http://www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/ffts/tb/SedgeTerr2.png
56912;Acrocephalus;schoenobaenus;Sedge Warbler;;Stuart Fisher;United Kingdom;Clenchwarton Marsh, Terrington, Norfolk;52.781;0.353;Song;SedgeTerr3.mp3;http://www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/SedgeTerr3.mp3;http://www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/ffts/tb/SedgeTerr3.png
58503;Acrocephalus;schoenobaenus;Sedge Warbler;;Stein Ø. Nilsen;Norway;Brensholmen;69.586;18.044;Song;sivsanger-060.mp3;http://www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/sivsanger-060.mp3;http://www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/tb/sivsanger-060.png
58504;Acrocephalus;schoenobaenus;Sedge Warbler;;Stein Ø. Nilsen;Norway;Brensholmen;69.586;18.044;Song;sivsanger-061.mp3;http://www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/sivsanger-061.mp3;http://www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/tb/sivsanger-061.png
61531;Acrocephalus;schoenobaenus;Sedge Warbler;;Erik Eggenkamp;Netherlands;Buytenpark, Zoetermeer;52.0709;4.4559;song;Acr_sch_20100414_zang_LS100034egg.mp3;http://www.xeno-canto.org/sounds/uploaded/XIVWTGAUKY/Acr_sch_20100414_zang_LS100034egg.mp3;http://www.xeno-canto.org/sounds/uploaded/XIVWTGAUKY/ffts/tb/Acr_sch_20100414_zang_LS100034egg.png
61568;Acrocephalus;schoenobaenus;Sedge Warbler;;Erik Eggenkamp;Netherlands;Meeslouwerpolder, Vlietlanden, Leidschendam;52.102;4.4428;song;Acr_sch_20100419_zang_NL LS100051z.mp3;http://www.xeno-canto.org/sounds/uploaded/XIVWTGAUKY/Acr_sch_20100419_zang_NL LS100051z.mp3;http://www.xeno-canto.org/sounds/uploaded/XIVWTGAUKY/ffts/tb/Acr_sch_20100419_zang_NL LS100051z.png
71741;Acrocephalus;schoenobaenus;Sedge Warbler;;Mark Doveston;United Kingdom;Otley Wetlands, Otley, West Yorkshire, UK;;;song;SedgeW4.mp3;http://www.xeno-canto.org/sounds/uploaded/GRGVLVKPOL/SedgeW4.mp3;http://www.xeno-canto.org/sounds/uploaded/GRGVLVKPOL/ffts/tb/SedgeW4.png
75398;Acrocephalus;schoenobaenus;Sedge Warbler;;Tomas Belka;Poland;Biebrza Marshes;53.5001;22.7334;song;XC-ACRSCH.mp3;http://www.xeno-canto.org/sounds/uploaded/UVCHPWXJBN/XC-ACRSCH.mp3;http://www.xeno-canto.org/sounds/uploaded/UVCHPWXJBN/ffts/tb/XC-ACRSCH.png
76376;Acrocephalus;schoenobaenus;Sedge Warbler;;Volker Arnold;Germany;Speicherkoog, Elpersbüttel, Dithmarschen, Schleswig-Holstein;54.08;9.023;song;SchilfrohrsSpeicherkE23-4-11_19-56xc.mp3;http://www.xeno-canto.org/sounds/uploaded/AZVRMQWBEK/SchilfrohrsSpeicherkE23-4-11_19-56xc.mp3;http://www.xeno-canto.org/sounds/uploaded/AZVRMQWBEK/ffts/tb/SchilfrohrsSpeicherkE23-4-11_19-56xc.png
76341;Acrocephalus;schoenobaenus;Sedge Warbler;;Volker Arnold;Germany;Fuhlensee, Dithmarschen, Schleswig-Holstein;54.12;9.126;calls;SchilfrohrsFuhlensee23-4-11_6-58.mp3;http://www.xeno-canto.org/sounds/uploaded/AZVRMQWBEK/SchilfrohrsFuhlensee23-4-11_6-58.mp3;http://www.xeno-canto.org/sounds/uploaded/AZVRMQWBEK/ffts/tb/SchilfrohrsFuhlensee23-4-11_6-58.png
76767;Acrocephalus;schoenobaenus;Sedge Warbler;;Richard Dunn;United Kingdom;Chevington Pools, Northumberland;55.2809;-1.5801;song;Warbler-Sedge-110420-033.mp3;http://www.xeno-canto.org/sounds/uploaded/EUHNGQTHJS/Warbler-Sedge-110420-033.mp3;http://www.xeno-canto.org/sounds/uploaded/EUHNGQTHJS/ffts/tb/Warbler-Sedge-110420-033.png
76768;Acrocephalus;schoenobaenus;Sedge Warbler;;Richard Dunn;United Kingdom;Chevington Pools, Northumberland;55.2809;-1.5801;song;Warbler-Sedge-110420-036.mp3;http://www.xeno-canto.org/sounds/uploaded/EUHNGQTHJS/Warbler-Sedge-110420-036.mp3;http://www.xeno-canto.org/sounds/uploaded/EUHNGQTHJS/ffts/tb/Warbler-Sedge-110420-036.png
76769;Acrocephalus;schoenobaenus;Sedge Warbler;;Richard Dunn;United Kingdom;Arcot Pond, Northumberland;55.07;-1.606;song;Warbler-Sedge-110424-000.mp3;http://www.xeno-canto.org/sounds/uploaded/EUHNGQTHJS/Warbler-Sedge-110424-000.mp3;http://www.xeno-canto.org/sounds/uploaded/EUHNGQTHJS/ffts/tb/Warbler-Sedge-110424-000.png
76770;Acrocephalus;schoenobaenus;Sedge Warbler;;Richard Dunn;United Kingdom;Arcot Pond, Northumberland;55.07;-1.606;song;Warbler-Sedge-110424-001.mp3;http://www.xeno-canto.org/sounds/uploaded/EUHNGQTHJS/Warbler-Sedge-110424-001.mp3;http://www.xeno-canto.org/sounds/uploaded/EUHNGQTHJS/ffts/tb/Warbler-Sedge-110424-001.png
76771;Acrocephalus;schoenobaenus;Sedge Warbler;;Richard Dunn;United Kingdom;Arcot Pond, Northumberland;55.07;-1.606;song;Warbler-Sedge-110424-001pm.mp3;http://www.xeno-canto.org/sounds/uploaded/EUHNGQTHJS/Warbler-Sedge-110424-001pm.mp3;http://www.xeno-canto.org/sounds/uploaded/EUHNGQTHJS/ffts/tb/Warbler-Sedge-110424-001pm.png
76772;Acrocephalus;schoenobaenus;Sedge Warbler;;Richard Dunn;United Kingdom;Arcot Pond, Northumberland;55.07;-1.606;song;Warbler-Sedge-110424-002.mp3;http://www.xeno-canto.org/sounds/uploaded/EUHNGQTHJS/Warbler-Sedge-110424-002.mp3;http://www.xeno-canto.org/sounds/uploaded/EUHNGQTHJS/ffts/tb/Warbler-Sedge-110424-002.png
76773;Acrocephalus;schoenobaenus;Sedge Warbler;;Richard Dunn;United Kingdom;Arcot Pond, Northumberland;55.07;-1.606;song;Warbler-Sedge-110424-003.mp3;http://www.xeno-canto.org/sounds/uploaded/EUHNGQTHJS/Warbler-Sedge-110424-003.mp3;http://www.xeno-canto.org/sounds/uploaded/EUHNGQTHJS/ffts/tb/Warbler-Sedge-110424-003.png
76775;Acrocephalus;schoenobaenus;Sedge Warbler;;Richard Dunn;United Kingdom;Arcot Pond, Northumberland;55.07;-1.606;song;Warbler-Sedge-110424-004.mp3;http://www.xeno-canto.org/sounds/uploaded/EUHNGQTHJS/Warbler-Sedge-110424-004.mp3;http://www.xeno-canto.org/sounds/uploaded/EUHNGQTHJS/ffts/tb/Warbler-Sedge-110424-004.png
76776;Acrocephalus;schoenobaenus;Sedge Warbler;;Richard Dunn;United Kingdom;Arcot Pond, Northumberland;55.07;-1.606;song;Warbler-Sedge-110424-005.mp3;http://www.xeno-canto.org/sounds/uploaded/EUHNGQTHJS/Warbler-Sedge-110424-005.mp3;http://www.xeno-canto.org/sounds/uploaded/EUHNGQTHJS/ffts/tb/Warbler-Sedge-110424-005.png
76777;Acrocephalus;schoenobaenus;Sedge Warbler;;Richard Dunn;United Kingdom;Arcot Pond, Northumberland;55.07;-1.606;song;Warbler-Sedge-110424-006.mp3;http://www.xeno-canto.org/sounds/uploaded/EUHNGQTHJS/Warbler-Sedge-110424-006.mp3;http://www.xeno-canto.org/sounds/uploaded/EUHNGQTHJS/ffts/tb/Warbler-Sedge-110424-006.png
76778;Acrocephalus;schoenobaenus;Sedge Warbler;;Richard Dunn;United Kingdom;Arcot Pond, Northumberland;55.07;-1.606;song;Warbler-Sedge-110424-007.mp3;http://www.xeno-canto.org/sounds/uploaded/EUHNGQTHJS/Warbler-Sedge-110424-007.mp3;http://www.xeno-canto.org/sounds/uploaded/EUHNGQTHJS/ffts/tb/Warbler-Sedge-110424-007.png
77619;Acrocephalus;schoenobaenus;Sedge Warbler;;Jason Anderson;Tanzania;Tabora Dam;-5.023;32.896;song;Sedge Warbler Tz 01.mp3;http://www.xeno-canto.org/sounds/uploaded/VOEGHWZWDL/Sedge Warbler Tz 01.mp3;http://www.xeno-canto.org/sounds/uploaded/VOEGHWZWDL/ffts/tb/Sedge Warbler Tz 01.png
77913;Acrocephalus;schoenobaenus;Sedge Warbler;;Ola Moen;Norway;Myking, Radoey, Hordaland;60.679;5;Song;Sivsanger1-Myking-Radoey-18052011.mp3;http://www.xeno-canto.org/sounds/uploaded/EASNFNZFSG/Sivsanger1-Myking-Radoey-18052011.mp3;http://www.xeno-canto.org/sounds/uploaded/EASNFNZFSG/ffts/tb/Sivsanger1-Myking-Radoey-18052011.png
77912;Acrocephalus;schoenobaenus;Sedge Warbler;;Ola Moen;Norway;Myking, Radoey, Hordaland;60.679;5;Call;Sivsanger2-Myksvoll-Radoey-18052011.mp3;http://www.xeno-canto.org/sounds/uploaded/EASNFNZFSG/Sivsanger2-Myksvoll-Radoey-18052011.mp3;http://www.xeno-canto.org/sounds/uploaded/EASNFNZFSG/ffts/tb/Sivsanger2-Myksvoll-Radoey-18052011.png
78928;Acrocephalus;schoenobaenus;Sedge Warbler;;Jacques PREVOST;Hungary;Hortobagy Nal Park;47.582;21.1517;song;51 Acrocephalus schoenobaenus, Hortobagy (Hungary) 09-05-10.mp3;http://www.xeno-canto.org/sounds/uploaded/KLADBSYAFL/51 Acrocephalus schoenobaenus, Hortobagy (Hungary) 09-05-10.mp3;http://www.xeno-canto.org/sounds/uploaded/KLADBSYAFL/ffts/tb/51 Acrocephalus schoenobaenus, Hortobagy (Hungary) 09-05-10.png
79651;Acrocephalus;schoenobaenus;Sedge Warbler;;Volker Arnold;Germany;Oestermoor, Hennstedt, Dithmarschen, Schleswig-Holstein;54.307;9.18;song;SchilfrohrsOestermoor3-6-11_10-38.mp3;http://www.xeno-canto.org/sounds/uploaded/AZVRMQWBEK/SchilfrohrsOestermoor3-6-11_10-38.mp3;http://www.xeno-canto.org/sounds/uploaded/AZVRMQWBEK/ffts/tb/SchilfrohrsOestermoor3-6-11_10-38.png
79994;Acrocephalus;schoenobaenus;Sedge Warbler;;Ingar Bringsvor;Norway;Voksa, Möre og Romsdal;62.219;5.467;song;Sivsongar.mp3;http://www.xeno-canto.org/sounds/uploaded/AKKRFYHZEP/Sivsongar.mp3;http://www.xeno-canto.org/sounds/uploaded/AKKRFYHZEP/ffts/tb/Sivsongar.png
80637;Acrocephalus;schoenobaenus;Sedge Warbler;;Stein Ø. Nilsen;Norway;Brensholmen;69.5859;18.0439;Song;sivsanger060_filter300khz.mp3;http://www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/sivsanger060_filter300khz.mp3;http://www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/tb/sivsanger060_filter300khz.png
80706;Acrocephalus;schoenobaenus;Sedge Warbler;;Aline Spriet;Finland;Airport Hotel Oulu, Vihiluoto 10, 90440 Kempele, Finland;64.94;25.455;song;acrocephalusschoenobaenus.mp3;http://www.xeno-canto.org/sounds/uploaded/ZSPQNPDXTV/acrocephalusschoenobaenus.mp3;http://www.xeno-canto.org/sounds/uploaded/ZSPQNPDXTV/ffts/tb/acrocephalusschoenobaenus.png
81347;Acrocephalus;schoenobaenus;Sedge Warbler;;Alex Ollé;Poland;Białowieża Forest;52.7001;23.8501;Song;Acrocephalus schoenobaenus.mp3;http://www.xeno-canto.org/sounds/uploaded/COOSJMLOGG/Acrocephalus schoenobaenus.mp3;http://www.xeno-canto.org/sounds/uploaded/COOSJMLOGG/ffts/tb/Acrocephalus schoenobaenus.png
82020;Acrocephalus;schoenobaenus;Sedge Warbler;;Stein Ø. Nilsen;Norway;Straumsbukta;69.5667;18.6001;Song;sivsangerC2001.mp3;http://www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/sivsangerC2001.mp3;http://www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/tb/sivsangerC2001.png
82021;Acrocephalus;schoenobaenus;Sedge Warbler;;Stein Ø. Nilsen;Norway;Straumsbukta;69.5667;18.6001;Song;sivsangerC2002.mp3;http://www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/sivsangerC2002.mp3;http://www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/tb/sivsangerC2002.png
82022;Acrocephalus;schoenobaenus;Sedge Warbler;;Stein Ø. Nilsen;Norway;Straumsbukta;69.5667;18.6001;Song;sivsangerC2-003.mp3;http://www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/sivsangerC2-003.mp3;http://www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/tb/sivsangerC2-003.png
82609;Acrocephalus;schoenobaenus;Sedge Warbler;;Volker Arnold;Germany;Speicherkoog, Elpersbüttel, Dithmarschen, Schleswig-Holstein;54.08;9.023;song;SchilfrohrsSpeicherkgOst20-4-11_19-34xc.mp3;http://www.xeno-canto.org/sounds/uploaded/AZVRMQWBEK/SchilfrohrsSpeicherkgOst20-4-11_19-34xc.mp3;http://www.xeno-canto.org/sounds/uploaded/AZVRMQWBEK/ffts/tb/SchilfrohrsSpeicherkgOst20-4-11_19-34xc.png
