19576;Ficedula;nigrorufa;Black-and-orange Flycatcher;;David Farrow;India;Ooty;;;calls;blackandorangeflycatchercallindiaFarrow.mp3;http://www.xeno-canto.org/sounds/uploaded/RNVWOVLEUN/blackandorangeflycatchercallindiaFarrow.mp3;http://www.xeno-canto.org/sounds/uploaded/RNVWOVLEUN/ffts/tb/blackandorangeflycatchercallindiaFarrow.png
44899;Ficedula;nigrorufa;Black-and-orange Flycatcher;;Sander Bot;India;Ooty, Tamil Nadu;11.41;76.695;call;BlackAndOrangeFlycatcher21Jan2010OotyTamilNaduIndia.mp3;http://www.xeno-canto.org/sounds/uploaded/HZKCNRIPRH/BlackAndOrangeFlycatcher21Jan2010OotyTamilNaduIndia.mp3;http://www.xeno-canto.org/sounds/uploaded/HZKCNRIPRH/ffts/tb/BlackAndOrangeFlycatcher21Jan2010OotyTamilNaduIndia.png
44906;Ficedula;nigrorufa;Black-and-orange Flycatcher;;Sander Bot;India;Ooty, Tamil Nadu;11.4101;76.6948;call;BlackAndOrangeFlycatcher21Jan2010OotyTamilNaduIndia2.mp3;http://www.xeno-canto.org/sounds/uploaded/HZKCNRIPRH/BlackAndOrangeFlycatcher21Jan2010OotyTamilNaduIndia2.mp3;http://www.xeno-canto.org/sounds/uploaded/HZKCNRIPRH/ffts/tb/BlackAndOrangeFlycatcher21Jan2010OotyTamilNaduIndia2.png
