88610;Anthus;richardi;Richard's Pipit;;Nils Agster;Germany;Ergenzingen, Baden-Württemberg;48.486;8.778;flight call;spornpieperxc.mp3;http://www.xeno-canto.org/sounds/uploaded/KCUQSGGVJD/spornpieperxc.mp3;http://www.xeno-canto.org/sounds/uploaded/KCUQSGGVJD/ffts/tb/spornpieperxc.png
90049;Anthus;richardi;Richard's Pipit;;Ingar Bringsvor;Norway;Voksa, Möre og Romsdal;62.219;5.469;Calls in flight;tartarpiplerke.mp3;http://www.xeno-canto.org/sounds/uploaded/AKKRFYHZEP/tartarpiplerke.mp3;http://www.xeno-canto.org/sounds/uploaded/AKKRFYHZEP/ffts/tb/tartarpiplerke.png
90340;Anthus;richardi;Richard's Pipit;;G. Paulus - Réserve Naturelle des Coussouls de Crau;France;Nouveau Carton / Crau S;43.555;4.885;Call;2011-11-18_ANTRIC.mp3;http://www.xeno-canto.org/sounds/uploaded/YZMUOQKACJ/2011-11-18_ANTRIC.mp3;http://www.xeno-canto.org/sounds/uploaded/YZMUOQKACJ/ffts/tb/2011-11-18_ANTRIC.png
91293;Anthus;richardi;Richard's Pipit;;G. Paulus - Réserve Naturelle des Coussouls de Crau;France;Mas Chauvet / ISTRES;43.5727053593086;4.88822507864825;flight call;2011-12-09_ANTRIC1.mp3;http://www.xeno-canto.org/sounds/uploaded/YZMUOQKACJ/2011-12-09_ANTRIC1.mp3;http://www.xeno-canto.org/sounds/uploaded/YZMUOQKACJ/ffts/tb/2011-12-09_ANTRIC1.png
91294;Anthus;richardi;Richard's Pipit;;G. Paulus - Réserve Naturelle des Coussouls de Crau;France;Mas Chauvet / ISTRES;43.5727053593086;4.88822507864825;flight call;2011-12-09_ANTRIC2.mp3;http://www.xeno-canto.org/sounds/uploaded/YZMUOQKACJ/2011-12-09_ANTRIC2.mp3;http://www.xeno-canto.org/sounds/uploaded/YZMUOQKACJ/ffts/tb/2011-12-09_ANTRIC2.png
91295;Anthus;richardi;Richard's Pipit;;G. Paulus - Réserve Naturelle des Coussouls de Crau;France;Mas Chauvet / ISTRES;43.5727053593086;4.88822507864825;flight call;2011-12-09_ANTRIC3.mp3;http://www.xeno-canto.org/sounds/uploaded/YZMUOQKACJ/2011-12-09_ANTRIC3.mp3;http://www.xeno-canto.org/sounds/uploaded/YZMUOQKACJ/ffts/tb/2011-12-09_ANTRIC3.png
91296;Anthus;richardi;Richard's Pipit;;G. Paulus - Réserve Naturelle des Coussouls de Crau;France;Mas Chauvet / ISTRES;43.5727053593086;4.88822507864825;flight call;ANTRIC_2011-12-04_Mas-Chauvet1.mp3;http://www.xeno-canto.org/sounds/uploaded/YZMUOQKACJ/ANTRIC_2011-12-04_Mas-Chauvet1.mp3;http://www.xeno-canto.org/sounds/uploaded/YZMUOQKACJ/ffts/tb/ANTRIC_2011-12-04_Mas-Chauvet1.png
91297;Anthus;richardi;Richard's Pipit;;G. Paulus - Réserve Naturelle des Coussouls de Crau;France;Mas Chauvet / ISTRES;43.5727053593086;4.88822507864825;flight call;ANTRIC_2011-12-04_Mas-Chauvet2.mp3;http://www.xeno-canto.org/sounds/uploaded/YZMUOQKACJ/ANTRIC_2011-12-04_Mas-Chauvet2.mp3;http://www.xeno-canto.org/sounds/uploaded/YZMUOQKACJ/ffts/tb/ANTRIC_2011-12-04_Mas-Chauvet2.png
91298;Anthus;richardi;Richard's Pipit;;G. Paulus - Réserve Naturelle des Coussouls de Crau;France;Mas Chauvet / ISTRES;43.5727053593086;4.88822507864825;flight call;ANTRIC_2011-12-04_Mas-Chauvet3.mp3;http://www.xeno-canto.org/sounds/uploaded/YZMUOQKACJ/ANTRIC_2011-12-04_Mas-Chauvet3.mp3;http://www.xeno-canto.org/sounds/uploaded/YZMUOQKACJ/ffts/tb/ANTRIC_2011-12-04_Mas-Chauvet3.png
91299;Anthus;richardi;Richard's Pipit;;G. Paulus - Réserve Naturelle des Coussouls de Crau;France;Mas Chauvet / ISTRES;43.5727053593086;4.88822507864825;flight call;ANTRIC_2011-12-03_Mas-Chauvet1.mp3;http://www.xeno-canto.org/sounds/uploaded/YZMUOQKACJ/ANTRIC_2011-12-03_Mas-Chauvet1.mp3;http://www.xeno-canto.org/sounds/uploaded/YZMUOQKACJ/ffts/tb/ANTRIC_2011-12-03_Mas-Chauvet1.png
91300;Anthus;richardi;Richard's Pipit;;G. Paulus - Réserve Naturelle des Coussouls de Crau;France;Mas Chauvet / ISTRES;43.5727053593086;4.88822507864825;flight call;ANTRIC_2011-12-03_Mas-Chauvet2.mp3;http://www.xeno-canto.org/sounds/uploaded/YZMUOQKACJ/ANTRIC_2011-12-03_Mas-Chauvet2.mp3;http://www.xeno-canto.org/sounds/uploaded/YZMUOQKACJ/ffts/tb/ANTRIC_2011-12-03_Mas-Chauvet2.png
91301;Anthus;richardi;Richard's Pipit;;G. Paulus - Réserve Naturelle des Coussouls de Crau;France;Mas Chauvet / ISTRES;43.5727053593086;4.88822507864825;flight call;ANTRIC_2011-12-03_Mas-Chauvet3.mp3;http://www.xeno-canto.org/sounds/uploaded/YZMUOQKACJ/ANTRIC_2011-12-03_Mas-Chauvet3.mp3;http://www.xeno-canto.org/sounds/uploaded/YZMUOQKACJ/ffts/tb/ANTRIC_2011-12-03_Mas-Chauvet3.png
91303;Anthus;richardi;Richard's Pipit;;G. Paulus - Réserve Naturelle des Coussouls de Crau;France;Nouveau Carton / Crau S;43.555;4.885;flight call;ANTRIC_2011-12-04_Nouveau-Carton.mp3;http://www.xeno-canto.org/sounds/uploaded/YZMUOQKACJ/ANTRIC_2011-12-04_Nouveau-Carton.mp3;http://www.xeno-canto.org/sounds/uploaded/YZMUOQKACJ/ffts/tb/ANTRIC_2011-12-04_Nouveau-Carton.png
91419;Anthus;richardi;Richard's Pipit;;G. Paulus - Réserve Naturelle des Coussouls de Crau;France;Mas Chauvet / ISTRES;43.5727053593086;4.88822507864825;flight call;ANTRIC_2011-12-13_Chauvet.mp3;http://www.xeno-canto.org/sounds/uploaded/YZMUOQKACJ/ANTRIC_2011-12-13_Chauvet.mp3;http://www.xeno-canto.org/sounds/uploaded/YZMUOQKACJ/ffts/tb/ANTRIC_2011-12-13_Chauvet.png
97418;Anthus;richardi;Richard's Pipit;;vir joshi;India;state highway 110;21.571;71.317;flight call;richard pipits.mp3;http://www.xeno-canto.org/sounds/uploaded/ZXGYSIOPJJ/richard pipits.mp3;http://www.xeno-canto.org/sounds/uploaded/ZXGYSIOPJJ/ffts/tb/richard pipits.png
