41452;Bradypterus;baboecala;Little Rush Warbler;;Derek Solomon;Zambia;South Luangwa National Park Home;-13.1834;31.7501;Song;Little Rush Warbler.mp3;http://www.xeno-canto.org/sounds/uploaded/DNKBTPCMSQ/Little Rush Warbler.mp3;http://www.xeno-canto.org/sounds/uploaded/DNKBTPCMSQ/ffts/tb/Little Rush Warbler.png
43613;Bradypterus;baboecala;Little Rush Warbler;;Don Jones;South Africa;Intaka Island (Century City), Milnerton, Western Cape;-33.8884;18.5159;song;littlerushwarbler.sa03.mp3;http://www.xeno-canto.org/sounds/uploaded/BCWZQTGMSO/littlerushwarbler.sa03.mp3;http://www.xeno-canto.org/sounds/uploaded/BCWZQTGMSO/ffts/tb/littlerushwarbler.sa03.png
49836;Bradypterus;baboecala;Little Rush Warbler;;Louis A. Hansen;Tanzania;Matumbo, Udzungwa Mts, Iringa Region;-7.8334;36.4834;Song;Bradypterus_baboecala_sl_song_faint_MatumboSwamp_2007-Aug-01_high-lowPass_Rept2.mp3;http://www.xeno-canto.org/sounds/uploaded/SGNUEQHVBW/Bradypterus_baboecala_sl_song_faint_MatumboSwamp_2007-Aug-01_high-lowPass_Rept2.mp3;http://www.xeno-canto.org/sounds/uploaded/SGNUEQHVBW/ffts/tb/Bradypterus_baboecala_sl_song_faint_MatumboSwamp_2007-Aug-01_high-lowPass_Rept2.png
58727;Bradypterus;baboecala;Little Rush Warbler;msiri;Charles Hesse;Namibia;Mahango Game Park;-18.187;21.736;Song  and  wingbeats;505LRWAR_SWBOU_GSWAR0911210713NAMA2.mp3;http://www.xeno-canto.org/sounds/uploaded/FMQSRXIRTH/505LRWAR_SWBOU_GSWAR0911210713NAMA2.mp3;http://www.xeno-canto.org/sounds/uploaded/FMQSRXIRTH/ffts/tb/505LRWAR_SWBOU_GSWAR0911210713NAMA2.png
62300;Bradypterus;baboecala;Little Rush Warbler;tongensis;Charles Hesse;South Africa;Wakkerstroom;-27.3534;30.1453;Song;503LRWAR1001021608SAWK2.mp3;http://www.xeno-canto.org/sounds/uploaded/FMQSRXIRTH/503LRWAR1001021608SAWK2.mp3;http://www.xeno-canto.org/sounds/uploaded/FMQSRXIRTH/ffts/tb/503LRWAR1001021608SAWK2.png
62657;Bradypterus;baboecala;Little Rush Warbler;barboecala;Charles Hesse;South Africa;Bathurst;-33.501;26.818;Song  and  wing beats;493LRWAR1009090807SABH2.mp3;http://www.xeno-canto.org/sounds/uploaded/FMQSRXIRTH/493LRWAR1009090807SABH2.mp3;http://www.xeno-canto.org/sounds/uploaded/FMQSRXIRTH/ffts/tb/493LRWAR1009090807SABH2.png
65625;Bradypterus;baboecala;Little Rush Warbler;transvaalensis (?);Bram Piot;Zimbabwe;Marlborough Vlei, Harare;-17.741;30.99;Song;Bradypterus_baboecala_Harare_20101114_edited.mp3;http://www.xeno-canto.org/sounds/uploaded/RGSEIIJGHA/Bradypterus_baboecala_Harare_20101114_edited.mp3;http://www.xeno-canto.org/sounds/uploaded/RGSEIIJGHA/ffts/tb/Bradypterus_baboecala_Harare_20101114_edited.png
77656;Bradypterus;baboecala;Little Rush Warbler;;Alan Collett;South Africa;Island Lake, Wilderness, S Cape;-33.989;22.643;alarm;Little Rush Warbler.mp3;http://www.xeno-canto.org/sounds/uploaded/DVHUWNPXNS/Little Rush Warbler.mp3;http://www.xeno-canto.org/sounds/uploaded/DVHUWNPXNS/ffts/tb/Little Rush Warbler.png
