36807;Carduelis;corsicana;Corsican Finch;;Zdeněk Vermouzek;France;Col de Bavella, Zonza, Corse-du-Sud, Corsica;41.7978;9.2245;calls;corsicana.mp3;http://www.xeno-canto.org/sounds/uploaded/LMQBHHCFNV/corsicana.mp3;http://www.xeno-canto.org/sounds/uploaded/LMQBHHCFNV/ffts/tb/corsicana.png
38040;Carduelis;corsicana;Corsican Finch;;Simone Balbo;Italy;Monte Limbara, Olbia Tempio, Sardinia;40.8526;9.1764;song  and  calls;043-Venturone duets.mp3;http://www.xeno-canto.org/sounds/uploaded/MYRFSPATHP/043-Venturone duets.mp3;http://www.xeno-canto.org/sounds/uploaded/MYRFSPATHP/ffts/tb/043-Venturone duets.png
78787;Carduelis;corsicana;Corsican Finch;;Simone Balbo;Italy;Monte Limbara, Olbia Tempio, Sardinia;40.8526;9.1764;song;14:5:11 Vent corso song Mte Limbara.mp3;http://www.xeno-canto.org/sounds/uploaded/MYRFSPATHP/14:5:11 Vent corso song Mte Limbara.mp3;http://www.xeno-canto.org/sounds/uploaded/MYRFSPATHP/ffts/tb/14:5:11 Vent corso song Mte Limbara.png
