15091;Tangara;chrysotis;Golden-eared Tanager;chrysotis;Roger Ahlman;Ecuador;San Rafael Falls, Sucumbíos;-0.1076;-77.5917;call;Golden-eared Tanager.mp3;http://www.xeno-canto.org/sounds/uploaded/EGHCOFEENE/Golden-eared Tanager.mp3;http://www.xeno-canto.org/sounds/uploaded/EGHCOFEENE/ffts/tb/Golden-eared Tanager.png
45635;Tangara;chrysotis;Golden-eared Tanager;;Andrew Spencer;Peru;Afluente, San Martin;-5.6667;-77.7001;calls;Golden-eared Tanager2010-1-2-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Golden-eared Tanager2010-1-2-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Golden-eared Tanager2010-1-2-1.png
45636;Tangara;chrysotis;Golden-eared Tanager;;Andrew Spencer;Peru;Afluente, San Martin;-5.6667;-77.7001;calls;Golden-eared Tanager2010-1-2_solicitation.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Golden-eared Tanager2010-1-2_solicitation.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Golden-eared Tanager2010-1-2_solicitation.png
