16856;Ocyalus;latirostris;Band-tailed Oropendola;;Sidnei Dantas;Brazil;Rio Purus, state of Acre;-9.0509;-69.5539;calls;Cacicus latirostris Rio Purus 18.08.2007.mp3;http://www.xeno-canto.org/sounds/uploaded/NNCKQMBGPH/Cacicus latirostris Rio Purus 18.08.2007.mp3;http://www.xeno-canto.org/sounds/uploaded/NNCKQMBGPH/ffts/tb/Cacicus latirostris Rio Purus 18.08.2007.png
56748;Ocyalus;latirostris;Band-tailed Oropendola;;David Geale;Peru;Otorongo Lodge, Loreto;-3.4739;-72.6656;Calls?;ocylat01.mp3;http://www.xeno-canto.org/sounds/uploaded/SBFBVYGIJC/ocylat01.mp3;http://www.xeno-canto.org/sounds/uploaded/SBFBVYGIJC/ffts/tb/ocylat01.png
56749;Ocyalus;latirostris;Band-tailed Oropendola;;David Geale;Peru;Muyuna Lodge, Loreto;-4.302505;-73.286705;Calls?;ocylat02.mp3;http://www.xeno-canto.org/sounds/uploaded/SBFBVYGIJC/ocylat02.mp3;http://www.xeno-canto.org/sounds/uploaded/SBFBVYGIJC/ffts/tb/ocylat02.png
66642;Ocyalus;latirostris;Band-tailed Oropendola;;Jeremy Minns;Brazil;Reserva Extrativista Alto Juruá. Pedra Pintada;-9.3828;-72.7106;Calls;PSALAT02.mp3;http://www.xeno-canto.org/sounds/uploaded/DGVLLRYDXS/PSALAT02.mp3;http://www.xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/tb/PSALAT02.png
87212;Ocyalus;latirostris;Band-tailed Oropendola;;David Geale;Peru;Islandia, across Amazon River from Otorongo Lodge, Loreto;;;Song?;BTOR09442011aug07.mp3;http://www.xeno-canto.org/sounds/uploaded/SBFBVYGIJC/BTOR09442011aug07.mp3;http://www.xeno-canto.org/sounds/uploaded/SBFBVYGIJC/ffts/tb/BTOR09442011aug07.png
