60150;Iduna;similis;Mountain Yellow Warbler;;Wim Heylen;Kenya;Mount Kenya;;;song;Mountain Yellow Warbler (song, Mount Kenya, July 2010).mp3;http://www.xeno-canto.org/sounds/uploaded/DACPWSWPCQ/Mountain Yellow Warbler (song, Mount Kenya, July 2010).mp3;http://www.xeno-canto.org/sounds/uploaded/DACPWSWPCQ/ffts/tb/Mountain Yellow Warbler (song, Mount Kenya, July 2010).png
64900;Iduna;similis;Mountain Yellow Warbler;;Marcell Claassen;Rwanda;Sabinyo Silverback Lodge, Kinigi;-1.409;29.577;call;MountainYellowWarbler 1.mp3;http://www.xeno-canto.org/sounds/uploaded/AAIESTNDCJ/MountainYellowWarbler 1.mp3;http://www.xeno-canto.org/sounds/uploaded/AAIESTNDCJ/ffts/tb/MountainYellowWarbler 1.png
64901;Iduna;similis;Mountain Yellow Warbler;;Marcell Claassen;Rwanda;Sabinyo Silverback Lodge, Kinigi;-1.409;29.577;call;MountainYellowWarbler.mp3;http://www.xeno-canto.org/sounds/uploaded/AAIESTNDCJ/MountainYellowWarbler.mp3;http://www.xeno-canto.org/sounds/uploaded/AAIESTNDCJ/ffts/tb/MountainYellowWarbler.png
