20921;Agelasticus;xanthophthalmus;Pale-eyed Blackbird;;Paul Donahue;Peru;Cocha Juarez, Manu National Park, Dpto. Madre de Dios;-12.1249026196337;-71.0867894547186;call, song;Agelaius xanthopthalmus-PeruEcuadorStudyTape1660.mp3;http://www.xeno-canto.org/sounds/uploaded/LLRXADGTBA/Agelaius xanthopthalmus-PeruEcuadorStudyTape1660.mp3;http://www.xeno-canto.org/sounds/uploaded/LLRXADGTBA/ffts/tb/Agelaius xanthopthalmus-PeruEcuadorStudyTape1660.png
63098;Agelasticus;xanthophthalmus;Pale-eyed Blackbird;;Joseph Tobias and Nathalie Seddon;Peru;Cocha Cashu Biological Station, Manu National Park;-11.8667;-71.3667;song;Aeglxant01.mp3;http://www.xeno-canto.org/sounds/uploaded/IKMWQIXRNV/Aeglxant01.mp3;http://www.xeno-canto.org/sounds/uploaded/IKMWQIXRNV/ffts/tb/Aeglxant01.png
75483;Agelasticus;xanthophthalmus;Pale-eyed Blackbird;;Galo Buitron-Jurado;Ecuador;Villano River, Pastaza;-1.483;-77.534;song;1004_Villanoriver_Agelasticus_xanthop_GBJ.mp3;http://www.xeno-canto.org/sounds/uploaded/XUAITKZGSQ/1004_Villanoriver_Agelasticus_xanthop_GBJ.mp3;http://www.xeno-canto.org/sounds/uploaded/XUAITKZGSQ/ffts/tb/1004_Villanoriver_Agelasticus_xanthop_GBJ.png
