3813;Limnothlypis;swainsonii;Swainson's Warbler;;Darrell L. Peterson;United States;GREAT DISMAL SWAMP, VA;;;SONG;s warbler.mp3;http://www.xeno-canto.org/sounds/uploaded/XARDMMZZCD/s warbler.mp3;http://www.xeno-canto.org/sounds/uploaded/XARDMMZZCD/ffts/tb/s warbler.png
59132;Limnothlypis;swainsonii;Swainson's Warbler;;Tayler Brooks;United States;Millroy Grose Road, Fayette Co., West Virginia;38.077;-81.0589;Agitated calls;SWWAagit.c5-5-2010-U.mp3;http://www.xeno-canto.org/sounds/uploaded/ARFGONJCBJ/SWWAagit.c5-5-2010-U.mp3;http://www.xeno-canto.org/sounds/uploaded/ARFGONJCBJ/ffts/tb/SWWAagit.c5-5-2010-U.png
59133;Limnothlypis;swainsonii;Swainson's Warbler;;Tayler Brooks;United States;Millroy Grose Road, Fayette Co., West Virginia;38.077;-81.059;Call;SWWAc5-5-2010-2-U.mp3;http://www.xeno-canto.org/sounds/uploaded/ARFGONJCBJ/SWWAc5-5-2010-2-U.mp3;http://www.xeno-canto.org/sounds/uploaded/ARFGONJCBJ/ffts/tb/SWWAc5-5-2010-2-U.png
59134;Limnothlypis;swainsonii;Swainson's Warbler;;Tayler Brooks;United States;Mill Creek, Fayette Co., West Virginia;38.0878;-81.0728;Song;SWWAs5-5-2010-2-U.mp3;http://www.xeno-canto.org/sounds/uploaded/ARFGONJCBJ/SWWAs5-5-2010-2-U.mp3;http://www.xeno-canto.org/sounds/uploaded/ARFGONJCBJ/ffts/tb/SWWAs5-5-2010-2-U.png
67622;Limnothlypis;swainsonii;Swainson's Warbler;;Jacob Socolar;United States;Croatan National Forest, North Carolina;34.8334;-76.9495;Song;SwainsonsWarbler.mp3;http://www.xeno-canto.org/sounds/uploaded/OVSRKOPXGK/SwainsonsWarbler.mp3;http://www.xeno-canto.org/sounds/uploaded/OVSRKOPXGK/ffts/tb/SwainsonsWarbler.png
67623;Limnothlypis;swainsonii;Swainson's Warbler;;Jacob Socolar;United States;Croatan National Forest, North Carolina;34.8334;-76.9495;Song;SwainsonsWarblerII.mp3;http://www.xeno-canto.org/sounds/uploaded/OVSRKOPXGK/SwainsonsWarblerII.mp3;http://www.xeno-canto.org/sounds/uploaded/OVSRKOPXGK/ffts/tb/SwainsonsWarblerII.png
67624;Limnothlypis;swainsonii;Swainson's Warbler;;Jacob Socolar;United States;Croatan National Forest, North Carolina;34.8334;-76.9495;Song;SwainsonsWarblerIII.mp3;http://www.xeno-canto.org/sounds/uploaded/OVSRKOPXGK/SwainsonsWarblerIII.mp3;http://www.xeno-canto.org/sounds/uploaded/OVSRKOPXGK/ffts/tb/SwainsonsWarblerIII.png
76708;Limnothlypis;swainsonii;Swainson's Warbler;;Sander Pieterse and Mike Nelson;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;song;SP_Tennessee_2011_-_Swainsons_Warbler_song_1_(Schoolhouse_Gap_trail).mp3;http://www.xeno-canto.org/sounds/uploaded/HMLZGZJENG/SP_Tennessee_2011_-_Swainsons_Warbler_song_1_(Schoolhouse_Gap_trail).mp3;http://www.xeno-canto.org/sounds/uploaded/HMLZGZJENG/ffts/tb/SP_Tennessee_2011_-_Swainsons_Warbler_song_1_(Schoolhouse_Gap_trail).png
76713;Limnothlypis;swainsonii;Swainson's Warbler;;Sander Pieterse;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;song;SP_Tennessee_2011_-_Swainsons_Warbler_song_2_(Schoolhouse_Gap_trail).mp3;http://www.xeno-canto.org/sounds/uploaded/HMLZGZJENG/SP_Tennessee_2011_-_Swainsons_Warbler_song_2_(Schoolhouse_Gap_trail).mp3;http://www.xeno-canto.org/sounds/uploaded/HMLZGZJENG/ffts/tb/SP_Tennessee_2011_-_Swainsons_Warbler_song_2_(Schoolhouse_Gap_trail).png
76714;Limnothlypis;swainsonii;Swainson's Warbler;;Sander Pieterse;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;song;SP_Tennessee_2011_-_Swainsons_Warbler_song_3_(Schoolhouse_Gap_trail).mp3;http://www.xeno-canto.org/sounds/uploaded/HMLZGZJENG/SP_Tennessee_2011_-_Swainsons_Warbler_song_3_(Schoolhouse_Gap_trail).mp3;http://www.xeno-canto.org/sounds/uploaded/HMLZGZJENG/ffts/tb/SP_Tennessee_2011_-_Swainsons_Warbler_song_3_(Schoolhouse_Gap_trail).png
76715;Limnothlypis;swainsonii;Swainson's Warbler;;Sander Pieterse;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;song;SP_Tennessee_2011_-_Swainsons_Warbler_song_4_(Schoolhouse_Gap_trail).mp3;http://www.xeno-canto.org/sounds/uploaded/HMLZGZJENG/SP_Tennessee_2011_-_Swainsons_Warbler_song_4_(Schoolhouse_Gap_trail).mp3;http://www.xeno-canto.org/sounds/uploaded/HMLZGZJENG/ffts/tb/SP_Tennessee_2011_-_Swainsons_Warbler_song_4_(Schoolhouse_Gap_trail).png
