71361;Cinnyris;chloropygius;Olive-bellied Sunbird;orphogaster;Bram Piot;Burundi;Réserve de la Rusizi;-3.3528;29.2678;Song;Nectarinia_chloropygia_Rusizi_20110205_edited.mp3;http://www.xeno-canto.org/sounds/uploaded/RGSEIIJGHA/Nectarinia_chloropygia_Rusizi_20110205_edited.mp3;http://www.xeno-canto.org/sounds/uploaded/RGSEIIJGHA/ffts/tb/Nectarinia_chloropygia_Rusizi_20110205_edited.png
99400;Cinnyris;chloropygius;Olive-bellied Sunbird;chloropygius;Mike Nelson;Cameroon;Lac Ossa Wildlife Reserve;3.7989;10.0548;Call;OlivebelliedSunbird2.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/OlivebelliedSunbird2.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/OlivebelliedSunbird2.png
99399;Cinnyris;chloropygius;Olive-bellied Sunbird;chloropygius;Mike Nelson;Cameroon;Campo Ma'an Reserve;2.3939;9.8928;Call;OlivebelliedSunbird.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/OlivebelliedSunbird.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/OlivebelliedSunbird.png
99401;Cinnyris;chloropygius;Olive-bellied Sunbird;chloropygius;Mike Nelson;Cameroon;Lac Ossa Wildlife Reserve;3.7989;10.0548;Call;OlivebelliedSunbird3.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/OlivebelliedSunbird3.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/OlivebelliedSunbird3.png
99403;Cinnyris;chloropygius;Olive-bellied Sunbird;chloropygius;Mike Nelson;Cameroon;Campo Ma'an Reserve;2.3939;9.8928;Call;OlivebelliedSunbird4.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/OlivebelliedSunbird4.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/OlivebelliedSunbird4.png
99404;Cinnyris;chloropygius;Olive-bellied Sunbird;chloropygius;Mike Nelson;Cameroon;Boseme Inn, Mundemba;4.9639;8.907;Song;OlivebelliedSunbird5.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/OlivebelliedSunbird5.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/OlivebelliedSunbird5.png
99405;Cinnyris;chloropygius;Olive-bellied Sunbird;chloropygius;Mike Nelson;Cameroon;Boseme Inn, Mundemba;4.9639;8.907;Song;OlivebelliedSunbird6.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/OlivebelliedSunbird6.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/OlivebelliedSunbird6.png
99406;Cinnyris;chloropygius;Olive-bellied Sunbird;chloropygius;Mike Nelson;Cameroon;Boseme Inn, Mundemba;4.9639;8.907;Song;OlivebelliedSunbird7.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/OlivebelliedSunbird7.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/OlivebelliedSunbird7.png
99407;Cinnyris;chloropygius;Olive-bellied Sunbird;chloropygius;Mike Nelson;Cameroon;Boseme Inn, Mundemba;4.9639;8.907;Call;OlivebelliedSunbird8.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/OlivebelliedSunbird8.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/OlivebelliedSunbird8.png
99408;Cinnyris;chloropygius;Olive-bellied Sunbird;chloropygius;Mike Nelson;Cameroon;Boseme Inn, Mundemba;4.9639;8.907;Call;OlivebelliedSunbird9.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/OlivebelliedSunbird9.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/OlivebelliedSunbird9.png
