21595;Heleia;crassirostris;Thick-billed Heleia;;Tamás Zalai;Indonesia;Paurlalo, Flores;;;song;Flores White-eye2.mp3;http://www.xeno-canto.org/sounds/uploaded/VSIFXLMEQO/Flores White-eye2.mp3;http://www.xeno-canto.org/sounds/uploaded/VSIFXLMEQO/ffts/tb/Flores White-eye2.png
31382;Heleia;crassirostris;Thick-billed Heleia;;Allen T. Chartier;Indonesia;Flores, Raren;-8.46667;120.01667;Song;Heleia_crassirostris_IS-F-Raren_19970808_S1_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/Heleia_crassirostris_IS-F-Raren_19970808_S1_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/ffts/tb/Heleia_crassirostris_IS-F-Raren_19970808_S1_ATC.png
31383;Heleia;crassirostris;Thick-billed Heleia;;Allen T. Chartier;Indonesia;Flores, Raren;-8.46667;120.01667;Song;Heleia_crassirostris_IS-F-Raren_19970808_S2_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/Heleia_crassirostris_IS-F-Raren_19970808_S2_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/ffts/tb/Heleia_crassirostris_IS-F-Raren_19970808_S2_ATC.png
