19823;Ficedula;parva;Red-breasted Flycatcher;albicilla;David Farrow;Myanmar;Hlawgah park;;;calls;red-throatedflycatchercallburmaFarrow.mp3;http://www.xeno-canto.org/sounds/uploaded/RNVWOVLEUN/red-throatedflycatchercallburmaFarrow.mp3;http://www.xeno-canto.org/sounds/uploaded/RNVWOVLEUN/ffts/tb/red-throatedflycatchercallburmaFarrow.png
25484;Ficedula;parva;Red-breasted Flycatcher;;Niels Krabbe;Poland;Bialowieza;52.7167;23.8334;calls;Ficedula_parva_calls_1988_07_02_2A_295-341_Poland_Bialowiza_primary_forest.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/Ficedula_parva_calls_1988_07_02_2A_295-341_Poland_Bialowiza_primary_forest.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/tb/Ficedula_parva_calls_1988_07_02_2A_295-341_Poland_Bialowiza_primary_forest.png
25485;Ficedula;parva;Red-breasted Flycatcher;;Niels Krabbe;Poland;Bialowieza;52.7167;23.8334;song;Ficedula_parva_song_1988_07_02_2A_216-237_Poland_Bialowiza_primary_forest.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/Ficedula_parva_song_1988_07_02_2A_216-237_Poland_Bialowiza_primary_forest.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/tb/Ficedula_parva_song_1988_07_02_2A_216-237_Poland_Bialowiza_primary_forest.png
26708;Ficedula;parva;Red-breasted Flycatcher;;Roger Ahlman;Sweden;Carlsnäs, Värnamo, Småland;57.2987;14.3259;song;Red-breasted flycatcher1.mp3;http://www.xeno-canto.org/sounds/uploaded/EGHCOFEENE/Red-breasted flycatcher1.mp3;http://www.xeno-canto.org/sounds/uploaded/EGHCOFEENE/ffts/tb/Red-breasted flycatcher1.png
26709;Ficedula;parva;Red-breasted Flycatcher;;Roger Ahlman;Sweden;Carlsnäs, Värnamo, Småland;57.2987;14.3259;song;Red-breasted flycatcher2.mp3;http://www.xeno-canto.org/sounds/uploaded/EGHCOFEENE/Red-breasted flycatcher2.mp3;http://www.xeno-canto.org/sounds/uploaded/EGHCOFEENE/ffts/tb/Red-breasted flycatcher2.png
27473;Ficedula;parva;Red-breasted Flycatcher;;Patrik Åberg;Sweden;Munkängarna, Kinnekulle, Västergötland;58.6098;13.3839;Song;MindreflugsnappareMunkangarna1976-06-13.mp3;http://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/MindreflugsnappareMunkangarna1976-06-13.mp3;http://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/ffts/tb/MindreflugsnappareMunkangarna1976-06-13.png
27477;Ficedula;parva;Red-breasted Flycatcher;;Patrik Åberg;Sweden;Munkängarna, Kinnekulle, Västergötland;58.6098;13.3839;Song;MindreflugsnappareMunkangarna2001-05-19.mp3;http://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/MindreflugsnappareMunkangarna2001-05-19.mp3;http://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/ffts/tb/MindreflugsnappareMunkangarna2001-05-19.png
27480;Ficedula;parva;Red-breasted Flycatcher;;Patrik Åberg;Sweden;Munkängarna, Kinnekulle, Västergötland;58.6098;13.3839;Song;MindreflugsnappareannanhaneMunkangarna1976-06-13.mp3;http://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/MindreflugsnappareannanhaneMunkangarna1976-06-13.mp3;http://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/ffts/tb/MindreflugsnappareannanhaneMunkangarna1976-06-13.png
27488;Ficedula;parva;Red-breasted Flycatcher;;Patrik Åberg;Sweden;Snipebro, Floda, Västergötland;58.1214;13.2856;Song and call;MindreflugsnapparesangochlocklateSnipebro.mp3;http://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/MindreflugsnapparesangochlocklateSnipebro.mp3;http://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/ffts/tb/MindreflugsnapparesangochlocklateSnipebro.png
27503;Ficedula;parva;Red-breasted Flycatcher;;Patrik Åberg;Sweden;Sätra, Undenäs, Västergötland;58.6889;14.3478;Song and call;Mindreflugsnappare2kSatra.mp3;http://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/Mindreflugsnappare2kSatra.mp3;http://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/ffts/tb/Mindreflugsnappare2kSatra.png
27507;Ficedula;parva;Red-breasted Flycatcher;;Patrik Åberg;Sweden;Karstorpssjön, Skövde, Västergötland;58.4192;13.8548;call;MindreFlugsnappareKarstorpssjon.mp3;http://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/MindreFlugsnappareKarstorpssjon.mp3;http://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/ffts/tb/MindreFlugsnappareKarstorpssjon.png
