52540;Poospiza;cinerea;Cinereous Warbling Finch;;Bernabe Lopez-Lanus;Argentina;Villa General Belgrano, Cordoba;;;song;WARBLING-FINCH Cinereous_23_Villa General Belgrano_Cordoba_AR_30NOV02_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/WARBLING-FINCH Cinereous_23_Villa General Belgrano_Cordoba_AR_30NOV02_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/WARBLING-FINCH Cinereous_23_Villa General Belgrano_Cordoba_AR_30NOV02_Bernabe Lopez-Lanus.png
54105;Poospiza;cinerea;Cinereous Warbling Finch;;Fabricio Gorleri;Argentina;Establecimiento Los Picasos, Tres Marias, Formosa;;;song;WARBLING-FINCH Cinereous_03_Los Picazos_Tres Marias_Formosa_AR_12ENE05_Fabricio C Gorleri.mp3;http://www.xeno-canto.org/sounds/uploaded/BOLWZYKUPY/WARBLING-FINCH Cinereous_03_Los Picazos_Tres Marias_Formosa_AR_12ENE05_Fabricio C Gorleri.mp3;http://www.xeno-canto.org/sounds/uploaded/BOLWZYKUPY/ffts/tb/WARBLING-FINCH Cinereous_03_Los Picazos_Tres Marias_Formosa_AR_12ENE05_Fabricio C Gorleri.png
54106;Poospiza;cinerea;Cinereous Warbling Finch;;Fabricio Gorleri;Argentina;Establecimiento Los Picasos, Tres Marias, Formosa;;;song;WARBLING-FINCH Cinereous_18_Los Picazos_Tres Marias_Formosa_AR_12ENE05_Fabricio C Gorleri.mp3;http://www.xeno-canto.org/sounds/uploaded/BOLWZYKUPY/WARBLING-FINCH Cinereous_18_Los Picazos_Tres Marias_Formosa_AR_12ENE05_Fabricio C Gorleri.mp3;http://www.xeno-canto.org/sounds/uploaded/BOLWZYKUPY/ffts/tb/WARBLING-FINCH Cinereous_18_Los Picazos_Tres Marias_Formosa_AR_12ENE05_Fabricio C Gorleri.png
54205;Poospiza;cinerea;Cinereous Warbling Finch;;Juan Pablo Culasso;Uruguay;Paraje Ecilda Paulier, San Jose;;;song;WARBLING-FINCH Cinereous_07_Paraje Ecilda Paulier_San Jose_UY_20ENE04_Juan Pablo Culasso.mp3;http://www.xeno-canto.org/sounds/uploaded/AIIUSZLMQX/WARBLING-FINCH Cinereous_07_Paraje Ecilda Paulier_San Jose_UY_20ENE04_Juan Pablo Culasso.mp3;http://www.xeno-canto.org/sounds/uploaded/AIIUSZLMQX/ffts/tb/WARBLING-FINCH Cinereous_07_Paraje Ecilda Paulier_San Jose_UY_20ENE04_Juan Pablo Culasso.png
54206;Poospiza;cinerea;Cinereous Warbling Finch;;Juan Pablo Culasso;Uruguay;Paraje Ecilda Paulier, San Jose;;;song;WARBLING-FINCH Cinereous_14_Paraje Ecilda Paulier_San Jose_UY_20ENE04_Juan Pablo Culasso.mp3;http://www.xeno-canto.org/sounds/uploaded/AIIUSZLMQX/WARBLING-FINCH Cinereous_14_Paraje Ecilda Paulier_San Jose_UY_20ENE04_Juan Pablo Culasso.mp3;http://www.xeno-canto.org/sounds/uploaded/AIIUSZLMQX/ffts/tb/WARBLING-FINCH Cinereous_14_Paraje Ecilda Paulier_San Jose_UY_20ENE04_Juan Pablo Culasso.png
54207;Poospiza;cinerea;Cinereous Warbling Finch;;Juan Pablo Culasso;Uruguay;Paraje Ecilda Paulier, San Jose;;;song;WARBLING-FINCH Cinereous_19_Paraje Ecilda Paulier_San Jose_UY_20ENE04_Juan Pablo Culasso.mp3;http://www.xeno-canto.org/sounds/uploaded/AIIUSZLMQX/WARBLING-FINCH Cinereous_19_Paraje Ecilda Paulier_San Jose_UY_20ENE04_Juan Pablo Culasso.mp3;http://www.xeno-canto.org/sounds/uploaded/AIIUSZLMQX/ffts/tb/WARBLING-FINCH Cinereous_19_Paraje Ecilda Paulier_San Jose_UY_20ENE04_Juan Pablo Culasso.png
55957;Poospiza;cinerea;Cinereous Warbling Finch;;Myriam Velazquez;Paraguay;Campo MarIa, Presidente Hayes;;;song;WARBLING-FINCH Cinereous_06_Campo MarIa_Presidente Hayes_PY_25FEB00_Myriam Velazquez.mp3;http://www.xeno-canto.org/sounds/uploaded/BSSDZACLHP/WARBLING-FINCH Cinereous_06_Campo MarIa_Presidente Hayes_PY_25FEB00_Myriam Velazquez.mp3;http://www.xeno-canto.org/sounds/uploaded/BSSDZACLHP/ffts/tb/WARBLING-FINCH Cinereous_06_Campo MarIa_Presidente Hayes_PY_25FEB00_Myriam Velazquez.png
55958;Poospiza;cinerea;Cinereous Warbling Finch;;Myriam Velazquez;Paraguay;Estancia 11 de Junio, Bajo Chaco;;;song;WARBLING-FINCH Cinereous_10_Estancia 11 de Junio_Bajo Chaco_PY_29ABR00_Myriam Velazquez.mp3;http://www.xeno-canto.org/sounds/uploaded/BSSDZACLHP/WARBLING-FINCH Cinereous_10_Estancia 11 de Junio_Bajo Chaco_PY_29ABR00_Myriam Velazquez.mp3;http://www.xeno-canto.org/sounds/uploaded/BSSDZACLHP/ffts/tb/WARBLING-FINCH Cinereous_10_Estancia 11 de Junio_Bajo Chaco_PY_29ABR00_Myriam Velazquez.png
55959;Poospiza;cinerea;Cinereous Warbling Finch;;Myriam Velazquez;Paraguay;Campo Maria, Presidente Hayes;;;song;WARBLING-FINCH Cinereous_13_Campo Maria_Presidente Hayes_PY_25FEB00_Myriam Velazquez.mp3;http://www.xeno-canto.org/sounds/uploaded/BSSDZACLHP/WARBLING-FINCH Cinereous_13_Campo Maria_Presidente Hayes_PY_25FEB00_Myriam Velazquez.mp3;http://www.xeno-canto.org/sounds/uploaded/BSSDZACLHP/ffts/tb/WARBLING-FINCH Cinereous_13_Campo Maria_Presidente Hayes_PY_25FEB00_Myriam Velazquez.png
61238;Poospiza;cinerea;Cinereous Warbling Finch;;Bernabe Lopez-Lanus;Argentina;Campo Avalos, Rio Mirinay-cerca Casco Cambai, Monte Caseros, Corrientes;0;0;Call;2973 Poospiza melanoleuca_Campo Avalos_Rio Mirinay-cerca Casco Cambai_Monte Caseros_Corrientes_Arg_20AGO2010_B Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/2973 Poospiza melanoleuca_Campo Avalos_Rio Mirinay-cerca Casco Cambai_Monte Caseros_Corrientes_Arg_20AGO2010_B Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/2973 Poospiza melanoleuca_Campo Avalos_Rio Mirinay-cerca Casco Cambai_Monte Caseros_Corrientes_Arg_20AGO2010_B Lopez-Lanus.png
61780;Poospiza;cinerea;Cinereous Warbling Finch;;Sofia Wasylyk;Argentina;Termas de Caimancito, Calilegua, Jujuy;;;song;WARBLING-FINCH Cinereous_12_Termas de Caimancito_Calilegua_Jujuy_AR_2AGO05_Sofia Wasylyk.mp3;http://www.xeno-canto.org/sounds/uploaded/LJJBXKZHHB/WARBLING-FINCH Cinereous_12_Termas de Caimancito_Calilegua_Jujuy_AR_2AGO05_Sofia Wasylyk.mp3;http://www.xeno-canto.org/sounds/uploaded/LJJBXKZHHB/ffts/tb/WARBLING-FINCH Cinereous_12_Termas de Caimancito_Calilegua_Jujuy_AR_2AGO05_Sofia Wasylyk.png
61781;Poospiza;cinerea;Cinereous Warbling Finch;;Sofia Wasylyk;Argentina;Termas de Caimancito, Calilegua, Jujuy;;;song;WARBLING-FINCH Cinereous_25_Termas de Caimancito_Calilegua_Jujuy_AR_2AGO05_Sofia Wasylyk.mp3;http://www.xeno-canto.org/sounds/uploaded/LJJBXKZHHB/WARBLING-FINCH Cinereous_25_Termas de Caimancito_Calilegua_Jujuy_AR_2AGO05_Sofia Wasylyk.mp3;http://www.xeno-canto.org/sounds/uploaded/LJJBXKZHHB/ffts/tb/WARBLING-FINCH Cinereous_25_Termas de Caimancito_Calilegua_Jujuy_AR_2AGO05_Sofia Wasylyk.png
70547;Poospiza;cinerea;Cinereous Warbling Finch;;Bernabe Lopez-Lanus;Argentina;Palma Chueca, Rivadavia, Salta;0;0;Song;Poospiza melanoleuca_Finca Palma Chueca (La Union)_Rivadavia_Salta_Arg_19ENE2011_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Poospiza melanoleuca_Finca Palma Chueca (La Union)_Rivadavia_Salta_Arg_19ENE2011_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Poospiza melanoleuca_Finca Palma Chueca (La Union)_Rivadavia_Salta_Arg_19ENE2011_Bernabe Lopez-Lanus.png
95520;Poospiza;cinerea;Cinereous Warbling Finch;;Bernabe Lopez-Lanus;Argentina;Laguna Garcia (Reserva Biosfera Laguna de Oca), ciudad de Formosa, Formosa;-26.227;-58.186;Calls;Poospiza melanoleuca_Laguna Garcia en Laguna de Oca_cdad Formosa_Formosa_Arg_6AGO2011_B Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Poospiza melanoleuca_Laguna Garcia en Laguna de Oca_cdad Formosa_Formosa_Arg_6AGO2011_B Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Poospiza melanoleuca_Laguna Garcia en Laguna de Oca_cdad Formosa_Formosa_Arg_6AGO2011_B Lopez-Lanus.png
