8396;Tangara;nigroviridis;Beryl-spangled Tanager;;Herman van Oosten;Peru;ACP Abra Patricia-Alto Nieva, San Mart√≠n;-5.7009;-77.8123;begging calls;TangaraNigroviridisyoung_AbraPaPass239062600.mp3;http://www.xeno-canto.org/sounds/uploaded/SNUDCZVUQK/TangaraNigroviridisyoung_AbraPaPass239062600.mp3;http://www.xeno-canto.org/sounds/uploaded/SNUDCZVUQK/ffts/tb/TangaraNigroviridisyoung_AbraPaPass239062600.png
12359;Tangara;nigroviridis;Beryl-spangled Tanager;;Oscar Laverde;Colombia;Ricaurte, RN La Planada, Narino;1.0834;-77.8834;calls;17156.mp3;http://www.xeno-canto.org/sounds/uploaded/WKVKSVMNDZ/17156.mp3;http://www.xeno-canto.org/sounds/uploaded/WKVKSVMNDZ/ffts/tb/17156.png
17514;Tangara;nigroviridis;Beryl-spangled Tanager;cyanescens;Andrew Spencer;Ecuador;Cristal, Esmeraldas;0.8237;-78.5139;calls;Beryl-spangled Tanager2008-1-19calls1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Beryl-spangled Tanager2008-1-19calls1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Beryl-spangled Tanager2008-1-19calls1.png
20435;Tangara;nigroviridis;Beryl-spangled Tanager;;Oswaldo Cortes;Colombia;Fusagasuga, Vereda San Miguel,  cerca al nacimiento del rio Chocho;4.01;-74.01;calls;POLLUELO DE TANGARA NIGROVIRIDIS.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/POLLUELO DE TANGARA NIGROVIRIDIS.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/ffts/tb/POLLUELO DE TANGARA NIGROVIRIDIS.png
37126;Tangara;nigroviridis;Beryl-spangled Tanager;;Oswaldo Cortes;Colombia;Parque Natural Chicaque;4.611331;-74.3153;songs and calls;berylspangledtanager-chlorospu≠ngus.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/berylspangledtanager-chlorospu≠ngus.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/ffts/tb/berylspangledtanager-chlorospu≠ngus.png
38852;Tangara;nigroviridis;Beryl-spangled Tanager;;Oswaldo Cortes;Colombia;FARALLON DE MEDINA;4.5834;-73.4834;calls;tangara nigroviridis125587.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/tangara nigroviridis125587.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/ffts/tb/tangara nigroviridis125587.png
71348;Tangara;nigroviridis;Beryl-spangled Tanager;;Daniel Lane;Ecuador;9km ENE Mindo, Pichincha;-0.083;-78.669;song;Tangara.nigroviridis9704-2.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/Tangara.nigroviridis9704-2.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/ffts/tb/Tangara.nigroviridis9704-2.png
70320;Tangara;nigroviridis;Beryl-spangled Tanager;nigroviridis;Andrew Spencer;Ecuador;Guacamayos Ridge, Napo;-0.6237;-77.8403;call;Beryl-spangled Tanager2011-1-15-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Beryl-spangled Tanager2011-1-15-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Beryl-spangled Tanager2011-1-15-1.png
71341;Tangara;nigroviridis;Beryl-spangled Tanager;;Daniel Lane;Ecuador;9km ENE Mindo, Pichincha;-0.083;-78.669;call;Tangara.nigroviridis9704-1.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/Tangara.nigroviridis9704-1.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/ffts/tb/Tangara.nigroviridis9704-1.png
