67443;Motacilla;capensis;Cape Wagtail;;Marcell Claassen;Rwanda;Gisenyi;-1.712;29.269;call;Cape Wagtail.mp3;http://www.xeno-canto.org/sounds/uploaded/AAIESTNDCJ/Cape Wagtail.mp3;http://www.xeno-canto.org/sounds/uploaded/AAIESTNDCJ/ffts/tb/Cape Wagtail.png
78111;Motacilla;capensis;Cape Wagtail;;Derek Solomon;South Africa;Paternoster;-32.8167;17.8501;Call;Cape Wagtail 2 Paternoster 5-11.mp3;http://www.xeno-canto.org/sounds/uploaded/DNKBTPCMSQ/Cape Wagtail 2 Paternoster 5-11.mp3;http://www.xeno-canto.org/sounds/uploaded/DNKBTPCMSQ/ffts/tb/Cape Wagtail 2 Paternoster 5-11.png
78116;Motacilla;capensis;Cape Wagtail;;Derek Solomon;South Africa;Paternoster;-32.8167;17.8501;Call;Cape Wagtail 1 Paternoster 5-11.mp3;http://www.xeno-canto.org/sounds/uploaded/DNKBTPCMSQ/Cape Wagtail 1 Paternoster 5-11.mp3;http://www.xeno-canto.org/sounds/uploaded/DNKBTPCMSQ/ffts/tb/Cape Wagtail 1 Paternoster 5-11.png
