14222;Granatellus;venustus;Red-breasted Chat;;Charlie Vogt;Mexico;Panuco Road, Sinaloa;23.406677;-105.935211;call;Red-breasted Chat.mp3;http://www.xeno-canto.org/sounds/uploaded/NYTXYAQSTH/Red-breasted Chat.mp3;http://www.xeno-canto.org/sounds/uploaded/NYTXYAQSTH/ffts/tb/Red-breasted Chat.png
31526;Granatellus;venustus;Red-breasted Chat;;Daniel Lane;Mexico;Cañon del Sumidero, Chiapas;16.87;-93.12;song, calls;Granatellus.venusta0003-1.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/Granatellus.venusta0003-1.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/ffts/tb/Granatellus.venusta0003-1.png
31527;Granatellus;venustus;Red-breasted Chat;;Daniel Lane;Mexico;Cañon del Sumidero, Chiapas;16.87;-93.12;song, calls;Granatellus.venusta0003-2.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/Granatellus.venusta0003-2.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/ffts/tb/Granatellus.venusta0003-2.png
88807;Granatellus;venustus;Red-breasted Chat;;patrice adret;Mexico;Estacion biologica de Chamela, Jalisco;19.499;-105.04;song;Red-breasted-chat1.mp3;http://www.xeno-canto.org/sounds/uploaded/LWUNWNGTQN/Red-breasted-chat1.mp3;http://www.xeno-canto.org/sounds/uploaded/LWUNWNGTQN/ffts/tb/Red-breasted-chat1.png
88808;Granatellus;venustus;Red-breasted Chat;;patrice adret;Mexico;Estacion biologica de Chamela, Jalisco;19.499;-105.04;song;Red-breasted-chat2.mp3;http://www.xeno-canto.org/sounds/uploaded/LWUNWNGTQN/Red-breasted-chat2.mp3;http://www.xeno-canto.org/sounds/uploaded/LWUNWNGTQN/ffts/tb/Red-breasted-chat2.png
