6042;Catharus;occidentalis;Russet Nightingale-Thrush;;Manuel Grosselet;Mexico;contreras Mexico DF;;;song;Russet Nightingale Thrush.mp3;http://www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/Russet Nightingale Thrush.mp3;http://www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/ffts/tb/Russet Nightingale Thrush.png
14070;Catharus;occidentalis;Russet Nightingale-Thrush;;Charlie Vogt;Mexico;Above Ixtlan, km 140, Tuxtepec road, Oaxaca;;;song;R09_0085 Russet Nightingale-Thrush.mp3;http://www.xeno-canto.org/sounds/uploaded/NYTXYAQSTH/R09_0085 Russet Nightingale-Thrush.mp3;http://www.xeno-canto.org/sounds/uploaded/NYTXYAQSTH/ffts/tb/R09_0085 Russet Nightingale-Thrush.png
58049;Catharus;occidentalis;Russet Nightingale-Thrush;;Jon King;Mexico;Nevado de Colima, Jalisco;;;call;Nightingale_Thrush_Russet_call_0212_280510_2000.mp3;http://www.xeno-canto.org/sounds/uploaded/LNEEOOWCQR/Nightingale_Thrush_Russet_call_0212_280510_2000.mp3;http://www.xeno-canto.org/sounds/uploaded/LNEEOOWCQR/ffts/tb/Nightingale_Thrush_Russet_call_0212_280510_2000.png
58050;Catharus;occidentalis;Russet Nightingale-Thrush;;Jon King;Mexico;Nevado de Colima, Jalisco;;;call;Nightingale_Thrush_Russet_call_0213_280510_2001.mp3;http://www.xeno-canto.org/sounds/uploaded/LNEEOOWCQR/Nightingale_Thrush_Russet_call_0213_280510_2001.mp3;http://www.xeno-canto.org/sounds/uploaded/LNEEOOWCQR/ffts/tb/Nightingale_Thrush_Russet_call_0213_280510_2001.png
58051;Catharus;occidentalis;Russet Nightingale-Thrush;;Jon King;Mexico;Nevado de Colima, Jalisco;;;song;Nightingale_Thrush_Russet_song_0197_270510_2027.mp3;http://www.xeno-canto.org/sounds/uploaded/LNEEOOWCQR/Nightingale_Thrush_Russet_song_0197_270510_2027.mp3;http://www.xeno-canto.org/sounds/uploaded/LNEEOOWCQR/ffts/tb/Nightingale_Thrush_Russet_song_0197_270510_2027.png
58052;Catharus;occidentalis;Russet Nightingale-Thrush;;Jon King;Mexico;Nevado de Colima, Jalisco;;;song;Nightingale_Thrush_Russet_song_0215_280510_2003.mp3;http://www.xeno-canto.org/sounds/uploaded/LNEEOOWCQR/Nightingale_Thrush_Russet_song_0215_280510_2003.mp3;http://www.xeno-canto.org/sounds/uploaded/LNEEOOWCQR/ffts/tb/Nightingale_Thrush_Russet_song_0215_280510_2003.png
