49779;Phylloscopus;chloronotus;Lemon-rumped Warbler;;D.Farrow;Pakistan;Sharan;;;song;lemonrumpedwarbler-pak070796farrow.mp3;http://www.xeno-canto.org/sounds/uploaded/RNVWOVLEUN/lemonrumpedwarbler-pak070796farrow.mp3;http://www.xeno-canto.org/sounds/uploaded/RNVWOVLEUN/ffts/tb/lemonrumpedwarbler-pak070796farrow.png
69072;Phylloscopus;chloronotus;Lemon-rumped Warbler;;Frank Lambert;China;Jiuzhaigou;33.2;103.9;song;Phylloscopus_chloronotus_Sichuan-99-FRL_CN_20_1574-1612_1_s.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Phylloscopus_chloronotus_Sichuan-99-FRL_CN_20_1574-1612_1_s.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Phylloscopus_chloronotus_Sichuan-99-FRL_CN_20_1574-1612_1_s.png
69073;Phylloscopus;chloronotus;Lemon-rumped Warbler;;Frank Lambert;China;Jiuzhaigou;33.2;103.9;song;Phylloscopus_chloronotus_Sichuan-99-FRL_CN_21_1611-1669_1_s.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Phylloscopus_chloronotus_Sichuan-99-FRL_CN_21_1611-1669_1_s.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Phylloscopus_chloronotus_Sichuan-99-FRL_CN_21_1611-1669_1_s.png
69074;Phylloscopus;chloronotus;Lemon-rumped Warbler;;Frank Lambert;China;Jiuzhaigou;33.2;103.9;song;Phylloscopus_chloronotus_Sichuan-99-FRL_CN_22_1670-1696_1_s.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Phylloscopus_chloronotus_Sichuan-99-FRL_CN_22_1670-1696_1_s.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Phylloscopus_chloronotus_Sichuan-99-FRL_CN_22_1670-1696_1_s.png
