20759;Foudia;flavicans;Rodrigues Fody;;George Sangster;Mauritius;Solitude, Rodrigues I;-19.6892;63.4339;song;0757_RodriguesFody_(resp_to_playback),Solitude,1-10-95.mp3;http://www.xeno-canto.org/sounds/uploaded/MTUAAOUQAT/0757_RodriguesFody_(resp_to_playback),Solitude,1-10-95.mp3;http://www.xeno-canto.org/sounds/uploaded/MTUAAOUQAT/ffts/tb/0757_RodriguesFody_(resp_to_playback),Solitude,1-10-95.png
34792;Foudia;flavicans;Rodrigues Fody;;Frank Lambert;Mauritius;Rodrigues I;;;calls of both sexes and song of male;FODYRodrigues-FL 3Mar02.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/FODYRodrigues-FL 3Mar02.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/FODYRodrigues-FL 3Mar02.png
34793;Foudia;flavicans;Rodrigues Fody;;Frank Lambert;Mauritius;Rodrigues I;;;calls of both sexes and song of male;FODYRodrigues-FL 2 3Mar02.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/FODYRodrigues-FL 2 3Mar02.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/FODYRodrigues-FL 2 3Mar02.png
