15748;Calyptophilus;tertius;Western Chat-Tanager;;Ante Strand;Hispaniola;Baoruco NP, Dominican Republic;18.561646;-71.523743;song;ChatTanager 1.mp3;http://www.xeno-canto.org/sounds/uploaded/PJDQUPBUKD/ChatTanager 1.mp3;http://www.xeno-canto.org/sounds/uploaded/PJDQUPBUKD/ffts/tb/ChatTanager 1.png
97178;Calyptophilus;tertius;Western Chat-Tanager;;Ian Davies;Dominican Republic;Zapotén, Independencia, Dominican Republic;18.242;-71.75;Song;Western Chat-Tanager.mp3;http://www.xeno-canto.org/sounds/uploaded/SNHVNQVYJV/Western Chat-Tanager.mp3;http://www.xeno-canto.org/sounds/uploaded/SNHVNQVYJV/ffts/tb/Western Chat-Tanager.png
97179;Calyptophilus;tertius;Western Chat-Tanager;;Ian Davies;Dominican Republic;Zapotén, Independencia, Dominican Republic;18.242;-71.75;Call;Western Chat-Tanager calls.mp3;http://www.xeno-canto.org/sounds/uploaded/SNHVNQVYJV/Western Chat-Tanager calls.mp3;http://www.xeno-canto.org/sounds/uploaded/SNHVNQVYJV/ffts/tb/Western Chat-Tanager calls.png
