19829;Chalcoparia;singalensis;Ruby-cheeked Sunbird;;David Farrow;Thailand;To Daeng;;;calls;ruby-cheekedsunbirdcallthaiFarrow.mp3;http://www.xeno-canto.org/sounds/uploaded/RNVWOVLEUN/ruby-cheekedsunbirdcallthaiFarrow.mp3;http://www.xeno-canto.org/sounds/uploaded/RNVWOVLEUN/ffts/tb/ruby-cheekedsunbirdcallthaiFarrow.png
38188;Chalcoparia;singalensis;Ruby-cheeked Sunbird;;Swiss Winnasis;Indonesia;Baluran National Park, Java;-7.8317;114.4139;call;madu belukar2.mp3;http://www.xeno-canto.org/sounds/uploaded/KAPYIYHJFY/madu belukar2.mp3;http://www.xeno-canto.org/sounds/uploaded/KAPYIYHJFY/ffts/tb/madu belukar2.png
61883;Chalcoparia;singalensis;Ruby-cheeked Sunbird;singalensis;Frank Lambert;Malaysia;Banding Dam area, logging road, Perak;5.5678;101.4009;song of male;Chalcoparia_singalensis_singalensis-FL male logging rd nrTambingDam Perak MY 322m 4Sept2010 FL052.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Chalcoparia_singalensis_singalensis-FL male logging rd nrTambingDam Perak MY 322m 4Sept2010 FL052.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Chalcoparia_singalensis_singalensis-FL male logging rd nrTambingDam Perak MY 322m 4Sept2010 FL052.png
65394;Chalcoparia;singalensis;Ruby-cheeked Sunbird;;Iain Woxvold;Indonesia;Sungai Kelay, Berau District, East Kalimantan;1.8348;117.0992;Calls;Ruby-cheeked_Sunbird_Berau07_IW.mp3;http://www.xeno-canto.org/sounds/uploaded/IASEWSJZCS/Ruby-cheeked_Sunbird_Berau07_IW.mp3;http://www.xeno-canto.org/sounds/uploaded/IASEWSJZCS/ffts/tb/Ruby-cheeked_Sunbird_Berau07_IW.png
67603;Chalcoparia;singalensis;Ruby-cheeked Sunbird;borneana;Frank Lambert;Malaysia;Sabah. Danum Valley;4.9;117.7;song;Anthreptes_singalensis_Danum-90.2a-FRL_MY_30_2311.9-2319.8_1_S.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Anthreptes_singalensis_Danum-90.2a-FRL_MY_30_2311.9-2319.8_1_S.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Anthreptes_singalensis_Danum-90.2a-FRL_MY_30_2311.9-2319.8_1_S.png
67604;Chalcoparia;singalensis;Ruby-cheeked Sunbird;borneana;Frank Lambert;Malaysia;Sabah;5;117;call;Anthreptes_singalensis_Sabah.1a-FRL_MY_2_48-78_1_C.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Anthreptes_singalensis_Sabah.1a-FRL_MY_2_48-78_1_C.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Anthreptes_singalensis_Sabah.1a-FRL_MY_2_48-78_1_C.png
67605;Chalcoparia;singalensis;Ruby-cheeked Sunbird;borneana;Frank Lambert;Malaysia;Sabah. Sepilok, Rainforest Discovery Centre (within 1km);5.879;117.946;song;Anthreptes_singalensis_SepilokRDC-14Oct09-FRL_MY_R09.0025_0-34_1_S.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Anthreptes_singalensis_SepilokRDC-14Oct09-FRL_MY_R09.0025_0-34_1_S.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Anthreptes_singalensis_SepilokRDC-14Oct09-FRL_MY_R09.0025_0-34_1_S.png
