20756;Foudia;rubra;Mauritius Fody;;George Sangster;Mauritius;Basin Blanc;;;song;0748 Mauritius Fody, terr song, male, Basic Blanc, 27-9-95.mp3;http://www.xeno-canto.org/sounds/uploaded/MTUAAOUQAT/0748 Mauritius Fody, terr song, male, Basic Blanc, 27-9-95.mp3;http://www.xeno-canto.org/sounds/uploaded/MTUAAOUQAT/ffts/tb/0748 Mauritius Fody, terr song, male, Basic Blanc, 27-9-95.png
26429;Foudia;rubra;Mauritius Fody;;Daniel Lane;Mauritius;Bassin Blanc NP;-20.4428;57.4784;song;Foudia.rubra07T62_071204.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/Foudia.rubra07T62_071204.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/ffts/tb/Foudia.rubra07T62_071204.png
26735;Foudia;rubra;Mauritius Fody;;Daniel Lane;Mauritius;Bassin Blanc NP;-20.4428;57.4784;song, calls;Foudia.rubra081202_02.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/Foudia.rubra081202_02.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/ffts/tb/Foudia.rubra081202_02.png
26737;Foudia;rubra;Mauritius Fody;;Daniel Lane;Mauritius;Bassin Blanc NP;-20.4428;57.4784;song, calls;Foudia.rubra081212_03.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/Foudia.rubra081212_03.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/ffts/tb/Foudia.rubra081212_03.png
