19355;Bradypterus;seebohmi;Benguet Bush Warbler;;Craig Robson;Vietnam;Cong Troi, South Annam;;;song;RussetBushWarblerideneusRobson.mp3;http://www.xeno-canto.org/sounds/uploaded/FKYXAHGMVM/RussetBushWarblerideneusRobson.mp3;http://www.xeno-canto.org/sounds/uploaded/FKYXAHGMVM/ffts/tb/RussetBushWarblerideneusRobson.png
19845;Bradypterus;seebohmi;Benguet Bush Warbler;mandelli;David Farrow;Thailand;Doi Ang Khang;19.8;98.98333;;russetbushwarblerthaiFarrow.mp3;http://www.xeno-canto.org/sounds/uploaded/RNVWOVLEUN/russetbushwarblerthaiFarrow.mp3;http://www.xeno-canto.org/sounds/uploaded/RNVWOVLEUN/ffts/tb/russetbushwarblerthaiFarrow.png
23074;Bradypterus;seebohmi;Benguet Bush Warbler;seebohmi;George Wagner;Philippines;Mount Polis, Luzon;16.97472;121.02917;song;Benguet_Bush-Warber.mp3;http://www.xeno-canto.org/sounds/uploaded/HKBZXSHAHB/Benguet_Bush-Warber.mp3;http://www.xeno-canto.org/sounds/uploaded/HKBZXSHAHB/ffts/tb/Benguet_Bush-Warber.png
35925;Bradypterus;seebohmi;Benguet Bush Warbler;montis;Frank Lambert;Indonesia;Mount Bromo, East Java;-7.9431;112.9539;song;BushWARRusset BromoEJava_FL.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/BushWARRusset BromoEJava_FL.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/BushWARRusset BromoEJava_FL.png
35926;Bradypterus;seebohmi;Benguet Bush Warbler;montis;Frank Lambert;Indonesia;Mount Bromo, East Java;-7.9431;112.9539;song;BushWARRusset2 BromoEJava_FL.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/BushWARRusset2 BromoEJava_FL.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/BushWARRusset2 BromoEJava_FL.png
36858;Bradypterus;seebohmi;Benguet Bush Warbler;montis;Bas van Balen;Indonesia;Mt Merapi, Java;-7.5559;110.4451;;Bramon15xi95_0520BvB 1.mp3;http://www.xeno-canto.org/sounds/uploaded/VSXHBVQJDA/Bramon15xi95_0520BvB 1.mp3;http://www.xeno-canto.org/sounds/uploaded/VSXHBVQJDA/ffts/tb/Bramon15xi95_0520BvB 1.png
39423;Bradypterus;seebohmi;Benguet Bush Warbler;;Paul Noakes;Philippines;Bay Yo, Mt Polis, Luzon;17.00583;121.01722;;BENgBWaR1.mp3;http://www.xeno-canto.org/sounds/uploaded/XMKXOWRGXI/BENgBWaR1.mp3;http://www.xeno-canto.org/sounds/uploaded/XMKXOWRGXI/ffts/tb/BENgBWaR1.png
42386;Bradypterus;seebohmi;Benguet Bush Warbler;montis;George Wagner;Indonesia;Ijen, East Java;-8.0739;114.2237;Song;Russet_Bush-Warbler1.mp3;http://www.xeno-canto.org/sounds/uploaded/HKBZXSHAHB/Russet_Bush-Warbler1.mp3;http://www.xeno-canto.org/sounds/uploaded/HKBZXSHAHB/ffts/tb/Russet_Bush-Warbler1.png
42387;Bradypterus;seebohmi;Benguet Bush Warbler;montis;George Wagner;Indonesia;Ijen, East Java;-8.0739;114.2237;Song;Russet_Bush-Warbler2.mp3;http://www.xeno-canto.org/sounds/uploaded/HKBZXSHAHB/Russet_Bush-Warbler2.mp3;http://www.xeno-canto.org/sounds/uploaded/HKBZXSHAHB/ffts/tb/Russet_Bush-Warbler2.png
67755;Bradypterus;seebohmi;Benguet Bush Warbler;;Frank Lambert;Philippines;Luzon. Mt. Polis;16.97;121.03;song;Bradypterus_seebohmi_12Apr10-Luzon-FRL_PH_R09.0053_0-28_1_S.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Bradypterus_seebohmi_12Apr10-Luzon-FRL_PH_R09.0053_0-28_1_S.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Bradypterus_seebohmi_12Apr10-Luzon-FRL_PH_R09.0053_0-28_1_S.png
79118;Bradypterus;seebohmi;Benguet Bush Warbler;mandelli;Frank Lambert;India;Mandala Pass, Arunachal Pradesh;27.2828;92.2639;song;Bradypterus-(seebohmi)_mandelli-FL song Mandala Road 15April2011 2000m R09-0123.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Bradypterus-(seebohmi)_mandelli-FL song Mandala Road 15April2011 2000m R09-0123.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Bradypterus-(seebohmi)_mandelli-FL song Mandala Road 15April2011 2000m R09-0123.png
