95660;Lonchura;cucullata;Bronze Mannikin;;Rory Nefdt;Kenya;Gigiri, Nairobi;-1.227;36.8159;Song, Call;874_Bronze_Mannikin_UNEP_3Feb_1605.mp3;http://www.xeno-canto.org/sounds/uploaded/QUBGGKWQNN/874_Bronze_Mannikin_UNEP_3Feb_1605.mp3;http://www.xeno-canto.org/sounds/uploaded/QUBGGKWQNN/ffts/tb/874_Bronze_Mannikin_UNEP_3Feb_1605.png
98991;Lonchura;cucullata;Bronze Mannikin;cucullata;Mike Nelson;Cameroon;Edea;3.793;10.137;Call;BlackandwhiteManakin.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/BlackandwhiteManakin.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/BlackandwhiteManakin.png
98992;Lonchura;cucullata;Bronze Mannikin;cucullata;Mike Nelson;Cameroon;Edea;3.793;10.137;Call;BlackandwhiteManakin2.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/BlackandwhiteManakin2.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/BlackandwhiteManakin2.png
