8278;Wetmorethraupis;sterrhopteron;Orange-throated Tanager;;Herman van Oosten;Peru;near Imazita, Amazonas;;;call?;WethSterrh_Imazita.mp3;http://www.xeno-canto.org/sounds/uploaded/SNUDCZVUQK/WethSterrh_Imazita.mp3;http://www.xeno-canto.org/sounds/uploaded/SNUDCZVUQK/ffts/tb/WethSterrh_Imazita.png
9272;Wetmorethraupis;sterrhopteron;Orange-throated Tanager;;Herman van Oosten;Peru;Near Imazita, Amazonas;;;a call;WetSterr_call2.mp3;http://www.xeno-canto.org/sounds/uploaded/SNUDCZVUQK/WetSterr_call2.mp3;http://www.xeno-canto.org/sounds/uploaded/SNUDCZVUQK/ffts/tb/WetSterr_call2.png
12292;Wetmorethraupis;sterrhopteron;Orange-throated Tanager;;Nick Athanas;Ecuador;Shaime, Zamora-Chinchipe;-4.3103;-78.6834;song;R09_0535-Orange-throated-Tanager.mp3;http://www.xeno-canto.org/sounds/uploaded/XRABICUARW/R09_0535-Orange-throated-Tanager.mp3;http://www.xeno-canto.org/sounds/uploaded/XRABICUARW/ffts/tb/R09_0535-Orange-throated-Tanager.png
17235;Wetmorethraupis;sterrhopteron;Orange-throated Tanager;;Andrew Spencer;Ecuador;Shaime, Zamora-Chinchipe;-4.3103;-78.6834;song;Orange-throated Tanager2007-12-25-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Orange-throated Tanager2007-12-25-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Orange-throated Tanager2007-12-25-1.png
17236;Wetmorethraupis;sterrhopteron;Orange-throated Tanager;;Andrew Spencer;Ecuador;Shaime, Zamora-Chinchipe;-4.3103;-78.6834;call;Orange-throated Tanager2007-12-25calls1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Orange-throated Tanager2007-12-25calls1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Orange-throated Tanager2007-12-25calls1.png
20047;Wetmorethraupis;sterrhopteron;Orange-throated Tanager;;David Edwards;Peru;Nuevo Salem, Amazonas;-4.8501;-78.3167;song;Orange-throatedTanagerEdwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/Orange-throatedTanagerEdwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/ffts/tb/Orange-throatedTanagerEdwards.png
22950;Wetmorethraupis;sterrhopteron;Orange-throated Tanager;;David Geale;Peru;Chikais, Amazonas;-4.6739;-78.1798;calls?;wetstr01.mp3;http://www.xeno-canto.org/sounds/uploaded/SBFBVYGIJC/wetstr01.mp3;http://www.xeno-canto.org/sounds/uploaded/SBFBVYGIJC/ffts/tb/wetstr01.png
36786;Wetmorethraupis;sterrhopteron;Orange-throated Tanager;;Huw Lloyd;Peru;Penas Blancas, Amazonas;;;Song;LLOYDOrangethroatedtanager20024.mp3;http://www.xeno-canto.org/sounds/uploaded/GVQLIFGMIY/LLOYDOrangethroatedtanager20024.mp3;http://www.xeno-canto.org/sounds/uploaded/GVQLIFGMIY/ffts/tb/LLOYDOrangethroatedtanager20024.png
36787;Wetmorethraupis;sterrhopteron;Orange-throated Tanager;;Huw Lloyd;Peru;Penas Blancas, Amazonas;;;Song;LLOYDOrangethroatedtanager20025.mp3;http://www.xeno-canto.org/sounds/uploaded/GVQLIFGMIY/LLOYDOrangethroatedtanager20025.mp3;http://www.xeno-canto.org/sounds/uploaded/GVQLIFGMIY/ffts/tb/LLOYDOrangethroatedtanager20025.png
36788;Wetmorethraupis;sterrhopteron;Orange-throated Tanager;;Huw Lloyd;Peru;Penas Blancas, Amazonas;;;Calls;LLOYDOrangethroatedtanager2002calls2.mp3;http://www.xeno-canto.org/sounds/uploaded/GVQLIFGMIY/LLOYDOrangethroatedtanager2002calls2.mp3;http://www.xeno-canto.org/sounds/uploaded/GVQLIFGMIY/ffts/tb/LLOYDOrangethroatedtanager2002calls2.png
79114;Wetmorethraupis;sterrhopteron;Orange-throated Tanager;;Galo Real;Ecuador;Rio Nangaritza;;;song;Orange throated Tanager ( Centro Shaime 919msnm).mp3;http://www.xeno-canto.org/sounds/uploaded/GHVYOJSPRJ/Orange throated Tanager ( Centro Shaime 919msnm).mp3;http://www.xeno-canto.org/sounds/uploaded/GHVYOJSPRJ/ffts/tb/Orange throated Tanager ( Centro Shaime 919msnm).png
