10955;Dacnis;lineata;Black-faced Dacnis;;Todd Mark;Peru;near Alto Dorado, Rio San Francisco drainage, Cajamarca;-4.9548;-78.9792;calls?;TMIItapeIIDacLin.mp3;http://www.xeno-canto.org/sounds/uploaded/CLKPHLYUHA/TMIItapeIIDacLin.mp3;http://www.xeno-canto.org/sounds/uploaded/CLKPHLYUHA/ffts/tb/TMIItapeIIDacLin.png
47878;Dacnis;lineata;Black-faced Dacnis;;Andrew Spencer;Brazil;Cristalino Jungle Lodge, MT;-9.5981;-55.932;calls;Black-faced Dacnis2009-10-2-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Black-faced Dacnis2009-10-2-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Black-faced Dacnis2009-10-2-1.png
47879;Dacnis;lineata;Black-faced Dacnis;;Andrew Spencer;Brazil;Cristalino Jungle Lodge, MT;-9.5981;-55.932;calls;Black-faced Dacnis2009-10-2-2.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Black-faced Dacnis2009-10-2-2.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Black-faced Dacnis2009-10-2-2.png
71316;Dacnis;lineata;Black-faced Dacnis;aequatorialis;Daniel Lane;Ecuador;9.5km NW Pedro Vicente Maldonado, Pichincha;0.136;-79.134;call;Dacnis lineata970718_9703-1.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/Dacnis lineata970718_9703-1.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/ffts/tb/Dacnis lineata970718_9703-1.png
61829;Dacnis;lineata;Black-faced Dacnis;lineata;Andrew Spencer;Ecuador;Yasuní Research Station, Parque Nacional Yasuní, Orellana;-0.6742;-76.3978;calls;Black-faced Dacnis2010-8-22-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Black-faced Dacnis2010-8-22-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Black-faced Dacnis2010-8-22-1.png
94861;Dacnis;lineata;Black-faced Dacnis;;Daniel Lane;Ecuador;Sacha Lodge, Rio Napo, Orellana;-0.4714;-76.4603;call;Dacnis lineata090224_T1285.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/Dacnis lineata090224_T1285.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/ffts/tb/Dacnis lineata090224_T1285.png
