8745;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Herman van Oosten;Peru;Riverisland in front of Iquitos, Loreto;;;song;sweetsong_islandIquitosocto.mp3;http://www.xeno-canto.org/sounds/uploaded/SNUDCZVUQK/sweetsong_islandIquitosocto.mp3;http://www.xeno-canto.org/sounds/uploaded/SNUDCZVUQK/ffts/tb/sweetsong_islandIquitosocto.png
45526;Chrysomus;icterocephalus;Yellow-hooded Blackbird;bogotensis;Bernabe Lopez-Lanus;Colombia;Humedal Laguna del Neuta, Soacha, Cundinamarca;;;Calls;Agelaius icterocephalus bogotensis_Yellow-hooded Blackbird_Humedal del Neuta_Soacha_Cundinamarca_Colombia_24MAY2003d_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Agelaius icterocephalus bogotensis_Yellow-hooded Blackbird_Humedal del Neuta_Soacha_Cundinamarca_Colombia_24MAY2003d_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Agelaius icterocephalus bogotensis_Yellow-hooded Blackbird_Humedal del Neuta_Soacha_Cundinamarca_Colombia_24MAY2003d_Bernabe Lopez-Lanus.png
45527;Chrysomus;icterocephalus;Yellow-hooded Blackbird;bogotensis;Bernabe Lopez-Lanus;Colombia;Humedal Laguna del Neuta, Soacha, Cundinamarca;;;Trino calls;Agelaius icterocephalus bogotensis_Yellow-hooded Blackbird_Humedal del Neuta_Soacha_Cundinamarca_Colombia_24MAY2003e_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Agelaius icterocephalus bogotensis_Yellow-hooded Blackbird_Humedal del Neuta_Soacha_Cundinamarca_Colombia_24MAY2003e_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Agelaius icterocephalus bogotensis_Yellow-hooded Blackbird_Humedal del Neuta_Soacha_Cundinamarca_Colombia_24MAY2003e_Bernabe Lopez-Lanus.png
45528;Chrysomus;icterocephalus;Yellow-hooded Blackbird;bogotensis;Bernabe Lopez-Lanus;Colombia;Humedal Laguna del Neuta, Soacha, Cundinamarca;;;Song;Agelaius icterocephalus bogotensis_Yellow-hooded Blackbird_Humedal del Neuta_Soacha_Cundinamarca_Colombia_24MAY2003f_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Agelaius icterocephalus bogotensis_Yellow-hooded Blackbird_Humedal del Neuta_Soacha_Cundinamarca_Colombia_24MAY2003f_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Agelaius icterocephalus bogotensis_Yellow-hooded Blackbird_Humedal del Neuta_Soacha_Cundinamarca_Colombia_24MAY2003f_Bernabe Lopez-Lanus.png
54279;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Bernabe Lopez-Lanus;Colombia;Humedal de La Conejera (Bogota), Cundinamarca;;;Song;Agelaius icterocephalus_Humedal de La Conejera_Bogota_Boyaca_Colombia_20AGO1999 a_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Agelaius icterocephalus_Humedal de La Conejera_Bogota_Boyaca_Colombia_20AGO1999 a_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Agelaius icterocephalus_Humedal de La Conejera_Bogota_Boyaca_Colombia_20AGO1999 a_Bernabe Lopez-Lanus.png
54362;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Bernabe Lopez-Lanus;Colombia;Humedal de La Conejera (Bogota), Cundinamarca;;;Alarm call;Agelaius icterocephalus_Humedal La Conejera_Bogota_Cundinamarca_4MAR2000 b_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Agelaius icterocephalus_Humedal La Conejera_Bogota_Cundinamarca_4MAR2000 b_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Agelaius icterocephalus_Humedal La Conejera_Bogota_Cundinamarca_4MAR2000 b_Bernabe Lopez-Lanus.png
54381;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Bernabe Lopez-Lanus;Colombia;Humedal de La Conejera (Bogota), Cundinamarca;;;Song  and  call;Chrysomus icterocephalus_Humedal La Conejera_Bogota_Cundinamarca_4MAR2000 c_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Chrysomus icterocephalus_Humedal La Conejera_Bogota_Cundinamarca_4MAR2000 c_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Chrysomus icterocephalus_Humedal La Conejera_Bogota_Cundinamarca_4MAR2000 c_Bernabe Lopez-Lanus.png
56981;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Bernabe Lopez-Lanus;Colombia;Cienaga del Convento (Parque Crocodilia), Vereda El Puerto, Sabanagrande, Atlantico;10.854;-74.761;Song;Agelaius icterocephalus_Cienaga del Convento (Parque Cocodrilia)_Vereda El Puerto_Sabana Grande_Atlantico_Colombia_15MAY2001 1654 a_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Agelaius icterocephalus_Cienaga del Convento (Parque Cocodrilia)_Vereda El Puerto_Sabana Grande_Atlantico_Colombia_15MAY2001 1654 a_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Agelaius icterocephalus_Cienaga del Convento (Parque Cocodrilia)_Vereda El Puerto_Sabana Grande_Atlantico_Colombia_15MAY2001 1654 a_Bernabe Lopez-Lanus.png
57408;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Bernabe Lopez-Lanus;Colombia;Humedal Laguna del Neuta, Soacha, Cundinamarca;;;Call;Agelaius icterocephalus_Humedal del Neuta (Quintas de La Laguna)_Soacha_Cundinamarca_Colombia_25MAY2003 z_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Agelaius icterocephalus_Humedal del Neuta (Quintas de La Laguna)_Soacha_Cundinamarca_Colombia_25MAY2003 z_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Agelaius icterocephalus_Humedal del Neuta (Quintas de La Laguna)_Soacha_Cundinamarca_Colombia_25MAY2003 z_Bernabe Lopez-Lanus.png
57409;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Bernabe Lopez-Lanus;Colombia;Humedal Laguna del Neuta, Soacha, Cundinamarca;;;Song;Agelaius icterocephalus_Humedal del Neuta (Quintas de La Laguna)_Soacha_Cundinamarca_Colombia_24MAY2003 a_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Agelaius icterocephalus_Humedal del Neuta (Quintas de La Laguna)_Soacha_Cundinamarca_Colombia_24MAY2003 a_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Agelaius icterocephalus_Humedal del Neuta (Quintas de La Laguna)_Soacha_Cundinamarca_Colombia_24MAY2003 a_Bernabe Lopez-Lanus.png
57410;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Bernabe Lopez-Lanus;Colombia;Humedal Laguna del Neuta, Soacha, Cundinamarca;;;Song;Agelaius icterocephalus_Humedal del Neuta (Quintas de La Laguna)_Soacha_Cundinamarca_Colombia_24MAY2003 b_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Agelaius icterocephalus_Humedal del Neuta (Quintas de La Laguna)_Soacha_Cundinamarca_Colombia_24MAY2003 b_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Agelaius icterocephalus_Humedal del Neuta (Quintas de La Laguna)_Soacha_Cundinamarca_Colombia_24MAY2003 b_Bernabe Lopez-Lanus.png
57411;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Bernabe Lopez-Lanus;Colombia;Humedal Laguna del Neuta, Soacha, Cundinamarca;;;Song;Agelaius icterocephalus_Humedal del Neuta (Quintas de La Laguna)_Soacha_Cundinamarca_Colombia_24MAY2003 c_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Agelaius icterocephalus_Humedal del Neuta (Quintas de La Laguna)_Soacha_Cundinamarca_Colombia_24MAY2003 c_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Agelaius icterocephalus_Humedal del Neuta (Quintas de La Laguna)_Soacha_Cundinamarca_Colombia_24MAY2003 c_Bernabe Lopez-Lanus.png
57412;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Bernabe Lopez-Lanus;Colombia;Humedal Laguna del Neuta, Soacha, Cundinamarca;;;Song;Agelaius icterocephalus_Humedal del Neuta (Quintas de La Laguna)_Soacha_Cundinamarca_Colombia_24MAY2003 d_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Agelaius icterocephalus_Humedal del Neuta (Quintas de La Laguna)_Soacha_Cundinamarca_Colombia_24MAY2003 d_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Agelaius icterocephalus_Humedal del Neuta (Quintas de La Laguna)_Soacha_Cundinamarca_Colombia_24MAY2003 d_Bernabe Lopez-Lanus.png
57413;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Bernabe Lopez-Lanus;Colombia;Humedal Laguna del Neuta, Soacha, Cundinamarca;;;Song;Agelaius icterocephalus_Humedal del Neuta (Quintas de La Laguna)_Soacha_Cundinamarca_Colombia_25MAY2003 g_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Agelaius icterocephalus_Humedal del Neuta (Quintas de La Laguna)_Soacha_Cundinamarca_Colombia_25MAY2003 g_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Agelaius icterocephalus_Humedal del Neuta (Quintas de La Laguna)_Soacha_Cundinamarca_Colombia_25MAY2003 g_Bernabe Lopez-Lanus.png
57414;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Bernabe Lopez-Lanus;Colombia;Humedal Laguna del Neuta, Soacha, Cundinamarca;;;Song;Agelaius icterocephalus_Humedal del Neuta (Quintas de La Laguna)_Soacha_Cundinamarca_Colombia_25MAY2003 x_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Agelaius icterocephalus_Humedal del Neuta (Quintas de La Laguna)_Soacha_Cundinamarca_Colombia_25MAY2003 x_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Agelaius icterocephalus_Humedal del Neuta (Quintas de La Laguna)_Soacha_Cundinamarca_Colombia_25MAY2003 x_Bernabe Lopez-Lanus.png
57447;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Bernabe Lopez-Lanus;Colombia;Humedal de Cordoba, Bogota, Cundinamarca;;;Song;Agelaius icterocephalus_Humedal de Cordoba_Bogota_Cundinamarca_Colombia_10AGO2007 0915hs x_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Agelaius icterocephalus_Humedal de Cordoba_Bogota_Cundinamarca_Colombia_10AGO2007 0915hs x_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Agelaius icterocephalus_Humedal de Cordoba_Bogota_Cundinamarca_Colombia_10AGO2007 0915hs x_Bernabe Lopez-Lanus.png
