40142;Emberiza;spodocephala;Black-faced Bunting;;Klaas Felix Jachmann;Russian Federation;Vlas'evo;53.4259;140.8984;song, call;B21h21m00s22jun2008.mp3;http://www.xeno-canto.org/sounds/uploaded/PTQWMAEZFZ/B21h21m00s22jun2008.mp3;http://www.xeno-canto.org/sounds/uploaded/PTQWMAEZFZ/ffts/tb/B21h21m00s22jun2008.png
68231;Emberiza;spodocephala;Black-faced Bunting;;Frank Lambert;China;Qinghai. near Gonghe;36.3;100.8;song;Emberiza_spodocephala_LambertChina05.1b_CN_25_1598-1617_1_s.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Emberiza_spodocephala_LambertChina05.1b_CN_25_1598-1617_1_s.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Emberiza_spodocephala_LambertChina05.1b_CN_25_1598-1617_1_s.png
68232;Emberiza;spodocephala;Black-faced Bunting;;Frank Lambert;China;Qinghai. near Gonghe;36.3;100.8;song;Emberiza_spodocephala_LambertChina05.1b_CN_27_1698-1747_1_S.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Emberiza_spodocephala_LambertChina05.1b_CN_27_1698-1747_1_S.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Emberiza_spodocephala_LambertChina05.1b_CN_27_1698-1747_1_S.png
68233;Emberiza;spodocephala;Black-faced Bunting;;Frank Lambert;China;Qinghai. near Gonghe;36.3;100.8;song;Emberiza_spodocephala_LambertChina05.1b_CN_27.1_1-22_1_S.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Emberiza_spodocephala_LambertChina05.1b_CN_27.1_1-22_1_S.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Emberiza_spodocephala_LambertChina05.1b_CN_27.1_1-22_1_S.png
68234;Emberiza;spodocephala;Black-faced Bunting;;Frank Lambert;China;Qinghai. near Gonghe;36.3;100.8;song;Emberiza_spodocephala_LambertChina05.1b_CN_27.2_22-57.7_2_S.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Emberiza_spodocephala_LambertChina05.1b_CN_27.2_22-57.7_2_S.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Emberiza_spodocephala_LambertChina05.1b_CN_27.2_22-57.7_2_S.png
77964;Emberiza;spodocephala;Black-faced Bunting;;Frank Lambert;China;“ Near Cixi” Hangzhou Bay Wetlands Centre;30.206;121.033;calls;Emberiza_spodocephala-FL calls immature (seen) Cixi Zhejiang China 9Oct2010 5m FL223.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Emberiza_spodocephala-FL calls immature (seen) Cixi Zhejiang China 9Oct2010 5m FL223.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Emberiza_spodocephala-FL calls immature (seen) Cixi Zhejiang China 9Oct2010 5m FL223.png
77965;Emberiza;spodocephala;Black-faced Bunting;;Frank Lambert;China;“ Near Cixi” Hangzhou Bay Wetlands Centre;30.206;121.033;calls;Emberiza_spodocephala-FL calls immature (seen) Cixi Zhejiang China 9Oct2010 5m FL224.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Emberiza_spodocephala-FL calls immature (seen) Cixi Zhejiang China 9Oct2010 5m FL224.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Emberiza_spodocephala-FL calls immature (seen) Cixi Zhejiang China 9Oct2010 5m FL224.png
89009;Emberiza;spodocephala;Black-faced Bunting;;Grant Fisher;South Korea;West Daejeon;36.3709;127.3378;Calls;Bunting_Black-faced_ Daejeon.mp3;http://www.xeno-canto.org/sounds/uploaded/XWJVQGQUOO/Bunting_Black-faced_ Daejeon.mp3;http://www.xeno-canto.org/sounds/uploaded/XWJVQGQUOO/ffts/tb/Bunting_Black-faced_ Daejeon.png
