19695;Aethopyga;nipalensis;Green-tailed Sunbird;;David Farrow;Bhutan;Gangtey;27.5;90.16667;calls;green-tailedsunbirdcallsbhutanFarrow.mp3;http://www.xeno-canto.org/sounds/uploaded/RNVWOVLEUN/green-tailedsunbirdcallsbhutanFarrow.mp3;http://www.xeno-canto.org/sounds/uploaded/RNVWOVLEUN/ffts/tb/green-tailedsunbirdcallsbhutanFarrow.png
20476;Aethopyga;nipalensis;Green-tailed Sunbird;;Mike Catsis;India;Eaglenest Wildlife Sanctuary, Arunachal Pradesh;27.1001;92.4001;song;Green-tailed Sunbird.mp3;http://www.xeno-canto.org/sounds/uploaded/ZLOFZBWWBW/Green-tailed Sunbird.mp3;http://www.xeno-canto.org/sounds/uploaded/ZLOFZBWWBW/ffts/tb/Green-tailed Sunbird.png
21895;Aethopyga;nipalensis;Green-tailed Sunbird;;Mathias Ritschard;India;Lava, Darjeeling, West Bengal;27;88.7001;song;GreenTailedSunbird210106m.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXHPBEVSA/GreenTailedSunbird210106m.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXHPBEVSA/ffts/tb/GreenTailedSunbird210106m.png
35481;Aethopyga;nipalensis;Green-tailed Sunbird;;Arnold Meijer;India;Lama Camp, Arunachal Pradesh;27.1567;92.4606;song;BLUEROBIN_GreentailedSunbird_LamaCamp_ArunachalPradesh_India_ArnoldMeijer_130209_LS100239.mp3;http://www.xeno-canto.org/sounds/uploaded/UXOKEACNUT/BLUEROBIN_GreentailedSunbird_LamaCamp_ArunachalPradesh_India_ArnoldMeijer_130209_LS100239.mp3;http://www.xeno-canto.org/sounds/uploaded/UXOKEACNUT/ffts/tb/BLUEROBIN_GreentailedSunbird_LamaCamp_ArunachalPradesh_India_ArnoldMeijer_130209_LS100239.png
39234;Aethopyga;nipalensis;Green-tailed Sunbird;;Brian Cox;India;Lava, Darjeeling, West Bengal;27;88.7001;song;Green tailed Sunbird Lava.mp3;http://www.xeno-canto.org/sounds/uploaded/OKSKESEOLP/Green tailed Sunbird Lava.mp3;http://www.xeno-canto.org/sounds/uploaded/OKSKESEOLP/ffts/tb/Green tailed Sunbird Lava.png
49774;Aethopyga;nipalensis;Green-tailed Sunbird;;D.Farrow;India;Mawphlang;;;song;greentailedsunbird-mawphlang080407farrow.mp3;http://www.xeno-canto.org/sounds/uploaded/RNVWOVLEUN/greentailedsunbird-mawphlang080407farrow.mp3;http://www.xeno-canto.org/sounds/uploaded/RNVWOVLEUN/ffts/tb/greentailedsunbird-mawphlang080407farrow.png
65053;Aethopyga;nipalensis;Green-tailed Sunbird;;David Edwards;Vietnam;Sapa;22.3353;103.8514;song;Green-tailedSunbird_SapaVN_Edwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/Green-tailedSunbird_SapaVN_Edwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/ffts/tb/Green-tailedSunbird_SapaVN_Edwards.png
70899;Aethopyga;nipalensis;Green-tailed Sunbird;;Gerard Gorman;India;Sat Tal, Naini Tal area, Uttarakhand;29.339685;79.531746;Song;green-tailedsunbird2.mp3;http://www.xeno-canto.org/sounds/uploaded/OXVGHRJWBF/green-tailedsunbird2.mp3;http://www.xeno-canto.org/sounds/uploaded/OXVGHRJWBF/ffts/tb/green-tailedsunbird2.png
70900;Aethopyga;nipalensis;Green-tailed Sunbird;;Gerard Gorman;India;Sat Tal, Naini Tal area, Uttarakhand;29.339685;79.531746;Song;green-tailedsunbird1.mp3;http://www.xeno-canto.org/sounds/uploaded/OXVGHRJWBF/green-tailedsunbird1.mp3;http://www.xeno-canto.org/sounds/uploaded/OXVGHRJWBF/ffts/tb/green-tailedsunbird1.png
73261;Aethopyga;nipalensis;Green-tailed Sunbird;;Mike Nelson;India;Bhimtal, India;29.3678;79.5359;Call;GreentailedSunbird.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/GreentailedSunbird.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/GreentailedSunbird.png
74964;Aethopyga;nipalensis;Green-tailed Sunbird;Koelzi;Herman van Oosten;Vietnam;Tonkin. Fansipan Mts., near Sapa, O Qui Ho;22.3;103.8;call/song;Green-tailed Sunbird AethopygaNipalensisKoelzi_HoangLienNP_0855_24211.mp3;http://www.xeno-canto.org/sounds/uploaded/SNUDCZVUQK/Green-tailed Sunbird AethopygaNipalensisKoelzi_HoangLienNP_0855_24211.mp3;http://www.xeno-canto.org/sounds/uploaded/SNUDCZVUQK/ffts/tb/Green-tailed Sunbird AethopygaNipalensisKoelzi_HoangLienNP_0855_24211.png
