5750;Pseudoleistes;virescens;Brown-and-yellow Marshbird;;Alvaro Riccetto;Uruguay;near Minas, Lavalleja;-34.3701;-55.2251;A lot of calls;canba2.alvaricc.mp3;http://www.xeno-canto.org/sounds/uploaded/IGDDGNGPAL/canba2.alvaricc.mp3;http://www.xeno-canto.org/sounds/uploaded/IGDDGNGPAL/ffts/tb/canba2.alvaricc.png
13083;Pseudoleistes;virescens;Brown-and-yellow Marshbird;;Fernando Jacobs;Brazil;Hidráulica, Capão do Leão, Rio Grande do Sul;-31.72889;-52.48944;song? and calls;Dragao-do-banhado01 - Pseudoleistes virescens.mp3;http://www.xeno-canto.org/sounds/uploaded/MHHPJBCUXC/Dragao-do-banhado01 - Pseudoleistes virescens.mp3;http://www.xeno-canto.org/sounds/uploaded/MHHPJBCUXC/ffts/tb/Dragao-do-banhado01 - Pseudoleistes virescens.png
14751;Pseudoleistes;virescens;Brown-and-yellow Marshbird;;Fernando Jacobs;Brazil;Vale do Canal São Gonçalo - Rio Grande, Rio Grande do Sul;-31.7998;-52.3442;calls and song?;Dragao-do-banhado - Pseudoleistes virescens01.mp3;http://www.xeno-canto.org/sounds/uploaded/MHHPJBCUXC/Dragao-do-banhado - Pseudoleistes virescens01.mp3;http://www.xeno-canto.org/sounds/uploaded/MHHPJBCUXC/ffts/tb/Dragao-do-banhado - Pseudoleistes virescens01.png
43847;Pseudoleistes;virescens;Brown-and-yellow Marshbird;;Cláudio Dias Timm;Brazil;Marambaia, Rio Grande, Rio Grande do Sul;-31.8001;-52.3181;calls;Pseudoleistesvirescens-CDTimm.mp3;http://www.xeno-canto.org/sounds/uploaded/PHPDEYUDTQ/Pseudoleistesvirescens-CDTimm.mp3;http://www.xeno-canto.org/sounds/uploaded/PHPDEYUDTQ/ffts/tb/Pseudoleistesvirescens-CDTimm.png
47468;Pseudoleistes;virescens;Brown-and-yellow Marshbird;;Niels Krabbe;Argentina;Buenos Aires: Gral Lavalle;-36.4001;-56.9167;calls of 100 perched birds;Pseudoleistes_virescens,_Gral_Lavalle,_Buenos_Aires,_3624S_5655W,_1_m,_25_Feb_1984,_NKrabbe,_calls_100_in_reedbed.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/Pseudoleistes_virescens,_Gral_Lavalle,_Buenos_Aires,_3624S_5655W,_1_m,_25_Feb_1984,_NKrabbe,_calls_100_in_reedbed.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/tb/Pseudoleistes_virescens,_Gral_Lavalle,_Buenos_Aires,_3624S_5655W,_1_m,_25_Feb_1984,_NKrabbe,_calls_100_in_reedbed.png
48035;Pseudoleistes;virescens;Brown-and-yellow Marshbird;;Bernabe Lopez-Lanus;Argentina;Estancia Las Vinchucas, Altona, Tapalque, Buenos Aires;;;Calls;Pseudoleistes virescens_Brown-and-yellow Marshbird_Estancia Las Vinchucas_Altona_Tapalque_Buenos Aires_Arg_2ENE2004 a_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Pseudoleistes virescens_Brown-and-yellow Marshbird_Estancia Las Vinchucas_Altona_Tapalque_Buenos Aires_Arg_2ENE2004 a_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Pseudoleistes virescens_Brown-and-yellow Marshbird_Estancia Las Vinchucas_Altona_Tapalque_Buenos Aires_Arg_2ENE2004 a_Bernabe Lopez-Lanus.png
48036;Pseudoleistes;virescens;Brown-and-yellow Marshbird;;Bernabe Lopez-Lanus;Argentina;Estancia Las Vinchucas, Altona, Tapalque, Buenos Aires;;;Calls;Pseudoleistes virescens_Brown-and-yellow Marshbird_Estancia Las Vinchucas_Altona_Tapalque_Buenos Aires_Arg_2ENE2004 b_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Pseudoleistes virescens_Brown-and-yellow Marshbird_Estancia Las Vinchucas_Altona_Tapalque_Buenos Aires_Arg_2ENE2004 b_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Pseudoleistes virescens_Brown-and-yellow Marshbird_Estancia Las Vinchucas_Altona_Tapalque_Buenos Aires_Arg_2ENE2004 b_Bernabe Lopez-Lanus.png
48037;Pseudoleistes;virescens;Brown-and-yellow Marshbird;;Bernabe Lopez-Lanus;Argentina;Estancia Las Vinchucas, Altona, Tapalque, Buenos Aires;;;Calls;Pseudoleistes virescens_Brown-and-yellow Marshbird_Estancia Las Vinchucas_Altona_Tapalque_Buenos Aires_Arg_2ENE2004 c_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Pseudoleistes virescens_Brown-and-yellow Marshbird_Estancia Las Vinchucas_Altona_Tapalque_Buenos Aires_Arg_2ENE2004 c_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Pseudoleistes virescens_Brown-and-yellow Marshbird_Estancia Las Vinchucas_Altona_Tapalque_Buenos Aires_Arg_2ENE2004 c_Bernabe Lopez-Lanus.png
48038;Pseudoleistes;virescens;Brown-and-yellow Marshbird;;Bernabe Lopez-Lanus;Argentina;Estancia Las Vinchucas, Altona, Tapalque, Buenos Aires;;;Calls;Pseudoleistes virescens_Brown-and-yellow Marshbird_Estancia Las Vinchucas_Altona_Tapalque_Buenos Aires_Arg_2ENE2004 d_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Pseudoleistes virescens_Brown-and-yellow Marshbird_Estancia Las Vinchucas_Altona_Tapalque_Buenos Aires_Arg_2ENE2004 d_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Pseudoleistes virescens_Brown-and-yellow Marshbird_Estancia Las Vinchucas_Altona_Tapalque_Buenos Aires_Arg_2ENE2004 d_Bernabe Lopez-Lanus.png
49494;Pseudoleistes;virescens;Brown-and-yellow Marshbird;;Rosendo Fraga;Argentina;Estancia San Juan Poriahu, Corrientes;;;song;MARSHBIRD Brown-and-yellow_01_Estancia San Juan Poriahu_Corrientes_AR_27MAY00_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/MARSHBIRD Brown-and-yellow_01_Estancia San Juan Poriahu_Corrientes_AR_27MAY00_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/ffts/tb/MARSHBIRD Brown-and-yellow_01_Estancia San Juan Poriahu_Corrientes_AR_27MAY00_Rosendo Fraga.png
49495;Pseudoleistes;virescens;Brown-and-yellow Marshbird;;Rosendo Fraga;Argentina;Estancia San Juan Poriahu, Corrientes;;;song;MARSHBIRD Brown-and-yellow_02_Estancia San Juan Poriahu_Corrientes_AR_27MAY00_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/MARSHBIRD Brown-and-yellow_02_Estancia San Juan Poriahu_Corrientes_AR_27MAY00_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/ffts/tb/MARSHBIRD Brown-and-yellow_02_Estancia San Juan Poriahu_Corrientes_AR_27MAY00_Rosendo Fraga.png
