38397;Zosterops;uropygialis;Golden-bellied White-eye;;Mike Catsis;Indonesia;Defur, Northern Kai Kecil, Maluku;-5.54556;132.79056;calls;Little Kai White-eye.mp3;http://www.xeno-canto.org/sounds/uploaded/ZLOFZBWWBW/Little Kai White-eye.mp3;http://www.xeno-canto.org/sounds/uploaded/ZLOFZBWWBW/ffts/tb/Little Kai White-eye.png
69784;Zosterops;uropygialis;Golden-bellied White-eye;;Frank Lambert;Indonesia;Kei Kecil, (Taman Angrek, near Desidula);-5.6;132.77;call;Zosterops_uropygialis_KaiKecil-98-FRL_ID_5.1_0-62_1_C.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Zosterops_uropygialis_KaiKecil-98-FRL_ID_5.1_0-62_1_C.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Zosterops_uropygialis_KaiKecil-98-FRL_ID_5.1_0-62_1_C.png
69785;Zosterops;uropygialis;Golden-bellied White-eye;;Frank Lambert;Indonesia;Kei Kecil, (Taman Angrek, near Desidula);-5.6;132.77;call;Zosterops_uropygialis_KaiKecil-98-FRL_ID_5.2_63.2-109.4_1_C.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Zosterops_uropygialis_KaiKecil-98-FRL_ID_5.2_63.2-109.4_1_C.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Zosterops_uropygialis_KaiKecil-98-FRL_ID_5.2_63.2-109.4_1_C.png
69786;Zosterops;uropygialis;Golden-bellied White-eye;;Frank Lambert;Indonesia;Kei Kecil, (Taman Angrek, near Desidula);-5.6;132.77;call;Zosterops_uropygialis_KaiKecil-98-FRL_ID_6_243-313_1_C.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Zosterops_uropygialis_KaiKecil-98-FRL_ID_6_243-313_1_C.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Zosterops_uropygialis_KaiKecil-98-FRL_ID_6_243-313_1_C.png
