18930;Cinclidium;frontale;Blue-fronted Robin;;Mike Catsis;India;Eaglenest Wildlife Sanctuary, Arunachal Pradesh;27.1001;92.4001;Song;Blue f-rnted Robin.mp3;http://www.xeno-canto.org/sounds/uploaded/ZLOFZBWWBW/Blue f-rnted Robin.mp3;http://www.xeno-canto.org/sounds/uploaded/ZLOFZBWWBW/ffts/tb/Blue f-rnted Robin.png
33970;Cinclidium;frontale;Blue-fronted Robin;;Richard Thomas;India;Eaglenest Wildlife Sanctuary, Arunachal Pradesh;27.1001;92.4001;Song;Blue-fronted_Robin.mp3;http://www.xeno-canto.org/sounds/uploaded/LINXSLKFSM/Blue-fronted_Robin.mp3;http://www.xeno-canto.org/sounds/uploaded/LINXSLKFSM/ffts/tb/Blue-fronted_Robin.png
86020;Cinclidium;frontale;Blue-fronted Robin;;David Farrow;Bhutan;Namling;27.1301;90.6839;song;bluefrontedrobin_song_namling010509farrow.mp3;http://www.xeno-canto.org/sounds/uploaded/RNVWOVLEUN/bluefrontedrobin_song_namling010509farrow.mp3;http://www.xeno-canto.org/sounds/uploaded/RNVWOVLEUN/ffts/tb/bluefrontedrobin_song_namling010509farrow.png
