65186;Emberiza;rutila;Chestnut Bunting;;Kuan-Chieh Hung;Taiwan;Pratas Island;20.7039;116.7198;Call;T101029_03_0926ChestnutBuntingCall 2.mp3;http://www.xeno-canto.org/sounds/uploaded/SFPCKSRWSJ/T101029_03_0926ChestnutBuntingCall 2.mp3;http://www.xeno-canto.org/sounds/uploaded/SFPCKSRWSJ/ffts/tb/T101029_03_0926ChestnutBuntingCall 2.png
77962;Emberiza;rutila;Chestnut Bunting;;Frank Lambert;China;“ Near Cixi” Hangzhou Bay Wetlands Centre;30.206;121.033;calls;Emberiza_rutila-FL (95_) calls Cixi Zhejiang China 8Oct2010 5m FL197.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Emberiza_rutila-FL (95_) calls Cixi Zhejiang China 8Oct2010 5m FL197.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Emberiza_rutila-FL (95_) calls Cixi Zhejiang China 8Oct2010 5m FL197.png
77963;Emberiza;rutila;Chestnut Bunting;;Frank Lambert;China;“ Near Cixi” Hangzhou Bay Wetlands Centre;30.206;121.033;calls;Emberiza_rutila-FL (seen) calls Cixi Zhejiang China 12Oct2010 5m (16).mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Emberiza_rutila-FL (seen) calls Cixi Zhejiang China 12Oct2010 5m (16).mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Emberiza_rutila-FL (seen) calls Cixi Zhejiang China 12Oct2010 5m (16).png
79397;Emberiza;rutila;Chestnut Bunting;;Desmond Allen;Thailand;Doi Inthanon National Park, North Western Thailand;;;call;98148.mp3;http://www.xeno-canto.org/sounds/uploaded/TPRMYCYSEA/98148.mp3;http://www.xeno-canto.org/sounds/uploaded/TPRMYCYSEA/ffts/tb/98148.png
81110;Emberiza;rutila;Chestnut Bunting;;Jonathan Martinez;China;Guangxi province, Yizhou, Beishanzhen, Shanli;24.324;108.513;call;ChestnutBuntingCall110417-010ChinaGuangxiShanli.mp3;http://www.xeno-canto.org/sounds/uploaded/JZARYPSBFA/ChestnutBuntingCall110417-010ChinaGuangxiShanli.mp3;http://www.xeno-canto.org/sounds/uploaded/JZARYPSBFA/ffts/tb/ChestnutBuntingCall110417-010ChinaGuangxiShanli.png
