28023;Spindalis;zena;Western Spindalis;benedicti;Daniel Lane;Mexico;S of Cozumel town, Cozumel Is., Quintana Roo;20.4584;-86.9614;call;Spindalis.zena9911-1 4 Dec99 7.25.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/Spindalis.zena9911-1 4 Dec99 7.25.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/ffts/tb/Spindalis.zena9911-1 4 Dec99 7.25.png
28592;Spindalis;zena;Western Spindalis;townsendi;Jesse Fagan;Bahamas;Abaco Island;26.350037;-77.080078;calls;Tanager_Western Stripe-headed (calls)_JF_Abaco Island_Bahamas_April 2008.mp3;http://www.xeno-canto.org/sounds/uploaded/MKUJNSTVEZ/Tanager_Western Stripe-headed (calls)_JF_Abaco Island_Bahamas_April 2008.mp3;http://www.xeno-canto.org/sounds/uploaded/MKUJNSTVEZ/ffts/tb/Tanager_Western Stripe-headed (calls)_JF_Abaco Island_Bahamas_April 2008.png
83011;Spindalis;zena;Western Spindalis;pretrei;Brian Cox;Cuba;Cayo Coco, Ciego de Avila;22.5476;-78.4078;song;western spindalis cayo coco 1.mp3;http://www.xeno-canto.org/sounds/uploaded/OKSKESEOLP/western spindalis cayo coco 1.mp3;http://www.xeno-canto.org/sounds/uploaded/OKSKESEOLP/ffts/tb/western spindalis cayo coco 1.png
83012;Spindalis;zena;Western Spindalis;pretrei;Brian Cox;Cuba;Cayo Coco, Ciego de Avila;22.5476;-78.4078;call;western spindalis cayo coco 2.mp3;http://www.xeno-canto.org/sounds/uploaded/OKSKESEOLP/western spindalis cayo coco 2.mp3;http://www.xeno-canto.org/sounds/uploaded/OKSKESEOLP/ffts/tb/western spindalis cayo coco 2.png
83013;Spindalis;zena;Western Spindalis;pretrei;Brian Cox;Cuba;Cayo Coco, Ciego de Avila;22.5476;-78.4078;song;western spindalis cayo coco 3.mp3;http://www.xeno-canto.org/sounds/uploaded/OKSKESEOLP/western spindalis cayo coco 3.mp3;http://www.xeno-canto.org/sounds/uploaded/OKSKESEOLP/ffts/tb/western spindalis cayo coco 3.png
83014;Spindalis;zena;Western Spindalis;pretrei;Brian Cox;Cuba;Cayo Coco, Ciego de Avila;22.5476;-78.4078;call;western spindalis cayo coco 4.mp3;http://www.xeno-canto.org/sounds/uploaded/OKSKESEOLP/western spindalis cayo coco 4.mp3;http://www.xeno-canto.org/sounds/uploaded/OKSKESEOLP/ffts/tb/western spindalis cayo coco 4.png
83015;Spindalis;zena;Western Spindalis;pretrei;Brian Cox;Cuba;Cayo Coco, Ciego de Avila;22.5476;-78.4078;call;western spindalis cayo coco contact call while feeding.mp3;http://www.xeno-canto.org/sounds/uploaded/OKSKESEOLP/western spindalis cayo coco contact call while feeding.mp3;http://www.xeno-canto.org/sounds/uploaded/OKSKESEOLP/ffts/tb/western spindalis cayo coco contact call while feeding.png
83016;Spindalis;zena;Western Spindalis;pretrei;Brian Cox;Cuba;Cuevas de los Portales, Pinar del Rio;22.6689;-83.4789;song;western spindalis la guira.mp3;http://www.xeno-canto.org/sounds/uploaded/OKSKESEOLP/western spindalis la guira.mp3;http://www.xeno-canto.org/sounds/uploaded/OKSKESEOLP/ffts/tb/western spindalis la guira.png
